id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,num_requests,cell_traffic,cell_dropped_traffic,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
15,[15838. 15839.     0.     0.],20161.0,403.19999999737746,[133.545 269.655   0.      0.   ],38948.82795476372,20896.0,81767.0,17019.0,40033500000.0,149946028.30728844,9132.0,96.5944842883823,3.8048509498540715,62.9044194236397,28.297165031181784,2.5619231576205252,0.5668865631665096,0.005902484995783939,2.1094687763503797,[0.331 0.669 0.    0.   ],0.5365767671426053,0.003745513839841344,99289434.52445534,[39.281 39.283  0.     0.   ],51.82539682573391
16,[13825. 13823.    17.     0.],20161.0,403.19999999737746,[178.217 224.473   0.51    0.   ],39956.53586238983,7944.0,47418.0,16514.0,59323500000.0,186128582.77874207,6509.0,99.09363588707721,5.3002132830720186,63.44506720896781,36.538289782430084,3.202766330807543,0.7655870244531521,0.006596894995287932,3.0644313278111204,[0.442 0.557 0.001 0.   ],0.39415041782729804,0.0031375185681684673,147131696.42952842,[34.288 34.283  0.042  0.   ],19.702380952509102
17,[8264. 8231.  115.    0.],20161.0,403.19999999737746,[277.538 122.027   3.635   0.   ],41401.8917977733,9272.0,46683.0,21194.0,59284500000.0,260358827.8147414,10875.0,102.67817022412095,8.620405733841796,63.39586330043153,37.56411440564096,3.8209196017033897,0.8058628044243837,0.004414463568275383,3.156242249888398,[0.688 0.303 0.009 0.   ],0.5131169198829858,0.00439168463619903,147034970.2390516,[20.496 20.414  0.285  0.   ],22.99603174618132
18,[1.425e+04 1.425e+04 5.000e+00 0.000e+00],20161.0,403.19999999737746,[1.696e+02 2.335e+02 1.440e-01 0.000e+00],38444.83807276251,6544.0,55138.0,17099.0,59764500000.0,184681534.72224236,7249.0,95.34457138227485,4.982768711870119,63.71806954020138,35.48753775891029,3.2806233678986283,0.7373642180447398,0.005952085710034224,3.087991667080006,[4.206e-01 5.790e-01 3.571e-04 0.000e+00],0.4239429206386338,0.003090154434860868,148225446.42953554,[3.533e+01 3.533e+01 1.240e-02 0.000e+00],16.230158730264296
19,[15979. 15980.     0.     0.],20161.0,403.19999999737746,[140.297 262.903   0.      0.   ],39677.15371056482,21888.0,66577.0,16734.0,40240500000.0,104802463.96393076,8331.0,98.40075817310965,4.123684341054958,62.858985169386436,31.05650379035435,2.57107626657056,0.623480978126085,0.00610088785278508,2.0609592778136006,[0.348 0.652 0.    0.   ],0.4978486912871997,0.0026044026282956412,99802827.38160153,[39.63  39.633  0.     0.   ],54.285714286067375
20,[13512. 13512.     0.     0.],20161.0,403.19999999737746,[191.925 211.275   0.      0.   ],41509.48473490205,23384.0,24573.0,12626.0,36171000000.0,102533095.5508334,2156.0,102.94500455061686,5.603968057140672,62.79509944943207,38.22798352017549,3.648728485076329,0.7962898665740786,0.007688110708794206,1.8535290908189077,[0.476 0.524 0.    0.   ],0.17075875178203706,0.002834676828145017,89709821.42915493,[33.512 33.512  0.     0.   ],57.99603174640897
21,[14813. 14813.     0.     0.],20161.0,403.19999999737746,[178.503 224.697   0.      0.   ],42091.94850889475,30800.0,11091.0,11367.0,39730500000.0,64902859.84310161,758.0,104.38953551136217,5.259937503100649,61.95287932146223,38.995350312557854,3.426783259141869,0.7936114280045633,0.009424135707554189,1.9804573185853875,[0.443 0.557 0.    0.   ],0.06668426145860826,0.0016335777260065092,98537946.42921235,[36.739 36.739  0.     0.   ],76.38888888938574
22,[1.401e+04 1.401e+04 4.000e+00 0.000e+00],20161.0,403.19999999737746,[1.815e+02 2.216e+02 1.120e-01 0.000e+00],42803.19045972802,39072.0,17615.0,12495.0,52066500000.0,79775897.87310492,1243.0,106.15344094966315,4.939080402758209,49.45191210753435,41.53154885385161,3.699017558095442,0.8988641436436685,0.006795297852289073,2.6553742373890183,[4.501e-01 5.496e-01 2.778e-04 0.000e+00],0.0994797919167667,0.0015321924437614381,129133184.52464944,[3.475e+01 3.475e+01 9.921e-03 0.000e+00],96.9047619053922
23,[14684. 14685.     0.     0.],20161.0,403.19999999737746,[173.516 229.684   0.      0.   ],40625.87892386056,27572.0,21433.0,12585.0,38556000000.0,71212199.3233529,2373.0,100.75363058344728,4.9974108427165875,62.33381280690442,37.0651764262083,3.099961610064072,0.7305689201924508,0.007886513565795348,1.9443975993254303,[0.43 0.57 0.   0.  ],0.18855780691299165,0.0018469809970783511,95625000.00062197,[36.419 36.421  0.     0.   ],68.38293650838129
24,[13670. 13671.     0.     0.],20161.0,403.19999999737746,[192.163 211.037   0.      0.   ],42181.65806140757,25032.0,16466.0,13373.0,36768000000.0,82991170.4547462,2606.0,104.6120184053487,5.65106889539274,62.76811666087992,39.76670215799835,3.887637112544879,0.8529834829621546,0.006993700709290214,1.8497098358216357,[0.477 0.523 0.    0.   ],0.19487026097360352,0.0022571575950485804,91190476.19106932,[33.904 33.906  0.     0.   ],62.083333333737144
