id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
11,[3556. 3557.    0.    0.],15121.0,302.39999999976106,[ 50.169 252.231   0.      0.   ],20894.28719548692,1784.0,47117.0,44276.0,9829.0,12282000000.0,86113660.5929856,69.09029560041644,0.6155148469016505,16.35817736922161,12.803710193826305,1.8738400318307578,0.4236492295483103,0.002116262151974076,1.7578863831757159,[0.166 0.834 0.    0.   ],0.9397032918055055,0.007011371160477577,40615079.365111455,[11.759 11.763  0.     0.   ],5.899470899475561
12,[3476. 3476.    0.    0.],15121.0,302.39999999976106,[ 49.663 252.737   0.      0.   ],21164.69563037738,1912.0,44701.0,41352.0,9443.0,13509000000.0,104058589.03972673,69.98444425093817,0.7751868262681042,17.16579591296872,15.208937532903228,3.1136938896116444,0.6002909860458965,0.0023146617287216455,1.9799616427484954,[0.164 0.836 0.    0.   ],0.9250799758394667,0.007702908360332129,44672619.047654346,[11.495 11.495  0.     0.   ],6.322751322756319
13,[1622. 1623.    0.    0.],15121.0,302.39999999976106,[ 19.73 282.67   0.     0.  ],19490.08870156717,704.0,19537.0,18467.0,7620.0,8220000000.0,9975110.227693329,64.44708915269155,0.23178361219495744,16.13940876926129,4.953622798878909,0.4814528496379352,0.11771708220355796,0.0016533298062297466,0.8649560214271543,[0.065 0.935 0.    0.   ],0.9452321236627936,0.0012135170593300887,27182539.68256116,[5.364 5.367 0.    0.   ],2.3280423280441673
14,[3475. 3476.    0.    0.],15121.0,302.39999999976106,[ 45.865 256.535   0.      0.   ],20666.33215475473,1816.0,36971.0,34270.0,6848.0,8191500000.0,30364300.760762025,68.33652587377033,0.5387474373387849,16.32405264202103,11.724731950833092,1.1927958929863232,0.30725481118973613,0.002843727266715164,0.9931882811983335,[0.152 0.848 0.    0.   ],0.9269427389034649,0.0037068059281892235,27088293.650815055,[11.491 11.495  0.     0.   ],6.00529100529575
15,[3282. 3283.    0.    0.],15121.0,302.39999999976106,[ 45.553 256.847   0.      0.   ],20666.35421395484,1480.0,45709.0,43083.0,16275.0,11739000000.0,62344295.50690837,68.3365988160361,0.5464717941934917,16.216652337808345,11.632633053559449,1.6207724486090636,0.38952450234772834,0.0021823953442232655,1.6529991402685007,[0.151 0.849 0.    0.   ],0.9425496072983439,0.005310869367655539,38819444.444475114,[10.853 10.856  0.     0.   ],4.894179894183761
16,[3479. 3480.    0.    0.],15121.0,302.39999999976106,[ 53.392 249.008   0.      0.   ],21984.885187967793,1368.0,49885.0,45747.0,21745.0,15619500000.0,149543055.5840821,72.69653193558979,1.0906686065736473,18.540837246213876,19.064692129598143,6.5343151960166255,0.9894186892401297,0.0012565306527346075,2.536009523179684,[0.177 0.823 0.    0.   ],0.9170492131903378,0.009574125649609917,51651785.71432652,[11.505 11.508  0.     0.   ],4.523809523813099
17,[3356. 3357.    0.    0.],15121.0,302.39999999976106,[ 48.928 253.472   0.      0.   ],21276.035400916437,1720.0,39582.0,36434.0,26506.0,13420500000.0,138536397.56299624,70.35260697344,0.8235963229944866,17.41974737120561,14.511485961863382,3.6154217383246645,0.6406322333179022,0.002380794920970835,2.1659943125454664,[0.162 0.838 0.    0.   ],0.9204689000050528,0.010322744872619964,44379960.31749538,[11.098 11.101  0.     0.   ],5.687830687835182
18,[2904. 2905.    0.    0.],15121.0,302.39999999976106,[ 40.415 261.985   0.      0.   ],20428.55548842182,1216.0,42283.0,40084.0,18492.0,11568000000.0,92013020.5629968,67.55027937441957,0.47324912373518746,16.188082798756696,9.728081744576615,1.4813916820663913,0.32193637986905627,0.0011903974604854175,1.7551749222934991,[0.134 0.866 0.    0.   ],0.9479932833526477,0.00795409928794924,38253968.25399848,[9.603 9.606 0.    0.   ],4.021164021167198
19,[3272. 3273.    0.    0.],15121.0,302.39999999976106,[ 48.053 254.347   0.      0.   ],21414.349013855008,1840.0,42119.0,38722.0,16961.0,13731000000.0,135592243.05400088,70.8099630111982,0.8329078764631725,17.552278288472984,15.262512887160742,4.401434678158143,0.7127835460617684,0.0023146617287216455,2.125123999735467,[0.159 0.841 0.    0.   ],0.9193475628576177,0.009874899355764393,45406746.03178191,[10.82  10.823  0.     0.   ],6.084656084660892
20,[3204. 3205.    0.    0.],15121.0,302.39999999976106,[ 42.142 260.258   0.      0.   ],20656.411398463453,1600.0,30774.0,28381.0,8693.0,8043000000.0,25073235.220548812,68.303721309618,0.4883274915680027,16.254215991005886,10.546795713533799,1.0016539762650956,0.26526023411150057,0.0027114608822167846,0.9825408372462139,[0.139 0.861 0.    0.   ],0.9222395528693053,0.003117398386242548,26597222.22224324,[10.595 10.599  0.     0.   ],5.291005291009472
21,[3546. 3547.    0.    0.],15121.0,302.39999999976106,[ 47.129 255.271   0.      0.   ],20715.911044314253,1912.0,37119.0,34375.0,7600.0,8377500000.0,38562945.162067264,68.50046638550741,0.5632431717478893,16.419019906090867,11.732813512794394,1.3985126994727235,0.3302691620924542,0.0027114608822167846,1.0355796574300642,[0.156 0.844 0.    0.   ],0.9260755947089092,0.004603156688996391,27703373.015894905,[11.726 11.729  0.     0.   ],6.322751322756319
22,[3089. 3090.    0.    0.],15121.0,302.39999999976106,[ 42.005 260.395   0.      0.   ],20477.553131876353,1088.0,48485.0,46082.0,12488.0,11554500000.0,62014979.144727916,67.71229790313804,0.48420078037165265,16.12565306527346,10.545151549683336,1.457467964832197,0.33020302890020503,0.0017855961907281264,1.6459890218900866,[0.139 0.861 0.    0.   ],0.9504382798803753,0.005367171157966846,38209325.396855585,[10.215 10.218  0.     0.   ],3.5978835978864407
23,[3712. 3713.    0.    0.],15121.0,302.39999999976106,[ 54.619 247.781   0.      0.   ],21504.419576382144,1912.0,45130.0,41621.0,23379.0,13500000000.0,143582823.26046425,71.10779570257573,0.9249652800741337,17.607565637193307,16.269706260274084,4.077902615629698,0.725547252165862,0.0019178625752265062,2.185900403412473,[0.181 0.819 0.    0.   ],0.9222468424551297,0.010635764685960315,44642857.14289241,[12.275 12.278  0.     0.   ],6.322751322756319
24,[2851. 2852.    0.    0.],15121.0,302.39999999976106,[ 38.831 263.569   0.      0.   ],20353.377408746244,1416.0,38502.0,36385.0,19214.0,11673000000.0,118272387.99349001,67.30169105461516,0.4630381588519145,16.19681238013359,9.195690525037142,1.3416217836844004,0.2976654983136036,0.002116262151974076,1.8428014020236756,[0.128 0.872 0.    0.   ],0.9450158433328139,0.010132132955837404,38601190.47622097,[9.428 9.431 0.    0.   ],4.682539682543382
25,[4121. 4121.    0.    0.],15121.0,302.39999999976106,[ 65.023 237.377   0.      0.   ],22904.73972010318,2192.0,41241.0,36171.0,22782.0,17229000000.0,237629489.3646273,75.73817776634388,1.4919648171417346,19.839428609218967,23.885579225581903,9.54472602342344,1.3558627074928906,0.0023146617287216455,2.964155809800939,[0.215 0.785 0.    0.   ],0.8770640867098276,0.013792413335923577,56974206.34925137,[13.628 13.628  0.     0.   ],7.248677248682976
26,[2896. 2897.    0.    0.],15121.0,302.39999999976106,[ 38.757 263.643   0.      0.   ],20352.751947505778,1400.0,35550.0,33506.0,12972.0,11634000000.0,72999830.8320411,67.29962286719166,0.45028767938627046,16.15686793201508,9.041173079693236,1.0439039475824399,0.2604325110773097,0.0027775940744659746,1.6489650155413003,[0.128 0.872 0.    0.   ],0.9425035161744022,0.006274697510060263,38472222.22225262,[9.577 9.58  0.    0.   ],4.629629629633287
27,[3215. 3216.    0.    0.],15121.0,302.39999999976106,[ 43.177 259.223   0.      0.   ],20549.388414771653,2112.0,29268.0,26835.0,5254.0,8089500000.0,48219095.29985848,67.9498327318376,0.5247801071357593,16.456054493750415,10.518370732312368,1.132098597019766,0.2860260564777462,0.0027114608822167846,1.0519806891078631,[0.143 0.857 0.    0.   ],0.9168716687166871,0.005960701563737992,26750992.0635132,[10.632 10.635  0.     0.   ],6.984126984132502
28,[3217. 3218.    0.    0.],15121.0,302.39999999976106,[ 41.969 260.431   0.      0.   ],20492.614261968676,1624.0,34090.0,31741.0,10470.0,8070000000.0,20138606.79986667,67.76209993373213,0.4810792936974924,16.298128430659347,9.930136800321838,0.9860726958623869,0.2558693208121156,0.0023146617287216455,0.9664043383374116,[0.139 0.861 0.    0.   ],0.9310941625110003,0.0024954903097728215,26686507.93652902,[10.638 10.642  0.     0.   ],5.370370370374614
29,[3801. 3802.    0.    0.],15121.0,302.39999999976106,[ 56.254 246.146   0.      0.   ],21757.94816832822,1640.0,51856.0,47743.0,15858.0,13972500000.0,114983455.29030313,71.94612845817215,0.9672376165597296,17.72634085047285,18.885932031769393,4.644975965024195,0.8565571060115071,0.002116262151974076,2.145889822101713,[0.186 0.814 0.    0.   ],0.9206842024066646,0.008229268584025989,46205357.14289365,[12.569 12.573  0.     0.   ],5.423280423284709
