id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,cell_traffic,cell_dropped_traffic,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
11,[4876. 4877.    0.    0.],20161.0,403.19999999737746,[217.698 185.502   0.      0.   ],42282.86190251553,126855.0,109720500000.0,531914.990904283,22814.0,104.86300754554739,6.910768315064407,64.0,68.68061673288878,4.519570621510769,1.294281037646942,0.011904171420068449,4.945092009324934,[0.54 0.46 0.   0.  ],0.0,0.0,4.8479089222550295e-06,272124255.9541509,[12.093 12.096  0.     0.   ],0.0,0.0
12,[4848. 4849.    0.    0.],20161.0,403.19999999737746,[218.168 185.032   0.      0.   ],42380.93616191626,124028.0,108504000000.0,1218575.4982784581,22789.0,105.10623521134005,6.949496552750994,64.0,68.34705314023326,4.595923053588488,1.3149645354893111,0.011656167848817022,4.997222360001984,[0.541 0.459 0.    0.   ],0.0,0.0,1.1230696548315806e-05,269107142.8588932,[12.024 12.026  0.     0.   ],0.0,0.0
13,[4822. 4823.    0.    0.],20161.0,403.19999999737746,[216.435 186.765   0.      0.   ],42257.21822507296,126297.0,109635000000.0,783152.0835482201,22714.0,104.79941030969016,6.891086751649912,64.0,68.63957959617832,4.526977000221862,1.2926442140766827,0.011904171420068449,4.978374088586875,[0.537 0.463 0.    0.   ],0.0,0.0,7.14326705475642e-06,271912202.382721,[11.959 11.962  0.     0.   ],0.0,0.0
14,[4969. 4969.    0.    0.],20161.0,403.19999999737746,[192.536 210.664   0.      0.   ],40283.818693514564,163865.0,74125500000.0,130898.15076478475,20304.0,99.905308996364,6.136838450474647,64.0,58.8821266775426,3.5308297285191412,1.0201378899856157,0.01364019641882843,3.1560438470313974,[0.478 0.522 0.    0.   ],0.0,0.0,1.765899059902257e-06,183843005.9535767,[12.324 12.324  0.     0.   ],0.0,0.0
15,[4933. 4933.    0.    0.],20161.0,403.19999999737746,[193.942 209.258   0.      0.   ],40375.81229659094,163134.0,74668500000.0,0.0,20695.0,100.13345641731676,6.171122464164452,64.0,59.96664675210822,3.5654500859384095,1.0258419721243985,0.013739397847329,3.159664699171668,[0.481 0.519 0.    0.   ],0.0,0.0,0.0,185189732.14406168,[12.235 12.235  0.     0.   ],0.0,0.0
16,[4762. 4763.    0.    0.],20161.0,403.19999999737746,[217.655 185.545   0.      0.   ],42363.16296145838,122829.0,109789500000.0,883355.9710600451,22888.0,105.06215703947815,6.94441743961177,64.0,69.35223346468779,4.571343673265316,1.3110460790635385,0.011953772134318735,4.97906849858638,[0.54 0.46 0.   0.  ],0.0,0.0,8.04590576567017e-06,272295386.906533,[11.811 11.813  0.     0.   ],0.0,0.0
17,[4679. 4680.    0.    0.],20161.0,403.19999999737746,[221.256 181.944   0.      0.   ],42649.92645239662,118111.0,108904500000.0,1153600.0888784807,23049.0,105.77334073805117,7.059967263529129,64.0,69.93082172639917,4.73377977596105,1.3530578840335301,0.013788998561579287,5.0589752492435895,[0.549 0.451 0.    0.   ],0.0,0.0,1.0592767873489899e-05,270100446.43032825,[11.605 11.607  0.     0.   ],0.0,0.0
18,[4750. 4751.    0.    0.],20161.0,403.19999999737746,[217.662 185.538   0.      0.   ],42332.07509600099,125259.0,110038500000.0,1058073.2818912708,22888.0,104.98505802291848,6.927275432766887,64.0,69.17674206165137,4.594867063256741,1.3140221219185557,0.012350577848321016,5.022072317841377,[0.54 0.46 0.   0.  ],0.0,0.0,9.61548259828397e-06,272912946.43034655,[11.781 11.783  0.     0.   ],0.0,0.0
19,[4913. 4913.    0.    0.],20161.0,403.19999999737746,[193.364 209.836   0.      0.   ],40406.69613515776,163618.0,74512500000.0,212852.55985303258,20707.0,100.21004943990211,6.173027131591663,64.0,59.85496861569444,3.6177959222399543,1.032686870690938,0.013937800704330143,3.1896235305788405,[0.48 0.52 0.   0.  ],0.0,0.0,2.856602044664084e-06,184802827.3821544,[12.185 12.185  0.     0.   ],0.0,0.0
20,[4814. 4815.    0.    0.],20161.0,403.19999999737746,[214.668 188.532   0.      0.   ],42098.26940928603,134209.0,68692500000.0,508016.86616022035,22920.0,104.40521157007547,6.8472794008241,64.0,68.78905693583776,4.373509914968217,1.2578741133872329,0.01364019641882843,3.062248896384108,[0.532 0.468 0.    0.   ],0.0,0.0,7.395521580379522e-06,170368303.5725367,[11.939 11.942  0.     0.   ],0.0,0.0
21,[4693. 4694.    0.    0.],20161.0,403.19999999737746,[214.798 188.402   0.      0.   ],42142.35400849272,133373.0,74436000000.0,690466.7435140737,22721.0,104.51454295048102,6.818709389415961,64.0,67.74689663822666,4.449691516245532,1.2731511333763206,0.012152174991319875,3.5124249789196966,[0.533 0.467 0.    0.   ],0.0,0.0,9.27597860597122e-06,184613095.23929602,[11.639 11.642  0.     0.   ],0.0,0.0
22,[4605. 4606.    0.    0.],20161.0,403.19999999737746,[232.872 170.328   0.      0.   ],43661.451999947945,106140.0,101868000000.0,825057.2283989035,24502.0,108.28196022009712,7.419314518129268,64.0,75.3823660774667,5.253776376993257,1.5071177024949158,0.01314418927632558,4.83482962154655,[0.578 0.422 0.    0.   ],0.0,0.0,8.099277775149246e-06,252648809.52545282,[11.421 11.424  0.     0.   ],0.0,0.0
23,[4746. 4747.    0.    0.],20161.0,403.19999999737746,[214.545 188.655   0.      0.   ],42071.25442636428,131465.0,73818000000.0,684406.8807541353,22675.0,104.33821344765765,6.8466445116816965,64.0,68.12503171621171,4.445397785110324,1.2757303705173355,0.012796984276573583,3.4964039482168543,[0.532 0.468 0.    0.   ],0.0,0.0,9.271544619931931e-06,183080357.14404795,[11.771 11.773  0.     0.   ],0.0,0.0
24,[4724. 4724.    0.    0.],20161.0,403.19999999737746,[214.145 189.055   0.      0.   ],42011.780959415286,137788.0,68566500000.0,441815.18519874697,22884.0,104.19071712567687,6.788869599723017,64.0,68.48177463690764,4.4571358247362385,1.2698278855215515,0.014037002132830713,3.081593174941719,[0.531 0.469 0.    0.   ],0.0,0.0,6.443601251321665e-06,170055803.57253468,[11.716 11.716  0.     0.   ],0.0,0.0
