id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
21,[1774. 1775.    0.    0.],10081.0,201.60000000059856,[ 27.949 173.651   0.      0.   ],13698.183157377187,21756.0,4897.0,3536.0,4810500000.0,418569.15774491243,1148.0,67.94059695156119,0.6234302152564244,21.422477928776907,9.606528534944704,0.6539840204282715,0.1881757762126773,0.003967860331316337,0.4865588731276659,[0.139 0.861 0.    0.   ],0.7220747396365121,8.701157005403024e-05,23861607.142786298,[8.8   8.805 0.    0.   ],107.91666666634626
22,[1653. 1654.    0.    0.],10081.0,201.60000000059856,[ 25.081 176.519   0.      0.   ],13514.893324607832,15496.0,10526.0,9323.0,6007500000.0,459187.9889553208,1248.0,67.03151138083629,0.4706675925007387,17.69308600337268,8.325291880686866,0.6092044316921245,0.1796448765003472,0.0030750917567701616,0.7120325364547168,[0.124 0.876 0.    0.   ],0.8857115713471404,7.643578675910458e-05,29799107.14276867,[8.199 8.204 0.    0.   ],76.86507936485116
23,[2091. 2092.    0.    0.],10081.0,201.60000000059856,[ 33.584 168.016   0.      0.   ],13893.51282957678,19356.0,13746.0,12170.0,6282000000.0,239637.6420495133,1642.0,68.90939802387295,0.6419998016069748,18.070826306913997,10.972247378786292,0.8912258733596038,0.25513341930364053,0.004563039381013789,0.783354825910128,[0.167 0.833 0.    0.   ],0.8853484650080023,3.814671156471081e-05,31160714.28562177,[10.372 10.377  0.     0.   ],96.0119047616197
24,[1917. 1917.    0.    0.],10081.0,201.60000000059856,[ 30.893 170.707   0.      0.   ],13772.601086112687,18880.0,13288.0,11793.0,6259500000.0,0.0,1417.0,68.30969688577062,0.5866084713818005,18.082729887907945,10.19371142088896,0.7946833502716676,0.22993750619978176,0.0037694673147505207,0.7788909830373971,[0.153 0.847 0.    0.   ],0.8874924744130042,0.0,31049107.142764956,[9.509 9.509 0.    0.   ],93.6507936505156
25,[1898. 1899.    0.    0.],10081.0,201.60000000059856,[ 29.229 172.371   0.      0.   ],13701.144856976312,19020.0,13274.0,11895.0,6166500000.0,198227.8070697288,1346.0,67.95528646450119,0.5485963694077907,18.038289852197202,9.587249049178153,0.7313898325991861,0.20970141851006843,0.003967860331316337,0.7575637337565718,[0.145 0.855 0.    0.   ],0.8961127015217719,3.214591860370207e-05,30587797.618956804,[9.415 9.42  0.    0.   ],94.34523809495798
26,[1770. 1771.    0.    0.],10081.0,201.60000000059856,[ 27.404 174.196   0.      0.   ],13620.385878558916,18248.0,9130.0,7774.0,6058500000.0,800206.4082605089,1280.0,67.5547360309266,0.5301061402638567,18.14383493701022,9.630993500142829,0.7101172969100015,0.20484078960420593,0.003571074298184704,0.6958635056046028,[0.136 0.864 0.    0.   ],0.8514786418400876,0.00013207995514739768,30052083.333244108,[8.78  8.785 0.    0.   ],90.51587301560427
27,[1658. 1659.    0.    0.],10081.0,201.60000000059856,[ 24.882 176.718   0.      0.   ],13555.736451318033,20440.0,5811.0,4542.0,4669500000.0,0.0,970.0,67.23408615868671,0.5344707866283117,21.2919353238766,8.72666259706994,0.5501361958239489,0.1562345005455808,0.004265449856165063,0.457196706675925,[0.123 0.877 0.    0.   ],0.7816210635002582,0.0,23162202.38088361,[8.224 8.229 0.    0.   ],101.38888888858786
28,[1928. 1929.    0.    0.],10081.0,201.60000000059856,[ 28.416 173.184   0.      0.   ],13730.192870642515,21892.0,4289.0,2906.0,4840500000.0,0.0,1192.0,68.09935954091357,0.6417617299871078,21.445491518698542,9.962200410914727,0.6049812941095716,0.18718381112984822,0.00317428826505307,0.475647257216546,[0.141 0.859 0.    0.   ],0.6775472138027512,0.0,24010416.66659538,[9.563 9.568 0.    0.   ],108.59126984094743
29,[1664. 1665.    0.    0.],10081.0,201.60000000059856,[ 24.835 176.765   0.      0.   ],13504.689560900284,15904.0,10748.0,9546.0,6055500000.0,0.0,1110.0,66.98090249427989,0.46741394702905925,17.756174982640612,8.355668546446609,0.5808481845839969,0.17081638726316833,0.0041662533478821545,0.6995337764110703,[0.123 0.877 0.    0.   ],0.8881652400446595,0.0,30037202.3808632,[8.254 8.259 0.    0.   ],78.88888888865466
30,[2049. 2050.    0.    0.],10081.0,201.60000000059856,[ 31.678 169.922   0.      0.   ],13817.092058189593,19824.0,13773.0,12266.0,6075000000.0,1157287.2305265788,1475.0,68.5303643397779,0.6123995635353573,18.15177065767285,10.523057854867181,0.8066517050779435,0.23340938398968356,0.003372681281618887,0.756174982640611,[0.157 0.843 0.    0.   ],0.8905830247585856,0.0001904999556422352,30133928.571339104,[10.164 10.169  0.     0.   ],98.33333333304138
31,[1923. 1924.    0.    0.],10081.0,201.60000000059856,[ 30.365 171.235   0.      0.   ],13754.97211868206,19280.0,13724.0,12288.0,5991000000.0,2079785.2360193061,1373.0,68.22226028508375,0.5768475349667627,18.06923916278147,9.904201522893167,0.7582307512986118,0.22309294712826108,0.003571074298184704,0.7520087292927289,[0.151 0.849 0.    0.   ],0.8953657825706791,0.00034715160006998933,29717261.904673673,[9.539 9.544 0.    0.   ],95.63492063463669
32,[2128. 2129.    0.    0.],10081.0,201.60000000059856,[ 32.921 168.679   0.      0.   ],13862.826946703206,19184.0,13304.0,11759.0,6295500000.0,1241034.9280125133,1588.0,68.75720140214092,0.6312072215057953,18.060906656085706,10.9889335489478,0.8573621384372864,0.24660251959131038,0.002876698740204345,0.7777006249380022,[0.163 0.837 0.    0.   ],0.8838695129284426,0.00019713047859781007,31227678.571335856,[10.556 10.561  0.     0.   ],95.15873015844763
33,[1791. 1792.    0.    0.],10081.0,201.60000000059856,[ 27.251 174.349   0.      0.   ],13617.141104819832,17960.0,9465.0,8135.0,6150000000.0,601978.60119078,1237.0,67.53864251967218,0.5379625037198629,18.08868167840492,9.46876453014324,0.7079199865548728,0.20255926991369905,0.0029758952484872534,0.7057831564328936,[0.135 0.865 0.    0.   ],0.8594823032223983,9.788269938061464e-05,30505952.380861808,[8.884 8.889 0.    0.   ],89.08730158703709
34,[1756. 1757.    0.    0.],10081.0,201.60000000059856,[ 26.566 175.034   0.      0.   ],13628.995443686492,20824.0,6501.0,5182.0,4882500000.0,0.0,1077.0,67.59743797085105,0.5731177462553331,21.049895843666302,9.165160209607219,0.5906898410846718,0.1737922825116556,0.00505902192242833,0.49320503918262076,[0.132 0.868 0.    0.   ],0.79710813720966,0.0,24218749.999928094,[8.71  8.715 0.    0.   ],103.29365079334411
35,[1872. 1873.    0.    0.],10081.0,201.60000000059856,[ 29.264 172.336   0.      0.   ],13759.034346966304,22296.0,5123.0,3710.0,4900500000.0,0.0,1236.0,68.2424082281658,0.6493800218232333,21.518103362761632,9.909934815365245,0.6780963305182023,0.19541712131732963,0.005951790496974507,0.4816982442218034,[0.145 0.855 0.    0.   ],0.7241850478235409,0.0,24308035.714213543,[9.286 9.291 0.    0.   ],110.59523809490973
36,[1419. 1420.    0.    0.],10081.0,201.60000000059856,[ 20.815 180.785   0.      0.   ],13318.402647669453,15076.0,7755.0,6726.0,5931000000.0,0.0,1001.0,66.05695192771492,0.39424660251958726,17.66094633468902,7.301070814469996,0.4973785985580884,0.14631484971728995,0.004067056839599246,0.6611447277055847,[0.103 0.897 0.    0.   ],0.867311411992263,0.0,29419642.85705551,[7.039 7.044 0.    0.   ],74.78174603152401
37,[1980. 1980.    0.    0.],10081.0,201.60000000059856,[ 30.417 171.183   0.      0.   ],13755.790462366673,19852.0,12249.0,10848.0,6007500000.0,1158847.7892283127,1470.0,68.22631912688797,0.5789108223390481,18.143041364943954,9.680691469730906,0.7458644695834078,0.21674437059815493,0.0026783057236385278,0.7333597857355421,[0.151 0.849 0.    0.   ],0.8856233161890766,0.00019290017298848318,29799107.14276867,[9.821 9.821 0.    0.   ],98.47222222192985
38,[1574. 1575.    0.    0.],10081.0,201.60000000059856,[ 24.64 176.96   0.     0.  ],13496.27769676126,18548.0,10532.0,9381.0,5907000000.0,1844548.351999727,1065.0,66.93918111674213,0.4622557285983489,17.997817676817775,7.949796228977312,0.5998317755025258,0.17458585457791886,0.00446384287273088,0.7053863703997619,[0.122 0.878 0.    0.   ],0.8907140144322067,0.0003122648302014097,29300595.238008242,[7.808 7.812 0.    0.   ],92.00396825369509
39,[1888. 1889.    0.    0.],10081.0,201.60000000059856,[ 28.868 172.732   0.      0.   ],13689.514508547307,19024.0,12982.0,11659.0,6058500000.0,1272294.2251666682,1381.0,67.89760196678783,0.5467711536553854,18.065668088483285,9.120394175010137,0.6922490321021109,0.20275766293026484,0.0041662533478821545,0.7418906854478723,[0.143 0.857 0.    0.   ],0.8980896626097674,0.0002100015226816321,30052083.333244108,[9.365 9.37  0.    0.   ],94.36507936479919
40,[1554. 1555.    0.    0.],10081.0,201.60000000059856,[ 22.706 178.894   0.      0.   ],13417.870478927916,17376.0,7611.0,6524.0,6045000000.0,0.0,1089.0,66.55029500508111,0.4401944251562302,17.935522269616108,7.7261479885437545,0.5239434693651697,0.15593691102073207,0.002479912707072711,0.6601527626227557,[0.113 0.887 0.    0.   ],0.8571803967941137,0.0,29985119.04753002,[7.708 7.713 0.    0.   ],86.1904761902203
41,[1869. 1869.    0.    0.],10081.0,201.60000000059856,[ 29.053 172.547   0.      0.   ],13746.672026488346,21792.0,5597.0,4193.0,4852500000.0,0.0,1158.0,68.18109327688107,0.637476440829284,21.344311080249977,10.083731025831252,0.6527799065891167,0.19065568891975002,0.004959825414145422,0.48219422676321794,[0.144 0.856 0.    0.   ],0.7491513310702161,0.0,24069940.47611901,[9.271 9.271 0.    0.   ],108.09523809491716
42,[1384. 1385.    0.    0.],10081.0,201.60000000059856,[ 29.803 171.797   0.      0.   ],13764.315937044898,18592.0,6150.0,4663.0,4588500000.0,0.0,520.0,68.26860399286431,0.6362067255232646,21.725225672056343,10.33878058786895,0.6256149508764329,0.18281916476540025,0.006249380021823232,0.4419204444003571,[0.148 0.852 0.    0.   ],0.7582113821138211,0.0,22760416.66659909,[6.865 6.87  0.    0.   ],92.22222222194841
43,[1219. 1219.    0.    0.],10081.0,201.60000000059856,[ 27.66 173.94   0.     0.  ],13651.964138731979,18656.0,6282.0,4917.0,4744500000.0,492743.25432477525,371.0,67.71135868826671,0.5549449459379037,20.84078960420593,9.008558626078221,0.5658263502377461,0.17071719075488542,0.004265449856165063,0.4830869953377641,[0.137 0.863 0.    0.   ],0.7827125119388729,0.00010385567590363058,23534226.190406315,[6.047 6.047 0.    0.   ],92.53968253940779
44,[2414. 2415.    0.    0.],10081.0,201.60000000059856,[ 40.598 161.002   0.      0.   ],14228.635695131288,27164.0,7809.0,5886.0,6186000000.0,668149.8334460087,1665.0,70.57154892931224,0.8130939390933398,19.229838309691498,13.816992501441925,1.0482838881193475,0.2995734550143835,0.006150183513540323,0.6861422477928777,[0.201 0.799 0.    0.   ],0.7537456780637726,0.00010800999570740523,30684523.809432708,[11.974 11.979  0.     0.   ],134.74206349166343
45,[1337. 1338.    0.    0.],10081.0,201.60000000059856,[ 29.24 172.36   0.     0.  ],13735.766545226303,19760.0,7065.0,5651.0,4767000000.0,572254.1268330587,451.0,68.12700399376459,0.5930364051185413,21.49905763317131,9.144800265316059,0.5883527588333106,0.1739906755282214,0.004265449856165063,0.5009423668286876,[0.145 0.855 0.    0.   ],0.799858457183298,0.0001200449185720702,23645833.33326313,[6.632 6.637 0.    0.   ],98.015873015582
46,[2177. 2177.    0.    0.],10081.0,201.60000000059856,[ 36.728 164.872   0.      0.   ],14049.52282588901,25956.0,8076.0,6387.0,6066000000.0,788887.2453055128,1392.0,69.6831803684442,0.7252455113579943,18.998115266342626,12.100740670180672,0.9230264712330047,0.2634659259994048,0.0053566114472770555,0.6654101775617498,[0.182 0.818 0.    0.   ],0.7908618127786032,0.00013005065039655667,30089285.71419638,[10.799 10.799  0.     0.   ],128.74999999961773
47,[1425. 1426.    0.    0.],10081.0,201.60000000059856,[ 32.02 169.58   0.     0.  ],13868.135003531183,18972.0,6885.0,5273.0,4951500000.0,0.0,484.0,68.78352843729597,0.6662831068346425,21.52286479515921,10.719077445495493,0.6600431276057033,0.19928578514036305,0.004563039381013789,0.4911219125086797,[0.159 0.841 0.    0.   ],0.7658678286129267,0.0,24561011.904688984,[7.068 7.073 0.    0.   ],94.10714285686345
48,[1268. 1269.    0.    0.],10081.0,201.60000000059856,[ 29.263 172.337   0.      0.   ],13731.561852883935,17292.0,6362.0,4913.0,4503000000.0,0.0,410.0,68.10614945382574,0.5920841186390257,21.258605297093542,9.571028709070752,0.6098618116764685,0.1775617498264061,0.005158218430711239,0.436663029461363,[0.145 0.855 0.    0.   ],0.7722414335114743,0.0,22336309.52374321,[6.29  6.295 0.    0.   ],85.77380952355486
