id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
33,[ 824. 1590. 1168.    0.],10081.0,201.60000000059856,[ 20.824  39.113 141.663   0.   ],10345.183576858402,6328.0,25331.0,24249.0,1623.0,4044000000.0,480046.3479697473,51.310304418499335,0.3868663823033379,16.53407400059518,6.4905374067893735,0.6197026030837622,0.16397182819164766,0.01735938894950898,0.676024203948021,[0.103 0.194 0.703 0.   ],0.9572855394575817,0.00011870582294009577,20059523.809464253,[4.087 7.887 5.794 0.   ],31.388888888795694
34,[ 851. 1241. 1041.    0.],10081.0,201.60000000059856,[ 21.523  23.756 156.321   0.   ],10384.038969901103,7784.0,12855.0,11766.0,2485.0,2902500000.0,712403.7460188202,51.503020384389195,0.4483682174387411,17.509374070032734,6.358722067294553,0.493283600060302,0.1337168931653606,0.023211982938200575,0.43567106437853387,[0.107 0.118 0.775 0.   ],0.9152858809801634,0.00024544487373602764,14397321.428528683,[4.221 6.156 5.164 0.   ],38.611111110996475
35,[ 971. 1360. 1021.    0.],10081.0,201.60000000059856,[ 24.793  21.55  155.257   0.   ],10582.634409596341,8312.0,12727.0,11476.0,2969.0,3055500000.0,198803.0386584675,52.488019093323594,0.4962206130344137,17.361372879674636,7.578397003892229,0.581477899344799,0.16198789802598948,0.024104751512746752,0.4425156234500546,[0.123 0.107 0.77  0.   ],0.9017050365364973,6.506399563360088e-05,15156249.999955,[4.816 6.746 5.064 0.   ],41.230158730036315
36,[ 672. 1539. 1198.    0.],10081.0,201.60000000059856,[ 15.28   45.592 140.728   0.   ],10004.290601677896,4456.0,24768.0,23943.0,1444.0,4333500000.0,1388177.362877089,49.61953477669464,0.2868763019541692,16.35988493205039,4.787888627665492,0.43167594505285933,0.11060410673544291,0.014879476242436266,0.6965578811625831,[0.076 0.226 0.698 0.   ],0.9666908914728682,0.0003203363015754215,21495535.714221895,[3.333 7.634 5.942 0.   ],22.10317460310898
37,[1023. 1715. 1217.    0.],10081.0,201.60000000059856,[ 24.591  43.155 133.854   0.   ],10617.113637826105,6520.0,35200.0,33945.0,1458.0,4365000000.0,1768535.7871779783,52.65903004575787,0.46733458982242987,16.51701220117052,7.768130271393852,0.7356227687571051,0.2081142743775419,0.01398670766789009,0.7707568693581985,[0.122 0.214 0.664 0.   ],0.9643465909090909,0.00040516283784146123,21651785.71422143,[5.074 8.507 6.037 0.   ],32.34126984117382
38,[ 860. 1622. 1185.    0.],10081.0,201.60000000059856,[ 20.045  42.831 138.724   0.   ],10348.283207942528,5976.0,26918.0,25919.0,1318.0,4278000000.0,1061336.9599488687,51.32567804752454,0.38242237873226337,16.49598254141454,6.16891487075133,0.5706552316041986,0.153853784346791,0.012895546076778097,0.7203650431504811,[0.099 0.212 0.688 0.   ],0.9628872873170369,0.00024809185599552797,21220238.09517509,[4.266 8.046 5.878 0.   ],29.64285714276913
39,[ 960. 1637. 1147.    0.],10081.0,201.60000000059856,[ 23.013  43.857 134.73    0.   ],10498.825350806093,6448.0,32253.0,31073.0,1435.0,4131000000.0,594668.0055308876,52.07234079359995,0.4295605594682989,16.47852395595675,7.299311600731271,0.6384536607065391,0.18232318222398572,0.015375458783850809,0.7328638031941276,[0.114 0.218 0.668 0.   ],0.963414256038198,0.00014395255519992437,20491071.42851059,[4.762 8.12  5.689 0.   ],31.984126984032024
40,[ 702. 1508. 1198.    0.],10081.0,201.60000000059856,[ 15.502  40.597 145.501   0.   ],10021.26452717204,4936.0,22153.0,21308.0,1638.0,4089000000.0,824434.1706429048,49.70372248373803,0.29870052574149203,16.382898521972027,4.892618425459465,0.40464311971532063,0.10951294514433092,0.01606983434183117,0.6485467711536554,[0.077 0.201 0.722 0.   ],0.9618561820069517,0.00020162244329735994,20282738.095177874,[3.482 7.48  5.942 0.   ],24.48412698405429
41,[ 911. 1292. 1038.    0.],10081.0,201.60000000059856,[ 21.833  23.069 156.698   0.   ],10391.368779765571,7912.0,13092.0,11977.0,3145.0,2875500000.0,119621.06059628206,51.539374961635836,0.45479615117547223,17.45025295109612,6.4831744461107,0.4964936401979588,0.1341136791984922,0.024402341037595476,0.4231723043348874,[0.108 0.114 0.777 0.   ],0.9148334860983807,4.160009062642394e-05,14263392.85710051,[4.519 6.409 5.149 0.   ],39.246031745915225
42,[890. 874. 931.   0.],10081.0,201.60000000059856,[ 27.591  11.118 162.891   0.   ],10653.52433474116,9408.0,11955.0,10743.0,1121.0,3063000000.0,227870.31658808797,52.83962074566363,0.5927189762920269,18.543398472373774,8.035635403291758,0.5357920523848752,0.15355619482194227,0.0223192143636544,0.4184108719373078,[0.137 0.055 0.808 0.   ],0.8986198243412798,7.439448794909826e-05,15193452.380907271,[4.415 4.335 4.618 0.   ],46.666666666528116
43,[845. 792. 941.   0.],10081.0,201.60000000059856,[ 29.078  11.6   160.922   0.   ],10714.118565953047,9224.0,11575.0,10348.0,1668.0,3174000000.0,227870.31658808797,53.14015755357929,0.6352544390437388,18.28747148100387,8.031356608989194,0.6019565917758848,0.16665013391528619,0.02152564229739113,0.44598750123995634,[0.144 0.058 0.798 0.   ],0.8939956803455723,7.179279035541524e-05,15744047.619000874,[4.191 3.929 4.668 0.   ],45.75396825383241
44,[1247. 1830. 1231.    0.],10081.0,201.60000000059856,[ 30.313  31.066 140.221   0.   ],10921.121779149717,9552.0,18152.0,16689.0,1796.0,4350000000.0,475093.0973190912,54.16685735120245,0.5933538339450333,16.788810633865687,9.595236208372972,0.8056823805804612,0.22725920047614323,0.026287074694970738,0.6633270508878087,[0.15  0.154 0.696 0.   ],0.9194028206258263,0.00010921680398140027,21577380.952316888,[6.186 9.077 6.106 0.   ],47.380952380811706
45,[854. 864. 927.   0.],10081.0,201.60000000059856,[ 27.91   12.046 161.644   0.   ],10687.250048821536,9628.0,13191.0,11975.0,1421.0,3172500000.0,1172010.5812126556,53.00689439946996,0.6004166253347808,18.335482591012795,7.811950349201938,0.608929350145005,0.16615415137387163,0.01845055054062097,0.46116456700724134,[0.138 0.06  0.802 0.   ],0.9078159351072701,0.0003694280791844462,15736607.142810421,[4.236 4.286 4.598 0.   ],47.75793650779471
46,[1235. 1830. 1193.    0.],10081.0,201.60000000059856,[ 29.34   32.096 140.164   0.   ],10862.990210239954,9064.0,18436.0,17032.0,1721.0,4222500000.0,703263.7687391333,53.87853491835935,0.5650233111794357,16.72849915682968,9.151923035065279,0.7752834549265967,0.2208114274377542,0.024402341037595476,0.6530106140263863,[0.146 0.159 0.695 0.   ],0.9238446517682795,0.00016655151420701795,20944940.47612829,[6.126 9.077 5.918 0.   ],44.96031746018397
47,[879. 876. 941.   0.],10081.0,201.60000000059856,[ 29.297  11.104 161.199   0.   ],10770.615649831723,9624.0,10923.0,9664.0,1557.0,3256500000.0,1896182.472139201,53.420373226026335,0.6423172304334823,18.57910921535562,8.425905379368698,0.6804444969209071,0.1807360380914592,0.022120821347088582,0.4628509076480508,[0.145 0.055 0.8   0.   ],0.8847386249198939,0.0005822762082417322,16153273.80947585,[4.36  4.345 4.668 0.   ],47.7380952379535
48,[873. 850. 916.   0.],10081.0,201.60000000059856,[ 28.026  11.469 162.105   0.   ],10672.435862089189,9020.0,11608.0,10408.0,1621.0,2956500000.0,1591470.0727322272,52.93341861962486,0.5874814006546897,18.694970737030058,7.701684452140363,0.5650037674355692,0.15246503323083027,0.023311179446483483,0.4125582779486162,[0.139 0.057 0.804 0.   ],0.8966230186078566,0.00053829530618374,14665178.57138503,[4.33  4.216 4.544 0.   ],44.74206349193065
