id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,num_requests,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
21,[ 791. 1492.  795.  680.],10081.0,201.60000000059856,[15.48  22.033 83.745 80.342],6814.343793346264,5616.0,32164.0,2843.0,2890500000.0,5981130.488453435,33.79795552696806,0.2505307013193129,16.586449756968555,5.307737318882064,0.34118995119542395,0.08302747743279437,0.15811923420295607,0.5747445689911715,[0.077 0.109 0.415 0.399],0.0,0.0,0.0020692373251871422,14337797.61900505,[3.924 7.401 3.943 3.373],27.857142857060147
22,[1165. 1958.  809.  735.],10081.0,201.60000000059856,[19.97  29.544 64.438 87.648],7478.452598427427,6724.0,34280.0,3512.0,4227000000.0,13310864.894634902,37.09181925617011,0.3165558972324137,16.65826802896538,6.878971826029912,0.4895740366454357,0.11615911119928579,0.20384882452137684,0.8779882948120226,[0.099 0.147 0.32  0.435],0.0,0.0,0.003149009911198226,20967261.904699653,[5.779 9.712 4.013 3.646],33.35317460307558
23,[1155. 1978.  798.  726.],10081.0,201.60000000059856,[20.037 29.691 65.07  86.802],7468.089816070488,6584.0,34970.0,3599.0,4336500000.0,14936104.015922338,37.040421664874366,0.3180636841583137,16.58049796647158,6.747017341182884,0.5451624261610056,0.11734946929868069,0.21664517408987205,0.9047713520484079,[0.099 0.147 0.323 0.431],0.0,0.0,0.0034442762633281076,21510416.6666028,[5.729 9.812 3.958 3.601],32.6587301586332
24,[1153. 2015.  818.  725.],10081.0,201.60000000059856,[20.686 30.392 63.484 87.038],7506.740771272343,6496.0,34559.0,3605.0,4342500000.0,16675805.577207714,37.232123654765985,0.33123698045828365,16.584862612836027,7.088718614612518,0.5099690970886229,0.1198293820057534,0.2126773137585557,0.9045729590318421,[0.103 0.151 0.315 0.432],0.0,0.0,0.00384013945358842,21540178.57136462,[5.719 9.995 4.058 3.596],32.222222222126554
25,[1197. 1969.  800.  753.],10081.0,201.60000000059856,[20.527 29.684 61.676 89.713],7499.950289242024,6728.0,35419.0,3597.0,4215000000.0,12693234.362137415,37.19844404941803,0.33171312369804096,16.593591905564924,6.798730636989459,0.510439292570001,0.11933339946433885,0.20841186390239064,0.8780874913203055,[0.102 0.147 0.306 0.445],0.0,0.0,0.0030114435022864567,20907738.09517602,[5.937 9.767 3.968 3.735],33.37301587291679
26,[1104. 1913.  837.  730.],10081.0,201.60000000059856,[19.403 27.042 68.233 86.922],7343.352489091039,6480.0,34039.0,3559.0,4153500000.0,11709987.842082834,36.42174630042959,0.31242932248784483,16.605892272592005,6.864871544023462,0.5336873558892721,0.11655589723241742,0.20970141851006843,0.8549747048903878,[0.096 0.134 0.338 0.431],0.0,0.0,0.0028193060893422013,20602678.5713674,[5.476 9.489 4.152 3.621],32.14285714276171
27,[ 781. 1434.  792.  669.],10081.0,201.60000000059856,[15.299 23.189 84.212 78.9  ],6789.044506666515,5672.0,31889.0,2862.0,2770500000.0,9986640.917106977,33.67247548193415,0.25021327249280734,16.58962404523361,5.1325771819398,0.3441857548893302,0.07925801011804384,0.16030155738518004,0.5464735641305426,[0.076 0.115 0.418 0.391],0.0,0.0,0.0036046348735271527,13742559.523768721,[3.874 7.113 3.929 3.318],28.1349206348371
28,[ 851. 1581.  790.  712.],10081.0,201.60000000059856,[16.852 21.537 79.756 83.455],6916.581096824097,5920.0,33973.0,3066.0,2890500000.0,7824452.129000373,34.30503470303239,0.2658466421981932,16.581291538537844,5.396164454813466,0.3763832075439517,0.08838408888007142,0.1762721952187283,0.5816883245709751,[0.084 0.107 0.396 0.414],0.0,0.0,0.002706954550769892,14337797.61900505,[4.221 7.842 3.919 3.532],29.36507936499218
29,[1137. 1938.  801.  733.],10081.0,201.60000000059856,[19.588 30.188 64.441 87.383],7439.694521066737,6816.0,35563.0,3431.0,4293000000.0,14978011.537796307,36.89958595907299,0.3031445293125648,16.61660549548656,6.226433601287243,0.42483191493005945,0.10524749528816586,0.20513837912905467,0.8822537446681877,[0.097 0.15  0.32  0.433],0.0,0.0,0.00348893816394044,21294642.857079633,[5.64  9.613 3.973 3.636],33.809523809423425
30,[1139. 1931.  833.  761.],10081.0,201.60000000059856,[20.862 26.874 62.7   91.164],7537.160679998985,6456.0,34535.0,3804.0,4293000000.0,8625552.499310633,37.383001091164715,0.3276659061600986,16.51939291736931,6.975105456327217,0.5177882339292382,0.11992857851403631,0.2316238468405912,0.8899910723142546,[0.103 0.133 0.311 0.452],0.0,0.0,0.0020092132539740585,21294642.857079633,[5.65  9.578 4.132 3.775],32.02380952371445
