id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
10,[3050. 2899.  170.    0.],10081.0,201.60000000059856,[141.649  47.415  12.536   0.   ],21311.4542247854,124730.0,31291.0,17775.0,33466500000.0,13469206.743946675,105.70109227647775,9.056799920643982,63.999206427933736,55.13814959974436,6.630325618553921,1.6524154349766889,0.00317428826505307,5.053268524947922,[0.703 0.235 0.062 0.   ],0.5680547122175705,0.000402468341294927,166004464.28522143,[15.129 14.38   0.843  0.   ],8.0,0.039682539682421865
11,[2899. 1943. 1014.    0.],10081.0,201.60000000059856,[96.498 36.135 68.967  0.   ],18517.689190354347,161685.0,49881.0,31669.0,48390000000.0,28980189.36439302,91.84450545755696,6.489276857455119,58.33389544688027,57.86233802259796,9.01973820541001,2.1546473564130544,0.00505902192242833,8.368614224779288,[0.479 0.179 0.342 0.   ],0.6348910406768108,0.0005988879802519739,240029761.90404925,[14.38   9.638  5.03   0.   ],9980.0,49.50396825382128
12,[2965. 2192.  846.    0.],10081.0,201.60000000059856,[95.523 41.339 64.738  0.   ],18105.57478517244,179472.0,64588.0,44735.0,48307500000.0,40321123.46501314,89.80048995720036,6.04574942962046,53.8363257613332,57.416770316068884,9.162250206795902,2.215355619482194,0.0037694673147505207,9.055450848130146,[0.474 0.205 0.321 0.   ],0.6926209202947916,0.0008346762607258322,239620535.71357426,[14.707 10.873  4.196  0.   ],10668.0,52.916666666509556
13,[2641. 2107.  678.    0.],10081.0,201.60000000059856,[95.254 38.316 68.03   0.   ],18313.709613984884,163868.0,48892.0,29981.0,47499000000.0,36606543.719156116,90.83280237071381,5.686023211983282,47.523063188175776,58.016613149051864,9.157665614124172,2.2129749032834045,0.002876698740204345,8.276857454617597,[0.472 0.19  0.337 0.   ],0.6132087049005972,0.0007706803031465108,235610119.04691952,[13.1   10.451  3.363  0.   ],5056.0,25.079365079290618
14,[3614. 3203.  419.    0.],10081.0,201.60000000059856,[115.507  53.392  32.701   0.   ],20804.01590929174,146947.0,33589.0,19296.0,33513000000.0,19206187.492812164,103.184286823179,7.655113580002854,63.999206427933736,52.36421986857345,6.463966760757319,1.5792084118639025,0.0025791092153556196,5.122507687729392,[0.573 0.265 0.162 0.   ],0.5744737860609128,0.0005730966339274957,166235119.0471255,[17.927 15.888  2.078  0.   ],8.0,0.039682539682421865
15,[3037. 2586.  462.    0.],10081.0,201.60000000059856,[113.701  41.635  46.264   0.   ],21048.94150204374,128938.0,31319.0,18636.0,33528000000.0,16509280.394882571,104.39907500268686,7.533220910624788,63.99761928380121,51.12728786012278,6.19285074538208,1.5155242535462752,0.003967860331316337,5.023410375954766,[0.564 0.207 0.229 0.   ],0.5950381557520994,0.0004924027796135341,166309523.80903003,[15.064 12.827  2.292  0.   ],48.0,0.23809523809453118
16,[2432. 1622.  893.    0.],10081.0,201.60000000059856,[100.103  29.654  71.843   0.   ],17866.949637461053,146038.0,35449.0,19165.0,47392500000.0,30996582.51534478,88.61695088512853,5.910127963496002,45.67840492014681,55.506288448259546,8.550792198984064,2.0375954766392224,0.006844559071520683,7.991072314254538,[0.497 0.147 0.356 0.   ],0.5406358430421169,0.0006540398273006231,235081845.23739728,[12.063  8.046  4.43   0.   ],7080.0,35.11904761894335
17,[2974. 2182.  853.    0.],10081.0,201.60000000059856,[98.272 41.39  61.938  0.   ],18306.96964349152,178787.0,65452.0,46389.0,48604500000.0,32923431.016379938,90.7993732937692,6.2712032536459015,55.03342922329134,57.144707244083925,8.612312668222076,2.109413748636048,0.0037694673147505207,8.85705783156433,[0.487 0.205 0.307 0.   ],0.7087483957709466,0.000677374132361817,241093749.99928418,[14.752 10.823  4.231  0.   ],11784.0,58.452380952207406
18,[2338. 1746.  707.    0.],10081.0,201.60000000059856,[98.278 31.704 71.618  0.   ],18066.73203032945,154015.0,35785.0,19016.0,47344500000.0,27737186.276878953,89.60783667457561,5.7868068643987005,45.421287570677514,56.97857964547,8.421434537776035,2.071818271996826,0.003967860331316337,7.915881360976094,[0.487 0.157 0.355 0.   ],0.5313958362442364,0.0005858586800341952,234843749.99930274,[11.597  8.661  3.507  0.   ],5048.0,25.039682539608197
19,[3556. 3207.  358.    0.],10081.0,201.60000000059856,[114.549  52.557  34.494   0.   ],20824.19172036085,147171.0,30986.0,17534.0,33651000000.0,16953736.5659765,103.28435532367165,7.571312369805434,63.99722249776808,51.49653029830646,6.154549034901214,1.4934034321991867,0.004662235889296697,5.037893066164071,[0.568 0.261 0.171 0.   ],0.5658684567223907,0.0005038107802435738,166919642.85664728,[17.639 15.908  1.776  0.   ],40.0,0.19841269841210932
20,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23619.42595494148,59070.0,27611.0,14307.0,30958500000.0,19484355.56435564,117.14822911884434,12.80000000000204,64.0,69.74158029166233,8.761001339213482,2.152663426247396,0.0,4.713222894554112,[1. 0. 0. 0.],0.5181630509579516,0.0006293701427509615,153563988.09478217,[0. 0. 0. 0.],0.0,0.0
21,[4569. 4570.    0.    0.],10081.0,201.60000000059856,[126.976  74.624   0.      0.   ],21628.219888952688,71329.0,25163.0,10998.0,33285000000.0,16753598.324108666,107.27219466793935,7.900168634065007,64.0,66.09733434589417,9.32485023814723,2.2227953576034123,0.00446384287273088,5.518797738319611,[0.63 0.37 0.   0.  ],0.43707030163335053,0.0005033377895180611,165104166.66617647,[22.664 22.669  0.     0.   ],0.0,0.0
22,[3411. 2901.  536.    0.],10081.0,201.60000000059856,[106.095  49.634  45.871   0.   ],18994.701972886985,149016.0,45505.0,27713.0,45640500000.0,24886273.98965171,94.21040557923278,6.435075885329344,53.66808848328539,61.50608144481023,8.865926760782978,2.1502827100486064,0.004761432397579605,7.95873425255431,[0.526 0.246 0.228 0.   ],0.6090099989012197,0.0005452673390881281,226391369.04694688,[16.92  14.39   2.659  0.   ],8444.0,41.88492063479628
23,[5407. 5408.    0.    0.],10081.0,201.60000000059856,[112.902  88.698   0.      0.   ],21221.353241274213,68112.0,23849.0,9788.0,33346500000.0,15502318.356145294,105.25420712861383,6.9199484178163955,64.0,67.71447359755447,9.553999959297546,2.3160400753893464,0.0053566114472770555,5.468405912111893,[0.56 0.44 0.   0.  ],0.4104155310495199,0.0004648859207456643,165409226.1899851,[26.82  26.825  0.     0.   ],0.0,0.0
24,[5554. 5554.    0.    0.],10081.0,201.60000000059856,[112.12  89.48   0.     0.  ],21018.761187327716,63021.0,26128.0,13031.0,30585000000.0,16746971.85549453,104.24938591074692,6.884396389247794,64.0,67.3788430228886,8.28771312615923,2.0523757563733755,0.00575339748040869,4.583176272195219,[0.556 0.444 0.    0.   ],0.4987369871402327,0.0005475550712929387,151711309.5233591,[27.55 27.55  0.    0.  ],0.0,0.0
