id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,cell_traffic,cell_dropped_traffic,disconnects,num_rejects,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[14900. 14901.     0.     0.],20161.0,403.19999999737746,[173.783 229.417   0.      0.   ],41472.82849704444,170525.0,72730500000.0,1832853626.8704517,432878.0,130189.0,80.0,102.85409577164826,6.214294925847882,63.754972471603594,62.9739332892706,18.373698266327292,2.189028322007837,0.011656167848817022,6.822181439412727,[0.431 0.569 0.    0.   ],0.7634599032399941,0.025200619091996505,180383184.52498278,[36.954 36.957  0.     0.   ],0.19841269841398895
11,[15109. 15307.   438.     0.],20161.0,403.19999999737746,[209.792 179.011  14.397   0.   ],47267.25069977725,221079.0,103578000000.0,4060753528.457298,454964.0,160802.0,2520.0,117.22446976781143,7.560339268885547,62.98794702643718,75.29798985483296,37.48531025606715,3.59823421457269,0.021427508556123208,11.374336590446902,[0.52  0.444 0.036 0.   ],0.7273508564811674,0.039204787970971613,256889880.95405185,[37.473 37.964  1.086  0.   ],6.250000000040652
12,[14584. 15048.   779.     0.],20161.0,403.19999999737746,[206.399 168.566  28.235   0.   ],45821.584014254,226754.0,99867000000.0,3993458020.825047,485437.0,167298.0,7268.0,113.63916475932128,7.257100342245156,59.37542780616041,72.90061999586342,35.42683699933119,3.4297901889787212,0.018997073557859234,11.425722930410197,[0.512 0.418 0.07  0.   ],0.7377951436358344,0.03998776393428306,247686011.90637293,[36.171 37.321  1.932  0.   ],18.025793650910895
13,[13638. 14547.  1358.     0.],20161.0,403.19999999737746,[193.827 153.004  56.369   0.   ],43949.78331471397,188398.0,100575000000.0,3261588745.790707,456982.0,133832.0,9784.0,108.99703217775034,6.887475819652375,56.55532959674619,72.80099733894802,29.265146823871667,3.26258618124101,0.021129904270621495,10.880859084370815,[0.481 0.379 0.14  0.   ],0.7103684752492064,0.03242941830266674,249441964.28733674,[33.824 36.079  3.368  0.   ],24.26587301603085
14,[15538. 15538.     0.     0.],20161.0,403.19999999737746,[182.071 221.129   0.      0.   ],41887.296383547386,123585.0,72462000000.0,1282606581.8508532,390169.0,87076.0,104.0,103.88199093186678,6.5132880313486545,63.82242944298398,63.68560481785586,15.14052717483034,2.130846684192252,0.010118545707058182,6.3953672932890235,[0.452 0.548 0.    0.   ],0.7045838896306186,0.017700402719368128,179717261.90593085,[38.537 38.537  0.     0.   ],0.2579365079381856
15,[16327. 16327.     0.     0.],20161.0,403.19999999737746,[186.908 216.292   0.      0.   ],43138.81992300293,210416.0,72352500000.0,2557512615.374595,410309.0,166683.0,256.0,106.98581400476915,6.635266107832869,63.83572243440305,65.88354051530146,23.671063065578295,2.5575120281732056,0.011854570705818164,7.240315460542631,[0.464 0.536 0.    0.   ],0.7921593414949434,0.03534795087073142,179445684.5249767,[40.494 40.494  0.     0.   ],0.6349206349247647
16,[9.581e+03 1.102e+04 1.923e+03 5.000e+00],20161.0,403.19999999737746,[138.255 142.274 122.085   0.586],36038.682313776306,115923.0,59079000000.0,2138893098.1111958,309782.0,85298.0,2152.0,89.3772191701165,3.3403898616139767,29.68840831307971,47.15462714901989,20.388608265911994,2.276325579088339,0.014185804275581568,6.7240712266256635,[0.343 0.353 0.303 0.001],0.7358160158035938,0.036203948917740585,146525297.62000066,[2.376e+01 2.733e+01 4.769e+00 1.240e-02],5.337301587336303
17,[10918. 12096.  1628.    14.],20161.0,403.19999999737746,[159.589 168.429  73.499   1.683],40651.652338649525,285420.0,87861000000.0,4810206161.245321,486090.0,228029.0,9816.0,100.81754957255664,5.103080204355383,42.84926342939338,60.77112379757068,39.18915107587521,3.350081841178513,0.015326620703338128,11.368930112593622,[0.396 0.418 0.182 0.004],0.7989243921238876,0.05474791046363371,217909226.19189355,[27.078 30.     4.038  0.035],24.345238095396443
18,[ 9929. 11425.  1634.     0.],20161.0,403.19999999737746,[145.572 158.394  99.234   0.   ],38516.44515957962,185812.0,78318000000.0,3211789870.4414682,453842.0,141227.0,2112.0,95.52215951485066,4.455731362531969,36.84876742225088,55.395378288743665,28.075963262625468,2.7469867566092954,0.010465750706810177,9.320817419770846,[0.361 0.393 0.246 0.   ],0.7600531720233354,0.04100960022525432,194241071.42983484,[24.625 28.336  4.053  0.   ],5.238095238129309
19,[16475. 16476.     0.     0.],20161.0,403.19999999737746,[195.139 208.061   0.      0.   ],43429.56011855453,134617.0,73059000000.0,1749385396.304155,358692.0,96723.0,16.0,107.706860072801,6.962114974456249,63.981548534298895,66.89875990311981,18.906131882387736,2.4627250632409106,0.011011358563563315,6.8349288229750504,[0.484 0.516 0.    0.   ],0.7185050922246076,0.02394483083951539,181197916.66784525,[40.861 40.863  0.     0.   ],0.03968253968279779
