id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,disconnects,num_requests,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[1.268e+04 1.268e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[2.198e+02 1.833e+02 3.000e-02 0.000e+00],44247.234742915985,18248.0,73452000000.0,154458039.910235,83219.0,29076.0,13007.0,109.73472234242898,6.747839888895157,63.13734437775904,58.12888513064568,5.070722819296851,1.2335201626903427,0.009424135707554189,3.9118595307772432,[5.452e-01 4.547e-01 7.440e-05 0.000e+00],0.44734488925574356,0.002102843216117124,182172619.04880396,[3.144e+01 3.144e+01 2.480e-03 0.000e+00],45.25793650823088
11,[10311. 10311.    20.     0.],20161.0,403.19999999737746,[274.169 128.439   0.592   0.   ],46544.54154306955,3136.0,109101000000.0,148160569.02100885,33409.0,27486.0,7686.0,115.43212524941508,8.612985466989862,63.85397549724716,72.49590437044533,6.448915404609889,1.617231288130549,0.007489707851793066,5.779872030157234,[0.68  0.319 0.001 0.   ],0.2796332678454486,0.0013580129331629302,270587797.6208076,[25.573 25.573  0.05   0.   ],7.7777777778283665
12,[9422. 9390.   99.    0.],20161.0,403.19999999737746,[286.4   113.718   3.082   0.   ],46184.73342071378,4112.0,109477500000.0,157808028.17186004,43107.0,26738.0,7434.0,114.539788256318,9.090303060362787,63.79227220871981,70.72581052246629,6.226717776221174,1.5725906453052925,0.008233718565547344,5.8040275779971235,[0.71  0.282 0.008 0.   ],0.2780312663624804,0.0014414653985692042,271521577.38271844,[23.368 23.289  0.246  0.   ],10.198412698479032
13,[10179. 10177.    16.     0.],20161.0,403.19999999737746,[266.441 136.293   0.466   0.   ],45446.173183412684,5424.0,110068500000.0,145575080.73398784,48075.0,30654.0,11163.0,112.7081324919674,8.248360696393483,63.74406031446853,70.34062711938603,5.559950180467404,1.4880710282228065,0.00952333713605476,5.8293735429790186,[0.661 0.338 0.001 0.   ],0.36416128400861225,0.001322586214348227,272987351.1922518,[25.246 25.241  0.04   0.   ],13.45238095246845
14,[14082. 14083.     0.     0.],20161.0,403.19999999737746,[214.511 188.689   0.      0.   ],43720.69448743766,17228.0,74731500000.0,74292654.01369248,71899.0,25549.0,9284.0,108.42888370476848,6.748435097466149,63.228609691979564,59.94098812361664,4.560146504066424,1.213382272704727,0.008630524279549625,3.77744159515897,[0.532 0.468 0.    0.   ],0.36338017143528123,0.0009941276973390403,185345982.1440627,[34.926 34.928  0.     0.   ],42.72817460345252
15,[13367. 13367.     0.     0.],20161.0,403.19999999737746,[204.236 198.964   0.      0.   ],43215.37025715482,20384.0,73561500000.0,133516364.40691909,96626.0,24523.0,9320.0,107.17566156726349,6.229413223551317,62.979415703586135,55.27380229817425,4.126489925562723,1.0980606120728138,0.00982094142155647,3.811715688705917,[0.507 0.493 0.    0.   ],0.38005138033682667,0.0018150304766340966,182444196.4297581,[33.152 33.152  0.     0.   ],50.55555555588438
16,[10499. 10500.    18.     0.],20161.0,403.19999999737746,[262.404 140.271   0.525   0.   ],45440.47731204454,4944.0,109858500000.0,148796026.0337211,43840.0,23867.0,4662.0,112.69400652756195,8.14630226675219,63.76191657159863,70.33461506415003,5.688455525814369,1.5087545260651753,0.008977729279301622,5.668518426665344,[0.651 0.348 0.001 0.   ],0.19533246742363933,0.0013544334396857875,272466517.8589151,[26.039 26.042  0.045  0.   ],12.261904761984518
17,[9686. 9669.   82.    0.],20161.0,403.19999999737746,[279.148 121.597   2.455   0.   ],45703.35651521139,4784.0,109555500000.0,151006109.1384696,49024.0,27278.0,7837.0,113.34595633949051,8.815911909130433,63.7391002430435,71.36237036227584,5.661526637971844,1.5491791081791577,0.008432121422548485,5.793264223004812,[0.692 0.302 0.006 0.   ],0.28730112178312195,0.0013783526079336008,271715029.76367205,[24.023 23.981  0.203  0.   ],11.86507936515654
18,[1.136e+04 1.136e+04 7.000e+00 0.000e+00],20161.0,403.19999999737746,[2.395e+02 1.635e+02 2.100e-01 0.000e+00],44527.228556005015,7088.0,109645500000.0,151839547.03243324,61911.0,25649.0,7231.0,110.42911699817444,7.354039978175924,63.70259411735529,66.70208442749876,5.466835442453943,1.4367342889737613,0.009572937850305045,5.7487227816080555,[5.939e-01 4.056e-01 5.208e-04 0.000e+00],0.2819213224687122,0.0013848224234686627,271938244.0493878,[2.817e+01 2.817e+01 1.736e-02 0.000e+00],17.57936507947942
19,[14193. 14194.     0.     0.],20161.0,403.19999999737746,[208.085 195.115   0.      0.   ],43679.51303179687,19624.0,74131500000.0,90630186.60053533,77142.0,23121.0,7218.0,108.32675222408191,6.542651654184744,63.079212340657705,59.21250510669015,4.550337497501398,1.1908635484350976,0.00952333713605476,3.7477307673230493,[0.516 0.484 0.    0.   ],0.31218372907746206,0.0012225597296767951,183857886.9059578,[35.201 35.203  0.     0.   ],48.67063492095149
