id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[5497. 4764. 1614.    0.],10081.0,201.60000000059856,[77.738 83.505 40.357  0.   ],18397.827255552213,4272.0,33573000000.0,3315592.11116097,113712.0,228642.0,88983.0,91.25001118713227,5.998769963297624,59.79644876500347,66.89822710791213,5.909120890528733,1.6796944747544886,0.01517706576728499,5.047812716992362,[0.386 0.414 0.2   0.   ],0.7825295483326298,9.875769550415423e-05,166532738.09474367,[27.267 23.631  8.006  0.   ],21.190476190413275
11,[5499. 4174. 2488.    0.],10081.0,201.60000000059856,[73.517 63.705 64.378  0.   ],17321.654883552073,11152.0,42333000000.0,8795765.031851297,104717.0,223894.0,74649.0,85.91238410648857,5.433667294911357,50.385477631187385,76.6649544437389,8.97549300397078,2.4004563039381015,0.01011804384485666,7.112092054359686,[0.365 0.316 0.319 0.   ],0.712864195880325,0.00020777561315879568,209985119.0469956,[27.277 20.704 12.341  0.   ],55.31746031729608
12,[5021. 4268. 1631.    0.],10081.0,201.60000000059856,[67.799 79.172 54.629  0.   ],15852.12648784979,5332.0,25033500000.0,7051007.880431181,55913.0,220393.0,37584.0,78.62377982267732,2.95677016169025,30.90963198095427,46.17315376553495,5.000095370807712,1.3484773335978573,0.013093939093343915,4.502926296994346,[0.336 0.393 0.271 0.   ],0.6721871478904727,0.00028166288694873593,124174107.14248846,[24.906 21.171  8.09   0.   ],26.448412698334174
13,[5386. 4862. 1380.    0.],10081.0,201.60000000059856,[81.434 83.423 36.743  0.   ],19006.474932479097,5748.0,49261500000.0,5802660.802119152,115683.0,238210.0,82146.0,94.26879740341423,6.302390635850002,61.12171411566313,80.57774819940072,8.827907623335058,2.445392322190259,0.008828489237178851,7.835532189266938,[0.404 0.414 0.182 0.   ],0.7100956925390939,0.00011779301893200881,244352678.5707031,[26.716 24.117  6.845  0.   ],28.51190476182011
14,[5649. 5245. 1104.    0.],10081.0,201.60000000059856,[82.338 90.738 28.524  0.   ],19137.81252217974,2512.0,34425000000.0,3558420.2360694706,95323.0,223677.0,72354.0,94.9202089186428,6.27771054458929,63.025493502628706,62.9950555305639,5.40217810717093,1.5358595377442714,0.014780279734153358,4.801210197401051,[0.408 0.45  0.141 0.   ],0.7590403155586795,0.00010336732711893887,170758928.57092157,[28.021 26.017  5.476  0.   ],12.460317460280466
15,[5144. 5130.  936.    0.],10081.0,201.60000000059856,[ 72.774 100.422  28.404   0.   ],17004.086583146876,5008.0,23062500000.0,618524.3484196434,53602.0,199995.0,36066.0,84.33730077940581,3.5187778990179774,37.93631584168237,47.09653306382279,4.247106609508405,1.1835135403233805,0.01606983434183117,3.383592897530007,[0.361 0.498 0.141 0.   ],0.6728480280586545,2.6819483942315158e-05,114397321.42823178,[25.516 25.446  4.643  0.   ],24.841269841196087
16,[4944. 4171. 1891.    0.],10081.0,201.60000000059856,[67.403 72.549 61.648  0.   ],16420.087476835823,6364.0,36159000000.0,5711018.522517451,71139.0,231098.0,47169.0,81.4407671700929,4.081817280031761,41.99900803491717,59.65719471679168,6.378536312811564,1.7261184406308898,0.012994742585061007,5.728796746354528,[0.334 0.36  0.306 0.   ],0.6630540210011386,0.0001579418270006762,179360119.04708654,[24.524 20.689  9.38   0.   ],31.567460317366592
17,[5603. 4939. 1417.    0.],10081.0,201.60000000059856,[85.828 80.416 35.356  0.   ],19632.87758024809,2232.0,51004500000.0,10191554.643423798,146899.0,231989.0,111323.0,97.37564517530603,6.860509870053188,63.40680488046821,86.96556689191276,9.709274020311252,2.7261184406308896,0.004761432397579605,8.843567106437854,[0.426 0.399 0.175 0.   ],0.7578199987746683,0.0001998167738812026,252998511.90401074,[27.793 24.499  7.029  0.   ],11.0714285713957
18,[4773. 4101. 1601.    0.],10081.0,201.60000000059856,[62.624 79.603 59.373  0.   ],15062.630120461363,5268.0,18334500000.0,1662891.8598023145,34117.0,216682.0,19924.0,74.70801567532808,2.110981053466957,23.909929570479118,36.76865965922542,3.532594202002824,0.9962305326852495,0.017656978474357703,3.2277551830175577,[0.311 0.395 0.295 0.   ],0.5839903860245625,9.069742069880906e-05,90944940.47592045,[23.676 20.342  7.941  0.   ],26.1309523808748
19,[5456. 5311. 1030.    0.],10081.0,201.60000000059856,[78.46  92.642 30.498  0.   ],17993.62872706161,6640.0,27648000000.0,2018895.9185683888,68242.0,188142.0,48295.0,89.24525705316242,4.426941771649706,44.03571074298185,55.77582540991858,5.251413561127428,1.4362662434282314,0.013093939093343915,3.9276857454617597,[0.389 0.46  0.151 0.   ],0.707702001699833,7.30214090917386e-05,137142857.14244998,[27.063 26.344  5.109  0.   ],32.936507936410145
20,[5402. 4926. 1448.    0.],10081.0,201.60000000059856,[78.488 84.315 38.797  0.   ],18857.76708402532,160.0,32305500000.0,4875412.674591259,158392.0,235157.0,131549.0,93.53123243737005,6.344608669775393,63.97698641007837,71.99343398722844,6.226257392935794,1.7874218827497272,0.013689118143041365,4.991766689812518,[0.389 0.418 0.192 0.   ],0.8305280569725744,0.0001509158711238414,160245535.71380994,[26.796 24.435  7.183  0.   ],0.7936507936484373
21,[5535. 4561. 1694.    0.],10081.0,201.60000000059856,[79.703 80.445 41.452  0.   ],18908.431211403462,2104.0,35128500000.0,3262002.598460717,125785.0,234354.0,95975.0,93.78251766392657,6.64513441126934,63.79605197897034,75.70435685010739,7.4942840788638785,2.101676420989981,0.008630096220613035,5.679000099196508,[0.395 0.399 0.206 0.   ],0.7630083078268474,9.285914851077379e-05,174248511.90424454,[27.455 22.624  8.403  0.   ],10.43650793647695
22,[5086. 3741. 2366.    0.],10081.0,201.60000000059856,[68.664 65.34  67.596  0.   ],17058.48715595757,7956.0,41979000000.0,6377127.413939306,130398.0,235127.0,97931.0,84.60711812298123,5.03061204245626,49.861720067453625,78.70486032738569,8.91173916801495,2.4055153258605295,0.012201170518797738,7.1480011903581,[0.341 0.324 0.335 0.   ],0.7510161198791393,0.00015191232316013497,208229166.66604844,[25.228 18.557 11.736  0.   ],39.46428571416855
23,[5383. 4927. 1453.    0.],10081.0,201.60000000059856,[79.456 84.305 37.839  0.   ],19060.742089800482,96.0,35064000000.0,4712173.853066684,148240.0,237331.0,117083.0,94.53795302944906,6.4289653804192,63.98730284693979,76.77158514285598,7.7450962408415425,2.1615911119928577,0.011209205435968653,5.9368118242237875,[0.394 0.418 0.188 0.   ],0.7898205612520237,0.0001343878009658534,173928571.42805502,[26.701 24.439  7.207  0.   ],0.47619047618906235
24,[5391. 4896. 1623.    0.],10081.0,201.60000000059856,[77.775 81.853 41.972  0.   ],18816.35338946392,104.0,32344500000.0,4115611.1541501256,160237.0,232859.0,132200.0,93.32582774259009,6.379684555104241,63.99087392123797,74.39796595727299,6.814081551617177,1.9141950203352842,0.016764209899811526,5.123003670270807,[0.386 0.406 0.208 0.   ],0.8250279273825646,0.00012724299816507058,160438988.09476176,[26.741 24.286  8.051  0.   ],0.5158730158714843
