id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[ 793. 1479.  897.    0.],10081.0,201.60000000059856,[ 14.22   30.203 157.177   0.   ],10052.100249990153,41782.0,4120.0,909.0,2715000000.0,586341.4969808948,41085.0,49.85666228543532,0.27989286777105254,16.53923221902589,4.547512859128409,0.4670687676602405,0.1163575042158516,0.002876698740204345,0.5727606388255133,[0.071 0.15  0.78  0.   ],0.9833181752907951,0.00021596371896165554,13467261.90472192,[3.934 7.336 4.449 0.   ],20.43650793644726
11,[ 658. 1400.  890.    0.],10081.0,201.60000000059856,[ 11.305  27.133 163.162   0.   ],9821.505781504426,37111.0,3304.0,618.0,2829000000.0,1503428.3716861522,36531.0,48.71295398027736,0.21696260291637787,16.38845352643587,3.717596309368244,0.3548253697816376,0.08778890983037398,0.001785537149092352,0.5566908044836821,[0.056 0.135 0.809 0.   ],0.9843712106922475,0.0005314345605111885,14032738.095196432,[3.264 6.944 4.415 0.   ],16.38888888884023
12,[ 691. 1402.  917.    0.],10081.0,201.60000000059856,[ 11.827  27.002 162.771   0.   ],9826.50657492705,40146.0,3624.0,700.0,2676000000.0,1504568.8096705985,39527.0,48.737757042585585,0.2271996825711733,16.42337069735145,3.966362674192951,0.3760956840642727,0.09126078762027577,0.0023807161987898025,0.5518301755778197,[0.059 0.134 0.807 0.   ],0.9845812783340806,0.0005622454445704777,13273809.523770114,[3.428 6.954 4.549 0.   ],17.976190476137106
13,[350. 837. 584.   0.],10081.0,201.60000000059856,[  6.396  13.008 182.196   0.   ],9467.159937336999,18293.0,2360.0,348.0,1861500000.0,28257.740439314657,17980.0,46.95546045697773,0.13332010713222925,16.339252058327546,2.167892188103393,0.17907965635027934,0.04245610554508481,0.0012895546076778098,0.31653605793076084,[0.032 0.065 0.904 0.   ],0.9828896299130815,1.5180091560201266e-05,9233630.952353537,[1.736 4.152 2.897 0.   ],11.70634920631445
14,[ 736. 1175.  642.    0.],10081.0,201.60000000059856,[ 14.24   12.207 175.153   0.   ],9983.86010759458,22491.0,5232.0,630.0,1896000000.0,483142.8910605473,21762.0,49.51820309291641,0.28060708263068973,16.689217339549646,4.936504987179084,0.3633644617608867,0.09522864795159211,0.002876698740204345,0.33945045134411267,[0.071 0.061 0.869 0.   ],0.9675870348139256,0.000254822199926449,9404761.904733982,[3.651 5.828 3.185 0.   ],25.952380952303898
15,[ 623. 1338.  849.    0.],10081.0,201.60000000059856,[ 11.148  28.819 161.633   0.   ],9832.50139682538,39005.0,2896.0,650.0,2608500000.0,1246664.2725145887,38421.0,48.767490312590475,0.21593095923023528,16.39361174486658,3.754499435604763,0.35927468957185044,0.09245114571967067,0.0016863406408094434,0.5380418609264954,[0.055 0.143 0.802 0.   ],0.9850275605691577,0.00047792381541674855,12938988.09519968,[3.09  6.637 4.211 0.   ],14.365079365036715
16,[ 759. 1483.  891.    0.],10081.0,201.60000000059856,[ 13.745  34.548 153.307   0.   ],10007.983254506013,47639.0,3808.0,856.0,2652000000.0,549245.1341215463,46921.0,49.637849690037136,0.24918162880666533,16.416228548755083,4.6460120374831,0.43615061245925085,0.11348080547564726,0.0032734847733359787,0.5927983334986608,[0.068 0.171 0.76  0.   ],0.9849283150359999,0.00020710600834145787,13154761.904722847,[3.765 7.356 4.42  0.   ],18.888888888832806
17,[ 773. 1454.  890.    0.],10081.0,201.60000000059856,[ 13.062  32.215 156.323   0.   ],10005.947272611029,44303.0,3712.0,822.0,2664000000.0,187227.98919642656,43634.0,49.62775157529081,0.24513441126872323,16.409086400158714,4.157252338984117,0.37363231669224056,0.09850213272492808,0.003372681281618887,0.5716694772344013,[0.065 0.16  0.775 0.   ],0.9848994424756788,7.028077672538534e-05,13214285.714246482,[3.834 7.212 4.415 0.   ],18.412698412643746
18,[ 718. 1375.  818.    0.],10081.0,201.60000000059856,[ 13.168  29.606 158.826   0.   ],9997.935694574224,41975.0,3440.0,755.0,2584500000.0,291431.0060437962,41289.0,49.588015546937335,0.24378533875607547,16.40868961412558,4.314603756947711,0.41947293954822357,0.10981053466917964,0.0019839301656581687,0.5539133022517607,[0.065 0.147 0.788 0.   ],0.9836569386539606,0.0001127610779817358,12819940.476152413,[3.562 6.82  4.058 0.   ],17.0634920634414
19,[ 629. 1295.  819.    0.],10081.0,201.60000000059856,[ 10.655  27.609 163.336   0.   ],9798.332434945061,38406.0,2944.0,645.0,2505000000.0,204823.04393210867,37876.0,48.59801822708134,0.20331316337664998,16.31782561253844,3.4532051032566797,0.3310900576929982,0.0810435472671362,0.002182323182223986,0.5186985418113282,[0.053 0.137 0.81  0.   ],0.9862000729052752,8.176568620044258e-05,12425595.238058345,[3.12  6.424 4.062 0.   ],14.603174603131245
20,[ 697. 1145.  656.    0.],10081.0,201.60000000059856,[ 13.93   14.061 173.609   0.   ],9959.019495753637,23086.0,5240.0,585.0,1834500000.0,203716.54561735125,22414.0,49.39499799500496,0.2744172205138371,16.65310981053467,4.688570599327957,0.36772261089633274,0.09155837714512449,0.0026783057236385278,0.33756571768673743,[0.069 0.07  0.861 0.   ],0.9708914493632504,0.00011104744923267989,9099702.380925363,[3.457 5.68  3.254 0.   ],25.992063491986322
21,[ 602. 1080.  649.    0.],10081.0,201.60000000059856,[ 12.046  13.195 176.359   0.   ],9833.222410090508,21797.0,4480.0,518.0,1878000000.0,1030416.2036990885,21198.0,48.77106641250712,0.23696061898621143,16.582481896637237,4.06069858844913,0.31278678004990845,0.07836524154349767,0.0029758952484872534,0.3340938398968356,[0.06  0.065 0.875 0.   ],0.97251915401202,0.0005486774247598981,9315476.190448532,[2.986 5.357 3.219 0.   ],22.222222222156244
22,[ 682. 1419.  905.    0.],10081.0,201.60000000059856,[ 12.379  31.433 157.788   0.   ],9903.856873262755,41142.0,3560.0,754.0,2724000000.0,1791386.8274724851,40510.0,49.1214010180636,0.2359289753000691,16.445987501239955,4.058018310609295,0.3917932957399781,0.10137883146513242,0.0027775022319214363,0.5657176867374268,[0.061 0.156 0.783 0.   ],0.9846385688590734,0.0006576309939326304,13511904.761864645,[3.383 7.039 4.489 0.   ],17.65873015867773
23,[ 791. 1457.  880.    0.],10081.0,201.60000000059856,[ 14.518  33.442 153.64    0.   ],10079.430445742075,45937.0,3952.0,919.0,2677500000.0,806652.325218785,45189.0,49.992215284899046,0.2764011506794949,16.453129649836328,4.718278631631326,0.48751729950317607,0.11992857851403631,0.0032734847733359787,0.5802995734550144,[0.072 0.166 0.762 0.   ],0.9837168295709341,0.0003012707096988926,13281249.999960568,[3.924 7.227 4.365 0.   ],19.6031746031164
24,[ 779. 1512.  911.    0.],10081.0,201.60000000059856,[ 13.959  34.139 153.502   0.   ],10121.370461062035,45891.0,4104.0,940.0,2746500000.0,708232.3629106182,45151.0,50.200230438752584,0.2670370002975882,16.54399365142347,4.511474813347689,0.43459728301098555,0.10822339053665311,0.004364646364447972,0.5880369011010812,[0.069 0.169 0.761 0.   ],0.9838748338454163,0.0002578672357220529,13623511.904721456,[3.864 7.5   4.519 0.   ],20.357142857082415
25,[ 840. 1532.  876.    0.],10081.0,201.60000000059856,[ 14.81   32.311 154.479   0.   ],10127.991469362685,44654.0,4048.0,937.0,2709000000.0,623858.3751872306,43898.0,50.23306948398936,0.2734649340343206,16.47852395595675,4.822938848144398,0.4533452110379573,0.1209205435968654,0.0034718777899017954,0.5830770756869358,[0.073 0.16  0.766 0.   ],0.9830698257714874,0.00023029102074094892,13437499.999960104,[4.167 7.599 4.345 0.   ],20.079365079305465
26,[ 732. 1422.  879.    0.],10081.0,201.60000000059856,[ 12.687  28.13  160.783   0.   ],9894.686854068268,40386.0,3656.0,853.0,2670000000.0,60034.51819886928,39746.0,49.07591932381433,0.24981648645967577,16.480507886122407,4.109855303983933,0.363947577740681,0.10028766987402044,0.00317428826505307,0.5486558873127666,[0.063 0.14  0.798 0.   ],0.9841529242806913,2.2484838276730068e-05,13244047.619008297,[3.631 7.054 4.36  0.   ],18.13492063486679
27,[ 587. 1015.  604.    0.],10081.0,201.60000000059856,[ 11.818  12.221 177.561   0.   ],9814.606242724407,20524.0,4104.0,573.0,1786500000.0,0.0,19908.0,48.6787334724907,0.22021624838805737,16.47376252355917,4.050955349689006,0.3223070315501812,0.08163872631683365,0.002876698740204345,0.3138577522071223,[0.059 0.061 0.881 0.   ],0.9699863574351978,0.0,8861607.142830832,[2.912 5.035 2.996 0.   ],20.357142857082415
28,[ 656. 1099.  655.    0.],10081.0,201.60000000059856,[ 13.128  13.007 175.465   0.   ],9911.139110847693,21626.0,4968.0,612.0,1815000000.0,1061569.843081807,20988.0,49.157519645109154,0.2557682769566505,16.63644479714314,4.210394991257872,0.35457068347363135,0.08550739013986708,0.0036702708064676125,0.32615811923420296,[0.065 0.065 0.87  0.   ],0.970498474059003,0.0005848869658852931,9002976.190449461,[3.254 5.451 3.249 0.   ],24.642857142783978
29,[ 752. 1478.  965.    0.],10081.0,201.60000000059856,[ 13.059  32.267 156.274   0.   ],9951.823707990152,44717.0,3584.0,752.0,2775000000.0,1194913.436771473,44056.0,49.35930814398064,0.2634659259994041,16.452732863803195,4.399543474113963,0.4224260465975275,0.10673544291240948,0.0020831266739410772,0.5812915385378434,[0.065 0.16  0.775 0.   ],0.9852181496969833,0.00043059943667440463,13764880.952340083,[3.73  7.331 4.787 0.   ],17.777777777724996
30,[ 820. 1498.  900.    0.],10081.0,201.60000000059856,[ 13.483  34.338 153.779   0.   ],10048.31104593162,47006.0,3728.0,806.0,2749500000.0,1445191.0434351494,46313.0,49.83786849484585,0.2641007836524153,16.465826802896537,4.330183098805177,0.39923484865172476,0.10395794068048805,0.0016863406408094434,0.600238071619879,[0.067 0.17  0.763 0.   ],0.9852572012083564,0.0005256195829915073,13638392.857102364,[4.067 7.431 4.464 0.   ],18.49206349200859
31,[ 774. 1489.  935.    0.],10081.0,201.60000000059856,[ 13.882  32.579 155.139   0.   ],10113.730845514565,44029.0,3696.0,918.0,2761500000.0,625034.3410447143,43327.0,50.162339279405664,0.27433786330721033,16.48765003471878,4.507448767795099,0.4940333709855781,0.12032536454716794,0.0026783057236385278,0.5940878881063386,[0.069 0.162 0.77  0.   ],0.9840559631152195,0.00022633870760264868,13697916.666625997,[3.839 7.386 4.638 0.   ],18.3333333332789
32,[ 828. 1484.  840.    0.],10081.0,201.60000000059856,[ 14.642  33.059 153.899   0.   ],10079.997060595275,45021.0,3832.0,795.0,2757000000.0,1820104.8929329098,44266.0,49.995025595647704,0.2702906457692674,16.422973911318323,4.841147967428459,0.4671649967682266,0.11963098898918759,0.001785537149092352,0.5849618093443111,[0.073 0.164 0.763 0.   ],0.983230048199729,0.0006601758770159266,13675595.238054635,[4.107 7.361 4.167 0.   ],19.00793650788007
33,[ 739. 1407.  881.    0.],10081.0,201.60000000059856,[ 12.502  25.88  163.218   0.   ],9907.438302912771,37760.0,3656.0,813.0,2614500000.0,863915.9860077326,37106.0,49.13916428386007,0.2472770558476336,16.438845352643586,4.360274824657753,0.40012993313146494,0.10425553020533677,0.002876698740204345,0.5250471183414344,[0.062 0.128 0.81  0.   ],0.9826800847457627,0.0003304325821410337,12968749.999961495,[3.666 6.979 4.37  0.   ],18.13492063486679
