id,sleep_switches,steps,time,sleep_time,energy_consumption,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
12,[5.878e+03 6.182e+03 4.140e+02 2.000e+00],10081.0,201.60000000059856,[ 72.101 110.376  18.894   0.229],18085.95010877985,25966500000.0,5795752.667092498,5626.0,11175.0,292.0,89.70315498848042,5.153218926694054,60.079753992659455,91.9271325562456,39.808220097275594,2.8118420314917882,0.7580597162979863,0.01775617498264061,2.5000495982541415,[0.358 0.548 0.094 0.001],0.05190188410949165,0.00022320115021633638,128802083.33295092,[2.916e+01 3.066e+01 2.054e+00 9.921e-03],4768.0,23.650793650723433
13,[4268. 5165. 1016.    0.],10081.0,201.60000000059856,[53.218 65.    83.382  0.   ],15290.462013709703,23031000000.0,2636863.837273753,5104.0,14068.0,613.0,75.83802208961966,3.5706775121515255,37.57603412359885,77.86145026994487,32.5922591230707,2.1483408031343,0.6008332506695764,0.0164666203749628,2.177561749826406,[0.264 0.322 0.414 0.   ],0.12010188087774294,0.00011449193857295614,114241071.42823224,[21.171 25.62   5.04   0.   ],8048.0,39.92063492051639
14,[5410. 5411.    0.    0.],10081.0,201.60000000059856,[ 63.967 137.633   0.      0.   ],17793.285889290568,20472000000.0,870107.8744463729,5024.0,6738.0,14.0,88.25159155484273,4.643348874119817,64.0,89.87569153393247,38.099070291883216,2.302758117412214,0.6503323083027478,0.01011804384485666,1.7765102668386072,[0.317 0.683 0.    0.   ],0.002786624203821656,4.250233853294123e-05,101547619.04731755,[26.835 26.84   0.     0.   ],0.0,0.0
15,[5145. 5156.   12.    0.],10081.0,201.60000000059856,[ 59.266 141.739   0.595   0.   ],17387.392952940227,20175000000.0,3279490.9765996854,4970.0,6480.0,42.0,86.23843345371,4.295446880269921,64.0,87.71974236904751,37.09511284562898,2.167950573279446,0.6155143338954469,0.010911615911119929,1.7451641702212082,[0.294 0.703 0.003 0.   ],0.008450704225352112,0.00016255221693183076,100074404.76160763,[25.521 25.575  0.06   0.   ],0.0,0.0
16,[3577. 4053.  839.  241.],10081.0,201.60000000059856,[44.243 46.815 62.948 47.594],13126.654661760347,20935500000.0,7416174.222627369,4246.0,18181.0,411.0,65.10591539410622,2.8945541116951836,31.8055748437655,67.33647522877081,28.333661184292104,2.0309036904796627,0.5408193631584168,0.012399563535363554,2.0180537645074894,[0.219 0.232 0.312 0.236],0.09679698539802167,0.00035423917377790684,103846726.19016787,[17.743 20.104  4.162  1.195],3120.0,15.476190476144527
17,[4199. 4796.  868.   34.],10081.0,201.60000000059856,[52.896 55.359 89.487  3.858],14945.71313437664,22590000000.0,7167296.103083788,4998.0,13424.0,644.0,74.12812783640688,3.477036008332446,36.30433488741196,76.32829219971437,32.27114633626111,2.315044117273898,0.6157127269120127,0.014482690209304632,2.1828191647654003,[0.262 0.275 0.444 0.019],0.12885154061624648,0.000317277383934652,112053571.42823873,[20.828 23.79   4.306  0.169],6728.0,33.37301587291679
18,[3431. 4333.  964.    0.],10081.0,201.60000000059856,[43.3   59.248 99.052  0.   ],14155.817417063272,20499000000.0,1192386.1772615134,4404.0,27868.0,689.0,70.21038298315027,2.824243626624257,31.18698541811328,72.15731918975193,27.221147386429777,1.8348205225127554,0.5158218430711239,0.007340541612935225,1.9938498164864598,[0.215 0.294 0.491 0.   ],0.15644868301544052,5.8168016842846646e-05,101681547.61874573,[17.019 21.493  4.782  0.   ],3784.0,18.76984126978554
19,[5545. 5546.    0.    0.],10081.0,201.60000000059856,[ 66.062 135.538   0.      0.   ],17972.09355900012,20184000000.0,3319331.4828121183,5346.0,7374.0,113.0,89.13844637931147,4.799523856760463,64.0,90.83620949591678,39.93430843162959,2.491119182507755,0.689118143041365,0.009919650828290844,1.8003174288265054,[0.328 0.672 0.    0.   ],0.021137298915076694,0.00016445360101130193,100119047.61875036,[27.505 27.51   0.     0.   ],0.0,0.0
20,[5746. 5747.    0.    0.],10081.0,201.60000000059856,[ 72.158 129.442   0.      0.   ],18532.060106016128,20023500000.0,2482866.5477576614,6036.0,9452.0,0.0,91.91578269027313,5.2883642495787475,64.0,94.11714752669403,46.728232241973515,3.443202593080355,0.9376053962900506,0.010812419402837021,1.985914095823827,[0.358 0.642 0.    0.   ],0.0,0.00012399763017243047,99322916.66637178,[28.502 28.507  0.     0.   ],0.0,0.0
21,[5579. 5580.    0.    0.],10081.0,201.60000000059856,[ 70.372 131.228   0.      0.   ],18370.988193874877,20626500000.0,3306916.561438265,5875.0,8821.0,0.0,91.11689412692999,5.132189266938101,64.0,93.02827176376105,44.66976102851193,3.123162449746918,0.8750123995635354,0.011308401944251562,2.100783652415435,[0.349 0.651 0.    0.   ],0.0,0.00016032368852875013,102313988.09493433,[27.674 27.679  0.     0.   ],0.0,0.0
22,[6175. 6205.   32.    0.],10081.0,201.60000000059856,[ 78.654 122.077   0.869   0.   ],19041.249413759346,26803500000.0,4136306.597342062,6326.0,10764.0,211.0,94.44127275943003,5.728876103561587,63.99960321396687,96.61322024344713,46.19360841713775,3.3521313980453065,0.9259002083126674,0.012201170518797738,2.700823331018748,[0.39  0.606 0.004 0.   ],0.03335441036990199,0.00015431964472334067,132953869.0472243,[30.63  30.779  0.159  0.   ],8.0,0.039682539682421865
23,[5655. 5656.    0.    0.],10081.0,201.60000000059856,[ 71.166 130.434   0.      0.   ],18434.3016786768,20485500000.0,491098.2804796193,5928.0,8942.0,0.0,91.4309179579083,5.1817081638729405,64.0,93.38164729275422,45.76363091403551,3.181207981997786,0.8870151770657673,0.009423668286876302,2.0849122110901694,[0.353 0.647 0.    0.   ],0.0,2.3972970173030644e-05,101614583.33303164,[28.051 28.056  0.     0.   ],0.0,0.0
