id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
10,[5090. 5091.    0.    0.],10081.0,201.60000000059856,[ 59.929 141.671   0.      0.   ],17449.68129347527,4948.0,6315.0,20269500000.0,836301.6226408915,86.54737274810023,4.318301755778308,64.0,87.76784946262265,36.934285788693934,2.1672056142415945,0.6049003075091757,0.011407598452534471,1.7080646761234004,[0.297 0.703 0.    0.   ],20.0,0.004042037186742118,4.125911456330405e-05,100543154.76160625,[25.248 25.253  0.     0.   ],0.0,0.0
11,[5584. 5746.  222.    0.],10081.0,201.60000000059856,[ 67.093 126.359   8.148   0.   ],17903.624043199605,5307.0,8067.0,26671500000.0,3110298.8872019267,88.79884953475167,4.833409383989899,63.44608669774824,90.54308392639025,38.28545655791871,2.4426133817059505,0.6853486757266144,0.013887511159607182,2.396686836623351,[0.333 0.627 0.04  0.   ],108.0,0.02035048049745619,0.00011661507178831061,132299107.14246434,[27.698 28.502  1.101  0.   ],2480.0,12.301587301550779
12,[6098. 6376.  387.    0.],10081.0,201.60000000059856,[ 74.862 112.074  14.664   0.   ],18412.801852632518,5734.0,9909.0,26239500000.0,5039635.97822058,91.3242825742974,5.398194623549582,61.58317627219522,93.77930623167443,41.93094995181244,2.819718512327625,0.7838508084515425,0.01775617498264061,2.497569685547069,[0.371 0.556 0.073 0.   ],181.0,0.03156609696546913,0.00019206295768671582,130156249.99961357,[30.248 31.627  1.92   0.   ],4512.0,22.38095238088593
13,[4278. 5147.  995.    0.],10081.0,201.60000000059856,[52.677 62.856 86.067  0.   ],15208.888995494068,4962.0,14106.0,23544000000.0,4220865.778972789,75.43343416076581,3.56496379327443,37.7510167642099,77.59900881831275,33.111618064152054,2.2120544657833796,0.6039083424263466,0.016268227358396985,2.2260688423767485,[0.261 0.312 0.427 0.   ],460.0,0.09270455461507457,0.00017927564470662541,116785714.28536755,[21.22  25.531  4.936  0.   ],8200.0,40.674603174482414
14,[5291. 5292.    0.    0.],10081.0,201.60000000059856,[ 62.534 139.066   0.      0.   ],17670.635709359733,4917.0,6550.0,20095500000.0,1109064.8731398499,87.64326807537219,4.546850510862182,64.0,89.23296020621541,37.400635853901804,2.2783348991388173,0.6321793472869754,0.009324471778593394,1.7494296200773733,[0.31 0.69 0.   0.  ],17.0,0.0034573927191376857,5.518971277847528e-05,99680059.52351357,[26.245 26.25   0.     0.   ],0.0,0.0
15,[5105. 5119.   16.    0.],10081.0,201.60000000059856,[ 59.664 141.094   0.842   0.   ],17417.758146457945,4889.0,6370.0,20356500000.0,557838.0257836878,86.38903951222449,4.339886915980674,64.0,87.90123289580599,36.49129489303862,2.1916847358787823,0.609959329431604,0.009820454320007936,1.7393115762325166,[0.296 0.7   0.004 0.   ],27.0,0.005522601759050931,2.7403435059253202e-05,100974702.38065259,[25.322 25.392  0.079  0.   ],0.0,0.0
16,[3569. 4044.  814.  267.],10081.0,201.60000000059856,[44.298 42.884 64.791 49.627],13104.732174508988,4316.0,18147.0,21643500000.0,830476.960787735,64.9971836846953,3.005019343319019,32.679297688721356,67.17597307406484,28.768748495256936,1.8853054444925235,0.5270310485070926,0.012002777502231922,2.036901101081242,[0.22  0.213 0.321 0.246],411.0,0.09522706209453198,3.837073305092683e-05,107358630.9520622,[17.703 20.06   4.038  1.324],2888.0,14.325396825354293
17,[4018. 4661.  871.   32.],10081.0,201.60000000059856,[50.125 54.708 93.029  3.738],14697.702812562346,4705.0,14125.0,22749000000.0,2693274.3295463054,72.89803993930205,3.364269417716408,34.5838706477532,75.3231130238192,31.10481608435562,2.138032775120259,0.5893264557087591,0.013689118143041365,2.1618887015177064,[0.249 0.271 0.461 0.019],540.0,0.11477151965993623,0.00011839088881033475,112842261.90442687,[19.931 23.12   4.32   0.159],5808.0,28.809523809438275
18,[3501. 4372.  912.    0.],10081.0,201.60000000059856,[44.264 58.245 99.091  0.   ],14251.346617227768,4985.0,28026.0,21090000000.0,4420750.499657041,70.68419113791988,2.913044340839108,32.08768971332209,72.58229285773987,28.32500110134301,1.9332927598176455,0.540620970141851,0.0077373276460668584,2.0476143239757962,[0.22  0.289 0.492 0.   ],1102.0,0.22106318956870613,0.0002096135846210072,104613095.23778464,[17.366 21.687  4.524  0.   ],3696.0,18.3333333332789
19,[5544. 5545.    0.    0.],10081.0,201.60000000059856,[ 66.204 135.396   0.      0.   ],17979.200992744703,5166.0,6958.0,20295000000.0,1778136.597800488,89.17369800982813,4.800793572066485,64.0,90.81753080150737,38.97566243334002,2.395247016205975,0.6716595575835731,0.010614026386271203,1.79535760341236,[0.328 0.672 0.    0.   ],30.0,0.005807200929152149,8.761451578223641e-05,100669642.85684396,[27.5   27.505  0.     0.   ],0.0,0.0
