id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,disconnects,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
21,[1111. 1952.  818.  782.],10081.0,201.60000000059856,[21.053 29.232 58.332 92.983],7459.602011831147,7760.0,3943500000.0,13244037.627326261,48228.0,3972.0,36.9983236376972,0.3329034817974363,16.869754984624542,6.904185372149494,0.45222574059459025,0.11229044737625235,0.22646562840987997,0.7992262672353934,[0.104 0.145 0.289 0.461],0.0,0.0,0.0033584474774505544,19561011.90470383,[5.511 9.683 4.058 3.879],38.49206349194921
22,[1496. 2450.  786.  803.],10081.0,201.60000000059856,[26.328 36.351 42.352 96.569],8187.425918262292,8296.0,5725500000.0,15224326.478671325,54285.0,4940.0,40.6082031458371,0.4112290447376176,16.70707271104057,9.142836193324975,0.8481824247831288,0.1634758456502331,0.293621664517409,1.2147604404324968,[0.131 0.18  0.21  0.479],0.0,0.0,0.0026590387701810017,28400297.618963297,[ 7.421 12.153  3.899  3.983],41.150793650671474
23,[1558. 2508.  800.  827.],10081.0,201.60000000059856,[27.17  34.736 39.849 99.845],8307.982159793697,8784.0,5955000000.0,21705261.57008762,49754.0,4713.0,41.20614105641751,0.43852792381707334,16.89633964884436,9.087374040341603,0.728813451224719,0.16049995040174586,0.27755183017557783,1.2170419601230036,[0.135 0.172 0.198 0.495],0.0,0.0,0.003644880196488265,29538690.476102777,[ 7.728 12.44   3.968  4.102],43.57142857129921
24,[1549. 2461.  803.  802.],10081.0,201.60000000059856,[27.882 34.673 42.389 96.656],8423.81273729292,8344.0,5896500000.0,20860729.37124432,52337.0,5290.0,41.780640498432874,0.4355123499652727,16.74516417022121,9.688204652673205,0.7921745451214041,0.1740898720365043,0.31127864299176666,1.2125781172502728,[0.138 0.172 0.21  0.479],0.0,0.0,0.0035378155467216685,29248511.904675066,[ 7.684 12.207  3.983  3.978],41.388888888766004
25,[1546. 2446.  797.  811.],10081.0,201.60000000059856,[26.542 34.128 43.379 97.551],8204.917457321177,8184.0,5785500000.0,16738139.453984786,51411.0,4700.0,40.694958125794095,0.4243229838309606,16.735244519392918,9.049776343820465,0.7119512109104369,0.16049995040174586,0.2765598650927487,1.2331117944648349,[0.132 0.169 0.215 0.484],0.0,0.0,0.0028931189100310753,28697916.666581463,[ 7.669 12.133  3.953  4.023],40.595238095117566
26,[1484. 2410.  775.  829.],10081.0,201.60000000059856,[ 25.791  33.246  42.075 100.488],8171.275343812425,8768.0,5737500000.0,21847382.898254648,51541.0,4792.0,40.52809911622773,0.4116258307707492,16.8479317528023,8.977386885538602,0.7073529767070156,0.15960718182719968,0.2926296994345799,1.2164467810733062,[0.128 0.165 0.209 0.498],0.0,0.0,0.0038078227273646444,28459821.428486932,[ 7.361 11.954  3.844  4.112],43.49206349193436
27,[1074. 1985.  853.  778.],10081.0,201.60000000059856,[20.156 30.414 57.983 93.047],7317.51427139914,7208.0,3832500000.0,13915967.097132958,51102.0,4073.0,36.29359325166311,0.3129848229342294,16.783255629401847,6.745968180844654,0.4787810154799966,0.10713222894554111,0.23301259795655194,0.7885130443408392,[0.1   0.151 0.288 0.462],0.0,0.0,0.00363104164308753,19010416.666610226,[5.327 9.846 4.231 3.859],35.7539682538621
28,[1134. 1998.  784.  797.],10081.0,201.60000000059856,[20.753 29.547 57.111 94.189],7460.763510946507,7712.0,3928500000.0,5945410.988406044,50909.0,4152.0,37.004084470528355,0.3173494692986767,16.854280329332408,6.91793034130189,0.45733734875881926,0.11050491022716001,0.24303144529312568,0.8171808352345997,[0.103 0.147 0.283 0.467],0.0,0.0,0.0015134048589553377,19486607.142799288,[5.625 9.911 3.889 3.953],38.25396825385468
29,[1498. 2452.  764.  827.],10081.0,201.60000000059856,[25.629 37.102 39.574 99.295],8225.677689300519,8944.0,5866500000.0,19170032.21402999,54191.0,5025.0,40.797925251968046,0.39162781470091507,16.836424957841484,8.623653148902504,0.6422610826723287,0.152762622755679,0.30463247693681184,1.268723340938399,[0.127 0.184 0.196 0.493],0.0,0.0,0.003267711960117615,29099702.380865984,[ 7.431 12.163  3.79   4.102],44.36507936494765
30,[1545. 2503.  778.  817.],10081.0,201.60000000059856,[26.612 35.099 41.594 98.295],8309.396436366651,8600.0,5737500000.0,20739194.604208376,53473.0,4911.0,41.213155621307045,0.40234103759546913,16.754290248983235,9.025270020068648,0.7471319503681517,0.1597063783354826,0.302251760738022,1.2257712528518996,[0.132 0.174 0.206 0.488],0.0,0.0,0.003614674440820632,28459821.428486932,[ 7.664 12.416  3.859  4.053],42.658730158603504
