id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,disconnects,num_rejects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
15,[10071. 10072.     0.     0.],20161.0,403.19999999737746,[159.964 243.236   0.      0.   ],65673.05400416798,1735145.0,2791225.0,1515253.0,120478500000.0,42487680934.76888,162.8715192802222,5.560993998314405,64.0,58.76982018628059,254.89772541302656,9.565894548881504,0.1357075541887803,30.274143147661327,[0.397 0.603 0.    0.   ],0.8732716862279521,0.35265778487256133,298805803.5733721,[24.978 24.98   0.     0.   ],0.0,0.0
16,[11877. 11878.     0.     0.],20161.0,403.19999999737746,[184.744 218.456   0.      0.   ],37616.05237785343,297198.0,809212.0,242966.0,48771000000.0,12846327588.603466,93.28915326088217,2.1323545459054465,20.469024353950697,45.83253957639212,110.5931740985587,5.521551510341749,0.36436684688259513,11.417588413273151,[0.458 0.542 0.    0.   ],0.8175223251838841,0.2634009470505724,120959821.42935818,[29.457 29.459  0.     0.   ],400.0,0.9920634920699447
17,[10264. 10265.     0.     0.],20161.0,403.19999999737746,[170.052 233.148   0.      0.   ],77615.52213807193,3644481.0,2821935.0,3318716.0,172315500000.0,78735493929.14694,192.48926674789905,5.529368582908305,58.77287832944794,54.604350241393234,414.3766359050915,12.335300828331928,1.911462725063241,47.1564406527454,[0.422 0.578 0.    0.   ],0.9106141587787122,0.4569263585060366,427369791.6694464,[25.456 25.459  0.     0.   ],488.0,1.2103174603253326
18,[12096. 12097.     0.     0.],20161.0,403.19999999737746,[188.322 214.878   0.      0.   ],33962.047418458336,70817.0,454900.0,44691.0,33403500000.0,5045809714.33314,84.2270904678766,1.7482862953228078,16.50949853677893,45.216568506309045,74.69076599395261,4.711472645206091,0.20599176628143445,7.026486781409652,[0.467 0.533 0.    0.   ],0.6310772837030656,0.15105631788085502,82845982.143396,[30.    30.002  0.     0.   ],96.0,0.23809523809678673
19,[10247. 10248.     0.     0.],20161.0,403.19999999737746,[161.48 241.72   0.     0.  ],65058.600815366655,2052134.0,2805004.0,1833510.0,120966000000.0,42742491925.56609,161.34765342832623,5.690511383364779,64.0,61.63138400627708,248.18446516409782,9.496155944645603,0.07454987351817866,30.528346808194037,[0.4 0.6 0.  0. ],0.8934650466295087,0.3533430213908544,300014880.95433235,[25.414 25.417  0.     0.   ],0.0,0.0
20,[10383. 10384.     0.     0.],20161.0,403.19999999737746,[158.737 244.463   0.      0.   ],63571.28655762268,1513809.0,2710725.0,1310937.0,103038000000.0,36681890308.906975,157.65906095339105,5.655592480532571,64.0,63.2661553870295,239.71443651401268,9.13744357918754,0.11819850205842965,25.848420217251128,[0.394 0.606 0.    0.   ],0.8659857353206382,0.35600351626494087,255550595.23975742,[25.751 25.754  0.     0.   ],0.0,0.0
21,[10467. 10468.     0.     0.],20161.0,403.19999999737746,[162.684 240.516   0.      0.   ],66894.24298878718,1816110.0,2700962.0,1598325.0,115801500000.0,45158064508.85215,165.90011157381107,5.790823867864579,64.0,59.28423080195986,280.87013292900235,9.963890680025793,0.21581270770299094,29.546947076037895,[0.403 0.597 0.    0.   ],0.8800816029866032,0.38996096344911035,287206101.19234425,[25.96  25.962  0.     0.   ],0.0,0.0
22,[10264. 10264.     0.     0.],20161.0,403.19999999737746,[167.311 235.889   0.      0.   ],75764.28301503758,2937462.0,2824279.0,2642424.0,158464500000.0,67300638931.84927,187.8981276103661,5.774991319875765,63.188532314865334,59.923989403046754,364.37518696753153,11.680720202370914,1.1324339070482614,41.30186994692723,[0.415 0.585 0.    0.   ],0.8995602326089666,0.4247048325135868,393017113.0977944,[25.456 25.456  0.     0.   ],432.0,1.0714285714355403
23,[10282. 10283.     0.     0.],20161.0,403.19999999737746,[159.463 243.737   0.      0.   ],65958.48575230909,2023530.0,2788336.0,1801960.0,115786500000.0,45816375834.60919,163.5794002091004,5.660036704529397,64.0,59.591011271194716,265.7708806623115,9.665492783096077,0.1256882099102227,29.892812856505135,[0.395 0.605 0.    0.   ],0.8905032295048751,0.39569704442753856,287168898.81139165,[25.501 25.503  0.     0.   ],0.0,0.0
24,[10138. 10139.     0.     0.],20161.0,403.19999999737746,[155.791 247.409   0.      0.   ],64012.971514018966,1608301.0,2760465.0,1399167.0,102007500000.0,36777109349.48793,158.7544554189337,5.558454441744789,64.0,62.46227196772057,241.82329616283275,9.232032141262835,0.09181092207727791,25.80541639799613,[0.386 0.614 0.    0.   ],0.8699658832519535,0.3605333857754374,252994791.66831222,[25.144 25.146  0.     0.   ],0.0,0.0
