id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,disconnects,cell_traffic,cell_dropped_traffic,ant_switches,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
20,[1322. 1323.    0.    0.],10081.0,201.60000000059856,[ 19.788 181.812   0.      0.   ],13277.824492336453,19350.0,938.0,2758500000.0,222725.15668876862,2920.0,18381.0,65.85569136163389,0.29322487848427564,16.249578414839796,5.178186814398751,0.3643655257446842,0.11705187977383195,0.0012895546076778098,0.40333300267830574,[0.098 0.902 0.    0.   ],0.949922480620155,8.074140173600458e-05,13683035.714245088,[6.558 6.562 0.    0.   ],14.48412698408398
21,[1383. 1384.    0.    0.],10081.0,201.60000000059856,[ 20.888 180.712   0.      0.   ],13331.673568659062,17807.0,1091.0,2772000000.0,198509.56443904713,3592.0,16799.0,66.12277337890716,0.31544489633964634,16.32298383096915,5.283389486776298,0.35159125408602426,0.12121813312171412,0.0012895546076778098,0.3899414740601131,[0.104 0.896 0.    0.   ],0.9433930476778795,7.161239698378324e-05,13749999.999959176,[6.86  6.865 0.    0.   ],17.817460317407416
22,[1200. 1201.    0.    0.],10081.0,201.60000000059856,[ 17.39 184.21   0.     0.  ],13170.815619847,39472.0,1317.0,4024500000.0,198509.56443904713,1048.0,38565.0,65.32494603632179,0.2710842178355309,16.107925801011806,5.223622677636713,0.4592316606384267,0.14026386271203253,0.00039678603313163377,0.6996329729193532,[0.086 0.914 0.    0.   ],0.9770216862586137,4.932527380768968e-05,19962797.61898835,[5.952 5.957 0.    0.   ],5.198412698397264
23,[1576. 1577.    0.    0.],10081.0,201.60000000059856,[ 23.314 178.286   0.      0.   ],13423.561398320131,49959.0,1948.0,4096500000.0,382275.7933649508,1648.0,48720.0,66.57852097171046,0.37385180041661936,16.15752405515326,7.371811060799259,0.6859246496763092,0.2044440035710743,0.0005951790496974506,0.7944648348378137,[0.116 0.884 0.    0.   ],0.9751996637242539,9.331765979859656e-05,20319940.476130147,[7.817 7.822 0.    0.   ],8.174603174578904
24,[1248. 1249.    0.    0.],10081.0,201.60000000059856,[ 18.677 182.923   0.      0.   ],13226.566295093484,48373.0,1413.0,3859500000.0,47909.60362556085,1432.0,47402.0,65.60145965226513,0.2874318024005533,16.132526535065967,5.577067956826747,0.49339937014344243,0.15206824719769865,0.0002975895248487253,0.7631187382204146,[0.093 0.907 0.    0.   ],0.9799268186798421,1.241342236703222e-05,19144345.2380384,[6.19  6.195 0.    0.   ],7.103174603153514
25,[1348. 1349.    0.    0.],10081.0,201.60000000059856,[ 20.421 181.179   0.      0.   ],13305.064932226065,45736.0,1600.0,4027500000.0,634053.3856236977,1480.0,44662.0,65.99079918769087,0.3168733260589187,16.136891181430414,6.313747090675222,0.5829894937750129,0.17488344410276757,0.000892768574546176,0.7702608868167841,[0.101 0.899 0.    0.   ],0.9765174042329894,0.0001574310082243818,19977678.571369257,[6.687 6.691 0.    0.   ],7.341269841248045
26,[1161. 1162.    0.    0.],10081.0,201.60000000059856,[ 17.269 184.331   0.      0.   ],13158.853280344838,38321.0,1131.0,3987000000.0,276007.8244023267,1376.0,37408.0,65.26561492084676,0.25767284991568223,16.127368316635255,5.072482844891458,0.4290396400186901,0.1291538537843468,0.0004959825414145422,0.6786033131633766,[0.086 0.914 0.    0.   ],0.9761749432426085,6.922694366750105e-05,19776785.714226995,[5.759 5.764 0.    0.   ],6.8253968253765605
27,[1252. 1253.    0.    0.],10081.0,201.60000000059856,[ 19.512 182.088   0.      0.   ],13265.47425010241,18288.0,890.0,2754000000.0,143911.07032771112,3304.0,17308.0,65.79443631633048,0.2897331613927175,16.28409879972225,5.050467194706377,0.36044546738862704,0.11576232516615415,0.00039678603313163377,0.38031941275667097,[0.097 0.903 0.    0.   ],0.9464129483814523,5.2255290605559595e-05,13660714.285673726,[6.21  6.215 0.    0.   ],16.38888888884023
28,[1281. 1282.    0.    0.],10081.0,201.60000000059856,[ 19.892 181.708   0.      0.   ],13282.668533994216,17765.0,981.0,2821500000.0,55745.96088890775,3464.0,16749.0,65.87971696255555,0.2991766689812497,16.33052276559865,5.528737882810912,0.39807077090468407,0.12687233409383988,0.0007935720662632675,0.4023410375954766,[0.099 0.901 0.    0.   ],0.9428088938924852,1.975756189576741e-05,13995535.71424416,[6.354 6.359 0.    0.   ],17.182539682488667
29,[1201. 1202.    0.    0.],10081.0,201.60000000059856,[ 17.709 183.891   0.      0.   ],13176.123822559632,44204.0,1371.0,4071000000.0,338999.27890241623,1128.0,43278.0,65.35127379503957,0.26695764309096176,16.110703303243724,5.313961396564249,0.4667685358811604,0.14522368812617795,0.0005951790496974506,0.7355421089177661,[0.088 0.912 0.    0.   ],0.979051669532169,8.327174623002119e-05,20193452.380892426,[5.957 5.962 0.    0.   ],5.595238095221482
