id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[1638. 1639.    0.    0.],10081.0,201.60000000059856,[ 25.068 176.532   0.      0.   ],13497.278413648635,59204.0,1800.0,1871.0,5254500000.0,559157.738411278,57858.0,66.94414449779292,0.38440630889792043,16.15593691102073,7.737182462150728,0.6950436246508633,0.20652713024501537,0.0013887511159607182,0.9854181132824125,[0.124 0.876 0.    0.   ],0.9772650496588068,0.0001064150230109959,26063988.09516071,[8.125 8.13  0.    0.   ],8.92857142854492
11,[1433. 1434.    0.    0.],10081.0,201.60000000059856,[ 21.037 180.563   0.      0.   ],13325.013666155566,49905.0,1308.0,1530.0,5538000000.0,102893.24114183243,48793.0,66.08974142521517,0.3279039777799778,16.115464735641304,6.431128744889269,0.5387854128081482,0.16119432595972621,0.001091161591111993,0.9576430909631981,[0.104 0.896 0.    0.   ],0.9777176635607655,1.8579494608492675e-05,27470238.095156536,[7.108 7.113 0.    0.   ],6.488095238075974
12,[1491. 1491.    0.    0.],10081.0,201.60000000059856,[ 21.629 179.971   0.      0.   ],13360.329524102617,47628.0,1768.0,1631.0,5440500000.0,1150170.2978091193,46465.0,66.26490191498284,0.3375855569883894,16.15514333895447,6.76950304234505,0.5623960393928285,0.16962602916377342,0.0007935720662632675,0.9466322785437953,[0.107 0.893 0.    0.   ],0.9755815906609557,0.000211408932599783,26986607.14277702,[7.396 7.396 0.    0.   ],8.769841269815233
13,[740. 741.   0.   0.],10081.0,201.60000000059856,[ 10.593 191.007   0.      0.   ],12870.336532416819,22910.0,968.0,532.0,3865500000.0,0.0,22358.0,63.83462222206697,0.15117547862315348,16.104751512746752,2.91711297315203,0.18113606828569864,0.05902192242833052,0.0007935720662632675,0.5269318519988097,[0.053 0.947 0.    0.   ],0.9759057180270624,0.0,19174107.142800216,[3.671 3.676 0.    0.   ],4.801587301573045
14,[1641. 1642.    0.    0.],10081.0,201.60000000059856,[ 25.294 176.306   0.      0.   ],13506.14021942439,23924.0,3784.0,1193.0,3715500000.0,599964.6157751716,22606.0,66.9880975072944,0.3679793671262723,16.348378137089576,6.898800819786709,0.46583636687405805,0.1490923519492114,0.001091161591111993,0.5264358694573951,[0.125 0.875 0.    0.   ],0.9449088781140278,0.0001614761447383048,18430059.523754805,[8.14  8.145 0.    0.   ],18.76984126978554
15,[1342. 1343.    0.    0.],10081.0,201.60000000059856,[ 19.579 182.021   0.      0.   ],13260.425277811612,55180.0,1176.0,1541.0,5266500000.0,32084.535750908333,54037.0,65.76939429524862,0.2963991667493279,16.111100089276857,6.385739850318535,0.5105793539496566,0.15802003769467315,0.0006943755579803591,0.9246106537049896,[0.097 0.903 0.    0.   ],0.9792859731786879,6.092193249958859e-06,26123511.904684342,[6.657 6.662 0.    0.   ],5.8333333333160144
16,[1966. 1967.    0.    0.],10081.0,201.60000000059856,[ 30.142 171.458   0.      0.   ],13713.931815354941,65399.0,1696.0,2567.0,5307000000.0,516206.7036550629,63795.0,68.01870754563636,0.47812716992360677,16.146810832258705,9.836250412158895,0.9373125112120708,0.2776510266838607,0.0006943755579803591,1.0387858347386172,[0.15 0.85 0.   0.  ],0.9754736310952767,9.726902273507875e-05,26324404.761826605,[9.752 9.757 0.    0.   ],8.412698412673436
17,[1822. 1823.    0.    0.],10081.0,201.60000000059856,[ 27.219 174.381   0.      0.   ],13590.929748508228,63963.0,1840.0,2104.0,5437500000.0,377128.66195263766,62510.0,67.40863876849829,0.43273484773335064,16.152762622755677,8.589183294180938,0.7963656845881069,0.23459974208907847,0.0009919650828290843,1.0468207519095327,[0.135 0.865 0.    0.   ],0.9772837421634383,6.935699530163452e-05,26971726.19039611,[9.038 9.043 0.    0.   ],9.126984126957028
18,[1767. 1768.    0.    0.],10081.0,201.60000000059856,[ 26.865 174.735   0.      0.   ],13577.021920323328,63339.0,1656.0,2170.0,5206500000.0,1058305.275414901,61924.0,67.33965836881109,0.42162483880566537,16.157127269120128,8.364771839595571,0.8053836343028316,0.2341037595476639,0.001091161591111993,1.0035710742981847,[0.133 0.867 0.    0.   ],0.9776598935884684,0.00020326616256888526,25825892.85706618,[8.765 8.77  0.    0.   ],8.214285714261326
19,[1499. 1500.    0.    0.],10081.0,201.60000000059856,[ 22.507 179.093   0.      0.   ],13394.351390312086,50217.0,1936.0,1686.0,5179500000.0,2322933.344810126,49021.0,66.43364443164629,0.35274278345401744,16.19918658863208,6.772872845656281,0.6348056977510161,0.1807360380914592,0.0009919650828290843,0.9021922428330523,[0.112 0.888 0.    0.   ],0.9761833641993747,0.00044848602081477476,25691964.285638005,[7.436 7.44  0.    0.   ],9.60317460314609
