id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,disconnects,cell_traffic,cell_dropped_traffic,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[5446. 4589. 1808.    0.],10081.0,201.60000000059856,[76.691 79.243 45.666  0.   ],18285.798112588313,5024.0,133832.0,232629.0,33708000000.0,3086876.754341892,107954.0,90.69436619673628,6.1169328439642605,60.331316337664916,69.63987649683169,6.165676959406696,1.7608372185299077,0.01468108322587045,5.294911219125087,[0.38  0.393 0.227 0.   ],0.806638173232112,9.157697740423318e-05,167202380.95188454,[27.014 22.763  8.968  0.   ],24.920634920560932
11,[5518. 4233. 2494.    0.],10081.0,201.60000000059856,[72.949 63.92  64.731  0.   ],17069.518908308193,10788.0,101964.0,224047.0,39381000000.0,11075512.905100869,72510.0,84.66183368865437,5.026882253744792,46.744172205138376,74.06771944529304,8.919733163574646,2.3971828191647653,0.01150679496081738,6.91369903779387,[0.362 0.317 0.321 0.   ],0.7111333411792398,0.0002812400118102859,195342261.90418193,[27.371 20.997 12.371  0.   ],53.51190476174588
12,[5010. 4341. 1568.    0.],10081.0,201.60000000059856,[66.519 83.115 51.966  0.   ],15526.382022487913,4848.0,53548.0,218789.0,20628000000.0,5385030.404873728,37153.0,77.008144144856,2.4803094931059175,26.588632080150777,41.70954142500084,4.428931029073723,1.2053367721456205,0.013887511159607182,3.9701418510068445,[0.33  0.412 0.258 0.   ],0.6938260999477105,0.00026105441171581,102321428.57112478,[24.851 21.533  7.778  0.   ],24.04761904754765
13,[5410. 4858. 1381.    0.],10081.0,201.60000000059856,[82.102 82.705 36.793  0.   ],19129.650155543466,5804.0,119600.0,240850.0,49570500000.0,6158210.968311099,85028.0,94.87972500516142,6.401428429719717,61.65023311179446,81.52502042566574,9.372021818747998,2.572463049300665,0.006844559071520683,8.084416228548756,[0.407 0.41  0.183 0.   ],0.7109364548494983,0.00012423136680709494,245885416.66593662,[26.835 24.097  6.85   0.   ],28.789682539597063
14,[5609. 5186. 1124.    0.],10081.0,201.60000000059856,[81.57  90.733 29.297  0.   ],19022.20460632384,2576.0,89245.0,226696.0,33930000000.0,1476845.3893654644,66185.0,94.34681383950411,6.229064576927258,62.422775518301755,62.555244474962976,5.572472048852021,1.5712726912012698,0.01458188671758754,4.771352048407896,[0.405 0.45  0.145 0.   ],0.7416101742394532,4.35262419500579e-05,168303571.42807174,[27.822 25.724  5.575  0.   ],12.777777777739841
15,[5095. 5175.  848.    0.],10081.0,201.60000000059856,[ 71.471 103.743  26.386   0.   ],16724.30301335269,4512.0,54861.0,198912.0,20776500000.0,1382688.491405382,38284.0,82.94962311948163,3.1186588632080277,34.08630096220613,44.86363945598102,4.058587962666879,1.1475052078166847,0.01775617498264061,3.1989881956155144,[0.355 0.515 0.131 0.   ],0.6978363500483039,6.655059761775959e-05,103058035.71397974,[25.273 25.67   4.206  0.   ],22.38095238088593
16,[4987. 4133. 1945.    0.],10081.0,201.60000000059856,[67.963 70.979 62.658  0.   ],16489.969358720085,6452.0,80984.0,233614.0,36157500000.0,2946741.8507139683,56299.0,81.7873691038502,4.238627120325333,43.04533280428529,61.02416597126529,6.580595584027799,1.8043844856661047,0.013093939093343915,5.934034321991866,[0.337 0.352 0.311 0.   ],0.6951867035463796,8.149738921977372e-05,179352678.57089606,[24.737 20.501  9.648  0.   ],32.00396825387323
17,[5571. 5000. 1412.    0.],10081.0,201.60000000059856,[85.361 79.661 36.578  0.   ],19638.877681708636,1988.0,155278.0,236135.0,50668500000.0,10574010.78107095,118544.0,97.40540463101796,6.830116059915316,63.50917567701617,87.653876599168,10.544114021770458,2.8728300763813115,0.004860628905862514,9.107231425453824,[0.423 0.395 0.181 0.   ],0.7634307500096601,0.00020869002992137027,251331845.23734903,[27.634 24.802  7.004  0.   ],9.861111111081833
18,[4674. 3996. 1544.    0.],10081.0,201.60000000059856,[60.816 81.368 59.416  0.   ],14742.268461595284,4880.0,30055.0,218952.0,15508500000.0,3195662.9397289692,17328.0,73.11907777796705,1.7964884436068687,21.19750024799127,33.672283095113656,3.17027396301653,0.8968356313857753,0.019343319115167148,2.886122408491221,[0.302 0.404 0.295 0.   ],0.5765430044917651,0.00020605880257465063,76927083.33310494,[23.185 19.821  7.659  0.   ],24.206349206277338
19,[5461. 5418. 1048.    0.],10081.0,201.60000000059856,[78.85  91.029 31.721  0.   ],18099.775855182714,6720.0,67439.0,191705.0,28395000000.0,4771724.031823621,46675.0,89.77172827685703,4.572720960222238,45.09155837714513,57.18252818101638,5.645226728520643,1.5213768475349667,0.015474655292133717,4.119333399464339,[0.391 0.452 0.157 0.   ],0.6921069410875013,0.00016804803774691393,140848214.2852961,[27.088 26.875  5.198  0.   ],33.333333333234364
20,[5379. 4871. 1576.    0.],10081.0,201.60000000059856,[77.193 81.758 42.649  0.   ],18704.154758760284,248.0,162769.0,238403.0,31993500000.0,3163394.1185796605,135844.0,92.76934212259465,6.312945144331481,63.96786033131634,72.59087095021869,6.237430660942765,1.7917865291141752,0.014879476242436266,5.03580993949013,[0.383 0.406 0.212 0.   ],0.8345815235087762,9.88761504236692e-05,158697916.66619548,[26.682 24.162  7.817  0.   ],1.2301587301550778
21,[5554. 4573. 1686.    0.],10081.0,201.60000000059856,[79.878 80.366 41.356  0.   ],18912.662849329558,2296.0,126974.0,238737.0,34753500000.0,2926311.6972949635,97241.0,93.80350584925499,6.640134907251892,63.758357305822834,76.10488598218382,7.452056503887416,2.0924511457196706,0.010316436861422478,5.6504315048110305,[0.396 0.399 0.205 0.   ],0.7658339502575331,8.420192778554573e-05,172388392.85663104,[27.55  22.684  8.363  0.   ],11.388888888855075
22,[5117. 3853. 2369.    0.],10081.0,201.60000000059856,[68.927 65.119 67.554  0.   ],17123.96171294731,7440.0,138243.0,236007.0,41524500000.0,8088123.494205263,106141.0,84.93186049472014,5.040849122111071,49.74466818767979,77.10341218107521,8.8181943241831,2.3877591508778893,0.011209205435968653,7.185497470489039,[0.342 0.323 0.335 0.   ],0.7677857106688947,0.00019477955169129702,205974702.38034084,[25.382 19.112 11.751  0.   ],36.90476190465233
23,[5361. 4855. 1472.    0.],10081.0,201.60000000059856,[79.429 83.978 38.193  0.   ],19020.845006279167,120.0,159247.0,243131.0,34582500000.0,8213031.808081983,128164.0,94.34007046065068,6.453089971233608,63.988493205039184,77.023525088738,7.799499069159662,2.1638726316833647,0.01011804384485666,5.9410772740799525,[0.394 0.417 0.189 0.   ],0.8048126495318593,0.0002374909797753772,171540178.57091928,[26.592 24.082  7.302  0.   ],0.595238095236328
24,[5456. 4886. 1700.    0.],10081.0,201.60000000059856,[78.216 80.151 43.233  0.   ],18833.458274078235,152.0,158631.0,235197.0,32236500000.0,9415656.521793302,130462.0,93.41066498400706,6.489911715108232,63.98769963297292,74.75631688257398,6.863045900952118,1.9242138676718579,0.013490725126475547,5.181529610157723,[0.388 0.398 0.214 0.   ],0.8224243685030038,0.00029208060806208187,159903273.80904904,[27.063 24.236  8.433  0.   ],0.7539682539660154
