id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,cell_traffic,cell_dropped_traffic,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
10,[3626. 3627.    0.    0.],20161.0,403.19999999737746,[114.496 288.704   0.      0.   ],34210.89619012584,111827.0,40581000000.0,0.0,11837.0,84.84424430862646,3.625217003125234,64.0,31.765056513974034,1.7912471320440628,0.4974951639303606,0.00982094142155647,1.5912405138633996,[0.284 0.716 0.    0.   ],0.0,0.0,0.0,100647321.42922607,[8.993 8.996 0.    0.   ],0.0,0.0
11,[3727. 3728.    0.    0.],20161.0,403.19999999737746,[133.425 269.775   0.      0.   ],35617.37154414149,87068.0,59886000000.0,90035.63474402345,13275.0,88.3323534153563,4.2531223649625876,64.0,37.150606748360374,2.329757087976368,0.6426764545409454,0.0110609592778136,2.505232875353405,[0.331 0.669 0.    0.   ],0.0,0.0,1.5034504682901422e-06,148526785.71525177,[9.244 9.246 0.    0.   ],0.0,0.0
12,[3633. 3634.    0.    0.],20161.0,403.19999999737746,[133.017 270.183   0.      0.   ],35733.97925539704,86769.0,59668500000.0,454497.97397447174,13133.0,88.62154470362393,4.2359803581176845,64.0,36.86606331408714,2.3264321328037547,0.6495213531074847,0.009969743564307326,2.534050890332821,[0.33 0.67 0.   0.  ],0.0,0.0,7.617050436569911e-06,147987351.19143873,[9.01  9.013 0.    0.   ],0.0,0.0
13,[3694. 3695.    0.    0.],20161.0,403.19999999737746,[134.017 269.183   0.      0.   ],35589.30999527631,86621.0,59172000000.0,504573.8012657668,13447.0,88.2627597720216,4.25185258667778,64.0,37.96393783336656,2.358292699213214,0.652695798819503,0.010614552849561034,2.4791925003720054,[0.332 0.668 0.    0.   ],0.0,0.0,8.527239256164517e-06,146755952.38190693,[9.162 9.164 0.    0.   ],0.0,0.0
14,[3612. 3613.    0.    0.],20161.0,403.19999999737746,[115.849 287.351   0.      0.   ],34249.82475246635,110073.0,40584000000.0,65771.70389579961,11944.0,84.94078853346696,3.7071177024953235,64.0,32.232643068804684,1.8352711873951357,0.5071673032091663,0.008332919994047915,1.5993750310004464,[0.287 0.713 0.    0.   ],0.0,0.0,1.620631379257826e-06,100654761.9054166,[8.958 8.961 0.    0.   ],0.0,0.0
15,[3535. 3536.    0.    0.],20161.0,403.19999999737746,[115.369 287.831   0.      0.   ],34200.794333571335,110186.0,40177500000.0,42001.143927555764,11740.0,84.81919134360864,3.681087247656768,64.0,31.88707199338486,1.8055240255504075,0.5032488467833937,0.008580923565299341,1.5828083924408511,[0.286 0.714 0.    0.   ],0.0,0.0,1.0453896814773384e-06,99646577.38160051,[8.767 8.77  0.    0.   ],0.0,0.0
16,[3743. 3744.    0.    0.],20161.0,403.19999999737746,[135.316 267.884   0.      0.   ],35781.62938629131,84875.0,60231000000.0,351187.5940739289,13408.0,88.73971872994862,4.307722831209314,64.0,37.95503790318645,2.3751840297855717,0.6550766331035167,0.009225732850553049,2.517285848916224,[0.336 0.664 0.    0.   ],0.0,0.0,5.830678455843816e-06,149382440.4771621,[9.283 9.286 0.    0.   ],0.0,0.0
17,[3626. 3627.    0.    0.],20161.0,403.19999999737746,[134.425 268.775   0.      0.   ],35813.46531402333,84585.0,59671500000.0,689561.1819010497,13414.0,88.81867296766457,4.3166112792029665,64.0,38.14197140645475,2.4299430184556887,0.6710976638063588,0.008928128565051336,2.5589008481722137,[0.333 0.667 0.    0.   ],0.0,0.0,1.1555955219846152e-05,147994791.66762927,[8.993 8.996 0.    0.   ],0.0,0.0
18,[3670. 3671.    0.    0.],20161.0,403.19999999737746,[133.954 269.246   0.      0.   ],35727.87175803024,86099.0,59200500000.0,107527.44055023752,13236.0,88.60639789204032,4.2537572541049915,64.0,37.29488670021099,2.3870518285333846,0.652001388819999,0.010515351421060463,2.4943703189325928,[0.332 0.668 0.    0.   ],0.0,0.0,1.8163265605904936e-06,146826636.90571693,[9.102 9.105 0.    0.   ],0.0,0.0
19,[3632. 3633.    0.    0.],20161.0,403.19999999737746,[116.349 286.851   0.      0.   ],34499.725426666126,109677.0,40215000000.0,128598.65793512917,11982.0,85.56055113006458,3.7033083676409007,64.0,32.33002796354297,1.8344087028152216,0.5112841624919399,0.009572937850305045,1.6000694409999503,[0.289 0.711 0.    0.   ],0.0,0.0,3.1977783895344816e-06,99739583.33398207,[9.008 9.01  0.    0.   ],0.0,0.0
20,[3576. 3577.    0.    0.],20161.0,403.19999999737746,[130.788 272.412   0.      0.   ],35549.449542187605,93276.0,37237500000.0,0.0,13192.0,88.16390442484585,4.169316998165287,64.0,37.09982446949829,2.2842403371972724,0.6301770745498735,0.008779326422300482,1.537721343187342,[0.324 0.676 0.    0.   ],0.0,0.0,0.0,92354910.71488643,[8.869 8.872 0.    0.   ],0.0,0.0
21,[3470. 3471.    0.    0.],20161.0,403.19999999737746,[129.435 273.765   0.      0.   ],35338.06714469697,91993.0,40455000000.0,633837.092586891,12894.0,87.63966853007142,4.12804920390904,64.0,36.36383172876525,2.263287466095807,0.6289370566936164,0.009176132136302763,1.7729775308764446,[0.321 0.679 0.    0.   ],0.0,0.0,1.5667707145887803e-05,100334821.42922404,[8.606 8.609 0.    0.   ],0.0,0.0
22,[3644. 3645.    0.    0.],20161.0,403.19999999737746,[144.921 258.279   0.      0.   ],36601.184612163794,75758.0,55915500000.0,646893.526771116,14360.0,90.77224495849043,4.614374286990347,64.0,41.50604721977005,2.7251692599714015,0.7556172808888448,0.009672139278805615,2.451664103963097,[0.359 0.641 0.    0.   ],0.0,0.0,1.1569127107351556e-05,138679315.4770925,[9.038 9.04  0.    0.   ],0.0,0.0
23,[3559. 3560.    0.    0.],20161.0,403.19999999737746,[130.798 272.402   0.      0.   ],35393.87830668482,90729.0,40197000000.0,568360.664858022,12882.0,87.77808220495878,4.171221665592498,64.0,36.16191599339277,2.2716707521348813,0.6295322652646198,0.008680124993799911,1.7661326323099054,[0.324 0.676 0.    0.   ],0.0,0.0,1.4139380174093142e-05,99694940.47683892,[8.827 8.829 0.    0.   ],0.0,0.0
24,[3610. 3611.    0.    0.],20161.0,403.19999999737746,[131.884 271.316   0.      0.   ],35616.63414103514,93538.0,37207500000.0,289465.7471343363,13346.0,88.33052462931772,4.199791677000668,64.0,37.690814009881194,2.3410170563613595,0.6439660731114528,0.010564952135310748,1.5565696146024504,[0.327 0.673 0.    0.   ],0.0,0.0,7.779768786785898e-06,92280505.95298117,[8.953 8.956 0.    0.   ],0.0,0.0
