id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
36,[1067. 1068.    0.    0.],10081.0,201.60000000059856,[ 16.882 184.718   0.      0.   ],13382.270315192738,41580.0,2805000000.0,107013.11105866572,13181.0,12432.0,56.0,66.37372440823879,0.20799523856760416,18.01091161591112,3.698348447024461,0.2784996486577096,0.08332506695764309,0.0006943755579803591,0.3418311675429025,[0.084 0.916 0.    0.   ],0.9431757833244823,3.8150841732144644e-05,13913690.476149166,[5.293 5.298 0.    0.   ],0.27777777777695306
37,[1028. 1029.    0.    0.],10081.0,201.60000000059856,[ 18.358 183.242   0.      0.   ],13397.343571687408,41655.0,2862000000.0,688373.2852350106,12320.0,11558.0,56.0,66.44848512887476,0.23338954468802728,17.795456799920643,3.980407072179023,0.30322450558436187,0.09026882253744668,0.0009919650828290843,0.3487749231227061,[0.091 0.909 0.    0.   ],0.9381493506493507,0.00024052176283543346,14196428.571386421,[5.099 5.104 0.    0.   ],0.27777777777695306
38,[1025. 1026.    0.    0.],10081.0,201.60000000059856,[ 16.761 184.839   0.      0.   ],13335.365152057235,42301.0,2773500000.0,0.0,11919.0,11182.0,48.0,66.14108298806475,0.2124392421386782,17.345898224382502,3.787756660636963,0.2825840703680629,0.08471381807360381,0.0012895546076778098,0.3398472373772443,[0.083 0.917 0.    0.   ],0.9381659535195905,0.0,13757440.47614963,[5.084 5.089 0.    0.   ],0.23809523809453118
39,[1024. 1025.    0.    0.],10081.0,201.60000000059856,[ 18.803 182.797   0.      0.   ],13450.34684098648,41603.0,2733000000.0,43610.72453850875,12263.0,11483.0,56.0,66.71137209097698,0.24116655093740688,17.433984723737723,4.114048458103673,0.29413146119725414,0.08977283999603214,0.000892768574546176,0.33091955163178255,[0.093 0.907 0.    0.   ],0.9363940308244312,1.5957089110321535e-05,13556547.61900737,[5.079 5.084 0.    0.   ],0.27777777777695306
40,[1038. 1039.    0.    0.],10081.0,201.60000000059856,[ 16.595 185.005   0.      0.   ],13378.94468297908,41978.0,2719500000.0,0.0,12112.0,11377.0,48.0,66.35722985306691,0.20648745164170404,17.893066164071026,3.729738876881128,0.28137099300381846,0.08114274377541911,0.0007935720662632675,0.32149588334490625,[0.082 0.918 0.    0.   ],0.9393163804491413,0.0,13489583.333293281,[5.149 5.154 0.    0.   ],0.23809523809453118
41,[800. 801.   0.   0.],10081.0,201.60000000059856,[ 12.121 189.479   0.      0.   ],13255.518278410138,45286.0,1849500000.0,0.0,9168.0,8624.0,56.0,65.74505643490913,0.14181132824124704,17.787917865291142,2.4507170452286045,0.15767992602064648,0.050491022716000394,0.0009919650828290843,0.20980061501835134,[0.06 0.94 0.   0.  ],0.9406631762652705,0.0,9174107.142829904,[3.968 3.973 0.    0.   ],0.27777777777695306
42,[842. 843.   0.   0.],10081.0,201.60000000059856,[ 14.866 186.734   0.      0.   ],13481.894017021585,44217.0,1947000000.0,146762.11146011017,10485.0,9799.0,64.0,66.86784057641977,0.16665013391528768,18.631881757762127,3.061487938406062,0.20712436347958676,0.06130344211883742,0.000892768574546176,0.22636643190159705,[0.074 0.926 0.    0.   ],0.9345731998092514,7.537858832054965e-05,9657738.095209422,[4.177 4.182 0.    0.   ],0.3174603174593749
43,[805. 806.   0.   0.],10081.0,201.60000000059856,[ 13.327 188.273   0.      0.   ],13304.024496951271,45083.0,1941000000.0,56440.02930032879,10239.0,9647.0,48.0,65.98563881037298,0.14839797639123226,18.0470191449261,2.5779260484806854,0.15792468072110324,0.05545084813014582,0.00039678603313163377,0.23588929669675626,[0.066 0.934 0.    0.   ],0.9421818536966501,2.9077810046537242e-05,9627976.190447604,[3.993 3.998 0.    0.   ],0.23809523809453118
44,[1076. 1077.    0.    0.],10081.0,201.60000000059856,[ 21.736 179.864   0.      0.   ],13602.04100056459,39312.0,2788500000.0,21543.137554628087,12841.0,11928.0,56.0,67.46374863882988,0.2805277254240627,17.55421089177661,5.091529775402041,0.394676891629464,0.11556393214958834,0.0009919650828290843,0.3444102767582581,[0.108 0.892 0.    0.   ],0.9288996184097812,7.725708285683374e-06,13831845.238054171,[5.337 5.342 0.    0.   ],0.27777777777695306
45,[780. 781.   0.   0.],10081.0,201.60000000059856,[ 13.545 188.055   0.      0.   ],13250.659733282237,45947.0,1942500000.0,252178.8883171745,9155.0,8566.0,48.0,65.7209588993084,0.1518896934827907,18.26128360281718,2.5144433357999985,0.164507573866377,0.052574149389941476,0.0002975895248487253,0.23073107826604503,[0.067 0.933 0.    0.   ],0.9356635718186783,0.00012982182152750297,9635416.66663806,[3.869 3.874 0.    0.   ],0.23809523809453118
46,[1046. 1047.    0.    0.],10081.0,201.60000000059856,[ 19.937 181.663   0.      0.   ],13472.053787499037,40333.0,2665500000.0,252178.8883171745,12655.0,11819.0,56.0,66.81903475595313,0.2462454121614915,17.2217041960123,4.3512035444998665,0.3393637087561723,0.09899811526634263,0.0007935720662632675,0.32268624144430114,[0.099 0.901 0.    0.   ],0.9339391544843936,9.460847432645826e-05,13221726.190436935,[5.188 5.193 0.    0.   ],0.27777777777695306
47,[826. 827.   0.   0.],10081.0,201.60000000059856,[ 13.097 188.503   0.      0.   ],13245.89893388013,45023.0,1842000000.0,403047.08828814025,9787.0,9205.0,56.0,65.69734616544085,0.14863604801111127,17.92361868862216,2.492285711143668,0.14549645703047825,0.049201468108322585,0.0004959825414145422,0.2150580299573455,[0.065 0.935 0.    0.   ],0.9405333605803617,0.0002188094941846581,9136904.761877634,[4.097 4.102 0.    0.   ],0.27777777777695306
48,[791. 792.   0.   0.],10081.0,201.60000000059856,[ 15.225 186.375   0.      0.   ],13428.091470418343,44453.0,1764000000.0,403047.08828814025,9552.0,8902.0,72.0,66.60098933843236,0.17791885725622622,18.306517210594187,2.9984392627379775,0.20319363812662847,0.062493800218232316,0.0002975895248487253,0.20404721753794267,[0.076 0.924 0.    0.   ],0.9319514237855946,0.00022848474392751715,8749999.999974022,[3.924 3.929 0.    0.   ],0.3571428571417968
