id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,num_requests,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
10,[1968. 1969.    0.    0.],10081.0,201.60000000059856,[ 63.033 138.567   0.      0.   ],17359.573527629527,59947.0,6417.0,20268000000.0,0.0,86.10045396104661,3.9907152068247576,64.0,85.54332229853293,34.250473276356566,1.990468733427362,0.544985616506299,0.010911615911119929,1.6042059319511952,[0.313 0.687 0.    0.   ],0.0,0.0,0.0,100535714.2854158,[9.762 9.767 0.    0.   ],0.0,0.0
11,[1924. 1925.    0.    0.],10081.0,201.60000000059856,[ 63.057 138.543   0.      0.   ],17365.43479509649,56451.0,6170.0,26892000000.0,186329.1850493301,86.12952482438813,4.027536950699381,64.0,85.83068695117615,33.282027325026284,2.0080693368785725,0.5582779486162087,0.010217240353139569,2.188671758754092,[0.313 0.687 0.    0.   ],0.0,0.0,6.928796112201773e-06,133392857.14246109,[9.544 9.549 0.    0.   ],0.0,0.0
12,[1941. 1942.    0.    0.],10081.0,201.60000000059856,[ 64.427 137.173   0.      0.   ],17472.754413591025,55162.0,6273.0,26959500000.0,186329.1850493301,86.6618113956336,4.0999107231426075,64.0,86.21858647094437,33.8560281088997,2.0185193229359175,0.5654200972125781,0.011010812419402837,2.213470885824819,[0.32 0.68 0.   0.  ],0.0,0.0,6.911448099902821e-06,133727678.57103153,[9.628 9.633 0.    0.   ],0.0,0.0
13,[1914. 1915.    0.    0.],10081.0,201.60000000059856,[ 63.455 138.145   0.      0.   ],17397.667970901424,54294.0,6257.0,26824500000.0,0.0,86.28939574892378,4.050391826207769,64.0,86.00986556255235,34.432446401608615,2.0821775967639677,0.5745461759746057,0.009721257811725028,2.191746850510862,[0.315 0.685 0.    0.   ],0.0,0.0,0.0,133058035.71389066,[9.494 9.499 0.    0.   ],0.0,0.0
14,[1922. 1923.    0.    0.],10081.0,201.60000000059856,[ 60.949 140.651   0.      0.   ],17192.202737092022,60631.0,6208.0,20118000000.0,0.0,85.27032406055253,3.8764408292828207,64.0,84.9255705159215,33.214254454849474,1.9451328025817067,0.5289157821644678,0.01011804384485666,1.5988493205039183,[0.302 0.698 0.    0.   ],0.0,0.0,0.0,99791666.66637038,[9.534 9.539 0.    0.   ],0.0,0.0
15,[1881. 1882.    0.    0.],10081.0,201.60000000059856,[ 62.844 138.756   0.      0.   ],17351.799871394844,56850.0,6226.0,20367000000.0,0.0,86.06189798329228,4.037694673147554,64.0,85.84174293973608,34.11612268279387,1.990837534763703,0.5541116952683266,0.009126078762027577,1.6408094435075886,[0.312 0.688 0.    0.   ],0.0,0.0,0.0,101026785.71398576,[9.33  9.335 0.    0.   ],0.0,0.0
16,[1959. 1960.    0.    0.],10081.0,201.60000000059856,[ 66.738 134.862   0.      0.   ],17656.85236794376,51656.0,6445.0,27186000000.0,285983.7344541863,87.5749051083248,4.262434282313362,64.0,87.3732814697734,35.475508622623664,2.1829023576133255,0.601329233210991,0.009423668286876302,2.2368812617795855,[0.331 0.669 0.    0.   ],0.0,0.0,1.0519522344375277e-05,134851190.4757901,[9.717 9.722 0.    0.   ],0.0,0.0
17,[1917. 1918.    0.    0.],10081.0,201.60000000059856,[ 64.689 136.911   0.      0.   ],17496.160480572416,53843.0,6191.0,27075000000.0,89347.18861989712,86.77790140149312,4.127844459875082,64.0,86.52218481880107,34.119077334367674,2.108139919387618,0.5810931455212777,0.00952286479515921,2.2313262573157426,[0.321 0.679 0.    0.   ],0.0,0.0,3.2999884993498475e-06,134300595.2376965,[9.509 9.514 0.    0.   ],0.0,0.0
18,[1955. 1956.    0.    0.],10081.0,201.60000000059856,[ 65.767 135.833   0.      0.   ],17585.055803193394,53427.0,6438.0,27084000000.0,0.0,87.21880668182793,4.17736335680992,64.0,86.74842512395348,35.22671619914055,2.1349865056288335,0.5995436960618986,0.009026882253744668,2.2324174189068544,[0.326 0.674 0.    0.   ],0.0,0.0,0.0,134345238.09483922,[9.697 9.702 0.    0.   ],0.0,0.0
19,[1928. 1929.    0.    0.],10081.0,201.60000000059856,[ 62.694 138.906   0.      0.   ],17336.531448829737,57068.0,6324.0,20311500000.0,0.0,85.98616927302052,4.030076381311424,64.0,85.74288367449675,34.01550493218048,2.0030547961423784,0.549251066362464,0.010316436861422478,1.625037198690606,[0.311 0.689 0.    0.   ],0.0,0.0,0.0,100751488.09493896,[9.563 9.568 0.    0.   ],0.0,0.0
20,[1855. 1856.    0.    0.],10081.0,201.60000000059856,[ 79.783 121.817   0.      0.   ],18726.878191836735,39997.0,7514.0,20044500000.0,4682.485628157432,92.88204638346079,5.092828092451434,64.0,92.60898679680122,43.62467034060082,3.1082443447813484,0.8419799623053269,0.008530899712330125,1.8135105644281322,[0.396 0.604 0.    0.   ],0.0,0.0,2.336045113700732e-07,99427083.33303814,[9.201 9.206 0.    0.   ],0.0,0.0
21,[1828. 1829.    0.    0.],10081.0,201.60000000059856,[ 74.699 126.901   0.      0.   ],18314.759293464274,44267.0,7234.0,20709000000.0,374966.88842434966,90.83800859766231,4.733498660847345,64.0,90.36812092820209,40.95062092935255,2.7587013794280253,0.7522071223092948,0.009423668286876302,1.8946533082035513,[0.371 0.629 0.    0.   ],0.0,0.0,1.8106470057672977e-05,102723214.2854093,[9.067 9.072 0.    0.   ],0.0,0.0
22,[1912. 1913.    0.    0.],10081.0,201.60000000059856,[ 74.962 126.638   0.      0.   ],18334.228874220593,42529.0,7077.0,26805000000.0,374966.88842434966,90.9345743191012,4.816030155738743,64.0,90.77472912788924,40.632363109354785,2.7108089302861744,0.7521079258010118,0.009126078762027577,2.376153159408789,[0.372 0.628 0.    0.   ],0.0,0.0,1.3988691976286129e-05,132961309.52341476,[9.484 9.489 0.    0.   ],0.0,0.0
23,[1878. 1879.    0.    0.],10081.0,201.60000000059856,[ 75.253 126.347   0.      0.   ],18356.447822949318,44668.0,7218.0,20595000000.0,250275.16058020655,91.04477642568139,4.786826703700249,64.0,90.65226489135625,41.189580469306705,2.7672981349325565,0.7577621267731376,0.008134113679198493,1.892768574546176,[0.373 0.627 0.    0.   ],0.0,0.0,1.2152229210012457e-05,102157738.09493479,[9.315 9.32  0.    0.   ],0.0,0.0
24,[1825. 1826.    0.    0.],10081.0,201.60000000059856,[ 77.492 124.108   0.      0.   ],18539.391565232665,42312.0,7360.0,19659000000.0,197148.29343026312,91.95214544801667,4.935383394504766,64.0,91.65197684674145,41.985929775117235,2.9365111608266425,0.7950600138875111,0.011407598452534471,1.747544886419998,[0.384 0.616 0.    0.   ],0.0,0.0,1.0028398872285625e-05,97514880.95209143,[9.053 9.058 0.    0.   ],0.0,0.0
