id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[3604. 4778. 1477. 1069.],20161.0,403.19999999737746,[ 40.822 133.206  50.347 178.825],19815.918580366328,47304.0,176589.0,17221.0,14097.0,26884500000.0,81968871.01539692,49.144185755566006,0.7365110857596415,25.86935171866475,7.368633435679028,0.8265979730358948,0.18967313129309063,0.06259610138385993,2.1346659391895244,[0.101 0.33  0.125 0.444],0.8185935776087335,0.0030489267427475653,66677827.38138607,[ 8.938 11.85   3.663  2.651],117.32142857219166
11,[4131. 5665. 2620.  777.],20161.0,403.19999999737746,[ 50.487 125.251  99.822 127.64 ],21129.496265290545,51660.0,183295.0,23203.0,19241.0,30970500000.0,127844599.0592817,52.40190532534253,1.0723674420911682,27.985119785724915,10.900654568440032,1.4764809972831736,0.3003819254997272,0.039779772828728736,2.4569713803878774,[0.125 0.311 0.248 0.317],0.8292462181614446,0.004127947532628847,76811755.95288056,[10.246 14.05   6.498  1.927],128.12500000083335
12,[3459. 4331. 1518. 1144.],20161.0,403.19999999737746,[ 39.554 106.952  67.912 188.782],19103.964474009117,41024.0,210104.0,15638.0,13123.0,22077000000.0,67528015.40609767,47.37851414612997,0.5878676652943874,22.41932443827191,6.009009290687139,0.8851093529080291,0.1840682505828084,0.04583105996726353,1.734933783046476,[0.098 0.265 0.168 0.468],0.8391738073922497,0.003058749622054521,54754464.28607043,[ 8.579 10.742  3.765  2.837],101.74603174669353
13,[4872. 3731. 3686.  249.],20161.0,403.19999999737746,[ 86.312  55.899 223.072  37.917],26978.750280338398,1528.0,263095.0,38961.0,36275.0,39546000000.0,148845534.48965558,66.90826417423065,3.5791081791581534,63.945439214324686,8.816694978777774,0.7251318432577493,0.1736521005902485,0.022717127126630623,3.0595704578145924,[0.214 0.139 0.553 0.094],0.9310592643925977,0.00376385815226965,98080357.14349508,[12.083  9.253  9.142  0.618],3.789682539707189
14,[9161. 8770. 3315.   92.],20161.0,403.19999999737746,[116.449 113.447 156.862  16.442],31245.753546103802,8816.0,126505.0,24641.0,19300.0,44017500000.0,114856230.18744156,77.49058465875187,4.428470809980165,63.61192401170577,18.459582433459055,1.7202907664317306,0.4119339318486186,0.027875601408660286,3.2174991319875006,[0.289 0.281 0.389 0.041],0.7832474331398888,0.0026093310657679687,109170386.90547198,[22.721 21.751  8.222  0.228],21.865079365221582
15,[7484. 7648. 3476.  537.],20161.0,403.19999999737746,[ 95.59  116.985 103.15   87.475],26489.392422634166,45832.0,83316.0,17525.0,10987.0,43201500000.0,97672212.56906755,65.69463921093316,3.0143346064183736,45.61103119884926,21.776910036329287,2.838122131568438,0.6273498338376072,0.05882644710083825,3.144933287039333,[0.237 0.29  0.256 0.217],0.6269329529243938,0.0022608523446886694,107146577.3816493,[18.562 18.968  8.621  1.332],113.67063492137427
16,[6516. 6016. 4186.  533.],20161.0,403.19999999737746,[ 74.996 125.144 120.235  82.825],25343.592349342412,43712.0,124650.0,20833.0,15379.0,53800500000.0,157004447.65972498,62.85301410976514,2.8060512871386094,39.58692525172363,18.946376315654216,3.08762786058491,0.547988691037151,0.047963890680025795,4.120281732056942,[0.186 0.31  0.298 0.205],0.7382038112609802,0.0029182711621588086,133433779.76277266,[16.161 14.921 10.382  1.322],108.41269841340356
17,[7555. 7813. 3075.  371.],20161.0,403.19999999737746,[ 94.896 173.696  83.121  51.487],28176.387831908443,45712.0,99728.0,20684.0,13955.0,46575000000.0,114048492.77170746,69.87844807277739,2.8115668865632015,36.296215465502705,21.99409298240838,2.9356091681096883,0.6483309359654779,0.05257675710530232,3.6117256088487673,[0.235 0.431 0.206 0.128],0.6746760781280217,0.002448706232350133,115513392.8578942,[18.738 19.377  7.626  0.92 ],113.37301587375329
18,[6867. 6162. 4227.  386.],20161.0,403.19999999737746,[ 81.483 153.675 112.675  55.367],26800.819525040504,43624.0,128088.0,25538.0,20017.0,53055000000.0,194885199.67418447,66.466989546742,2.9583453201727283,38.896086503645655,19.7457327093293,3.405942494860169,0.6245721938395913,0.03660532711671048,4.218937552700759,[0.202 0.381 0.279 0.137],0.7838123580546636,0.0036732673579150782,131584821.4294273,[17.031 15.283 10.484  0.957],108.19444444514818
19,[8508. 8695. 3329.  315.],20161.0,403.19999999737746,[113.356 136.266 112.184  41.394],29252.230451425337,42224.0,100239.0,20227.0,13129.0,42070500000.0,111587616.87832135,72.54657619022542,3.16039878974263,33.157482267744655,24.14437597127705,3.7647466727196846,0.7877089430087794,0.03377808640444423,3.3077228312087694,[0.281 0.338 0.278 0.103],0.6490829089830424,0.00265239578513023,104341517.85782152,[21.101 21.565  8.256  0.781],104.72222222290337
