id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[1319. 1319.    0.    0.],10081.0,201.60000000059856,[ 24.565 177.035   0.      0.   ],13612.192070898298,62840.0,15415.0,14350.0,4050000000.0,507473.62168941455,48.0,67.51409617545055,0.32171411566312397,16.83801210197401,5.814573685557715,0.43238498808048886,0.1372879674635453,0.0014879476242436267,0.5176073802202162,[0.122 0.878 0.    0.   ],0.9309114498864742,0.00012530212881220113,20089285.714226067,[6.543 6.543 0.    0.   ],0.23809523809453118
11,[1322. 1323.    0.    0.],10081.0,201.60000000059856,[ 25.402 176.198   0.      0.   ],13747.31145353516,61996.0,15765.0,14660.0,4140000000.0,689646.9864804184,64.0,68.18426472339662,0.3324273385576775,16.807459577422875,6.195788506874203,0.48669841373368655,0.1480011903580994,0.0013887511159607182,0.5292133716893165,[0.126 0.874 0.    0.   ],0.929908024104028,0.00016658139770058414,20535714.285653315,[6.558 6.562 0.    0.   ],0.3174603174593749
12,[1331. 1332.    0.    0.],10081.0,201.60000000059856,[ 25.616 175.984   0.      0.   ],13696.43351050453,61464.0,16213.0,15060.0,4120500000.0,199907.4333919077,48.0,67.93191900853401,0.3306814800118984,17.2605892272592,6.162948740982638,0.4895300138029832,0.1481995833746652,0.0006943755579803591,0.5248487253248686,[0.127 0.873 0.    0.   ],0.9288842287053599,4.8515333913823e-05,20438988.095177412,[6.602 6.607 0.    0.   ],0.23809523809453118
13,[1054. 1055.    0.    0.],10081.0,201.60000000059856,[ 18.458 183.142   0.      0.   ],13374.704456998714,68298.0,13004.0,12163.0,2910000000.0,204837.85042002928,64.0,66.33619907248708,0.2135502430314467,17.656978474357704,4.0281334364127535,0.2609718877035634,0.08630096220613034,0.0005951790496974506,0.34361670469199485,[0.092 0.908 0.    0.   ],0.9353275915103045,7.039101389004443e-05,14434523.809480954,[5.228 5.233 0.    0.   ],0.3174603174593749
14,[1079. 1079.    0.    0.],10081.0,201.60000000059856,[ 17.829 183.771   0.      0.   ],13506.3902745568,68669.0,13117.0,12277.0,2901000000.0,0.0,56.0,66.98933773709363,0.21370895744469937,17.74189068544787,3.847890243127165,0.24032060574716674,0.08153952980855074,0.0007935720662632675,0.3382600932447178,[0.088 0.912 0.    0.   ],0.9359609666844553,0.0,14389880.952338228,[5.352 5.352 0.    0.   ],0.27777777777695306
15,[1308. 1309.    0.    0.],10081.0,201.60000000059856,[ 26.115 175.485   0.      0.   ],13699.763437595591,61269.0,16187.0,15021.0,4051500000.0,739022.4805214386,48.0,67.94843486554792,0.34282313262572567,16.923717885130444,6.427269546491079,0.45579061369437657,0.14988592401547465,0.0013887511159607182,0.5083821049499058,[0.13 0.87 0.   0.  ],0.9279668870080929,0.00018240712835281713,20096726.190416522,[6.488 6.493 0.    0.   ],0.23809523809453118
16,[1318. 1319.    0.    0.],10081.0,201.60000000059856,[ 24.915 176.685   0.      0.   ],13693.89108583506,63860.0,15980.0,14895.0,4134000000.0,346013.8254147562,56.0,67.91930902604477,0.3181430413649394,17.078464438051782,5.807715852254192,0.4246724524543577,0.13361769665707768,0.0014879476242436267,0.523261581192342,[0.124 0.876 0.    0.   ],0.9321026282853567,8.369952235480314e-05,20505952.3808915,[6.538 6.543 0.    0.   ],0.27777777777695306
17,[1315. 1316.    0.    0.],10081.0,201.60000000059856,[ 24.704 176.896   0.      0.   ],13661.101786681867,63505.0,15863.0,14793.0,4020000000.0,121643.26762796124,56.0,67.75667982679288,0.3137783950004917,16.950302549350262,5.414714003701041,0.3783930841409699,0.12478920741989882,0.0011903580993949012,0.5110604106735442,[0.123 0.877 0.    0.   ],0.9325474374330203,3.025951931043812e-05,19940476.190416988,[6.523 6.528 0.    0.   ],0.27777777777695306
18,[1275. 1275.    0.    0.],10081.0,201.60000000059856,[ 24.458 177.142   0.      0.   ],13614.142612713884,63688.0,15470.0,14413.0,3970500000.0,926137.9355552503,80.0,67.52377052231898,0.30846146215652825,17.205832754687034,5.577431734612672,0.4430265381946015,0.13084019442515624,0.0007935720662632675,0.5036206725523261,[0.121 0.879 0.    0.   ],0.9316742081447964,0.00023325473757845365,19694940.476132,[6.324 6.324 0.    0.   ],0.39682539682421863
19,[1346. 1347.    0.    0.],10081.0,201.60000000059856,[ 23.281 178.319   0.      0.   ],13671.973754719673,63033.0,16418.0,15383.0,4038000000.0,804494.667927289,56.0,67.8106028901685,0.29528816585655865,17.509374070032734,5.436521663165311,0.3737260888011649,0.11913500644777304,0.000892768574546176,0.5039182620771749,[0.115 0.885 0.    0.   ],0.9369594347667195,0.00019923097274078481,20029761.904702436,[6.677 6.682 0.    0.   ],0.27777777777695306
20,[1093. 1094.    0.    0.],10081.0,201.60000000059856,[ 18.803 182.797   0.      0.   ],13436.762049793899,68026.0,13238.0,12395.0,2863500000.0,31880.069903253403,56.0,66.64399389837364,0.22434282313262655,17.630393810137882,4.187622540580928,0.2698078197318264,0.08709453427239361,0.0007935720662632675,0.33667294911219126,[0.093 0.907 0.    0.   ],0.936319685753135,1.1133252978262059e-05,14203869.047576876,[5.422 5.427 0.    0.   ],0.27777777777695306
