id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,num_requests,ant_switches,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[1729. 1729.    0.    0.],10081.0,201.60000000059856,[ 94.609 106.991   0.      0.   ],16386.24441374471,283975.0,6170.0,72.0,6804000000.0,1330847.2852187364,81.27291148567599,1.5208015077870543,16.115464735641304,33.35126269662227,3.472330420634904,0.949112191250868,0.008034917170915585,0.9633964884436068,[0.469 0.531 0.    0.   ],0.0,0.0,0.00019559777854478782,33749999.9998998,[8.576 8.576 0.    0.   ],0.3571428571417968
11,[1621. 1622.    0.    0.],10081.0,201.60000000059856,[105.187  96.413   0.      0.   ],16810.93560445078,236708.0,6447.0,72.0,7377000000.0,1841669.974044574,83.37930564650554,1.6803094931060074,16.20632873722845,36.11624307401933,4.2545706597940995,1.1558377145124492,0.01150679496081738,1.1742882650530702,[0.522 0.478 0.    0.   ],0.0,0.0,0.00024965026081666993,36592261.90465326,[8.041 8.046 0.    0.   ],0.3571428571417968
12,[1626. 1627.    0.    0.],10081.0,201.60000000059856,[105.771  95.829   0.      0.   ],16831.44213010199,233580.0,6580.0,80.0,7546500000.0,2650222.908887241,83.48101443358573,1.6895942862812896,16.139668683662336,36.91668820980501,4.636957342378653,1.2348973316139271,0.009423668286876302,1.2518599345303045,[0.525 0.475 0.    0.   ],0.0,0.0,0.0003511857031587148,37433035.714174576,[8.065 8.07  0.    0.   ],0.39682539682421863
13,[1650. 1651.    0.    0.],10081.0,201.60000000059856,[105.015  96.585   0.      0.   ],16801.55195493863,235330.0,6664.0,80.0,7656000000.0,2605216.2697710237,83.33276438317736,1.6803888503126336,16.128161888701516,37.70455240789912,4.534718254780691,1.2112885626425949,0.008332506695764309,1.2261680388850313,[0.521 0.479 0.    0.   ],0.0,0.0,0.00034028425676215044,37976190.47607772,[8.185 8.189 0.    0.   ],0.39682539682421863
14,[1684. 1685.    0.    0.],10081.0,201.60000000059856,[ 92.141 109.459   0.      0.   ],16285.93487578614,295044.0,6072.0,64.0,6613500000.0,1044942.5176239843,80.77539369002729,1.4745362563238953,16.206725523261582,32.434383481947414,3.3249440769259895,0.9018946533082035,0.007538934629501041,0.9172701120920543,[0.457 0.543 0.    0.   ],0.0,0.0,0.0001580014391205843,32805059.523712125,[8.353 8.358 0.    0.   ],0.3174603174593749
15,[1713. 1714.    0.    0.],10081.0,201.60000000059856,[ 92.591 109.009   0.      0.   ],16268.404607984168,292042.0,6011.0,64.0,6565500000.0,995605.2336855093,80.68844662226698,1.4883444102768792,16.19680587243329,31.999904352550125,3.2419093132592884,0.8989187580597163,0.010018847336573752,0.9185596666997322,[0.459 0.541 0.    0.   ],0.0,0.0,0.0001516419516694097,32566964.285617594,[8.497 8.502 0.    0.   ],0.3174603174593749
16,[1646. 1646.    0.    0.],10081.0,201.60000000059856,[107.741  93.859   0.      0.   ],16947.353684143545,226046.0,6640.0,96.0,7668000000.0,2868289.8245577156,84.05591550511464,1.7253843864697704,16.138081539529807,37.610640111276496,4.40030011508226,1.184207915881361,0.008630096220613035,1.1998809641900605,[0.534 0.466 0.    0.   ],0.0,0.0,0.0003740597058630302,38035714.285601355,[8.165 8.165 0.    0.   ],0.47619047618906235
17,[1621. 1622.    0.    0.],10081.0,201.60000000059856,[106.833  94.767   0.      0.   ],16818.35619343076,226842.0,6483.0,88.0,7494000000.0,1929915.2819858305,83.4161104723168,1.70260886816801,16.11149687530999,36.740210960682404,4.450682553398451,1.205931951195318,0.007538934629501041,1.219819462354925,[0.53 0.47 0.   0.  ],0.0,0.0,0.00025752806004614767,37172619.04750868,[8.041 8.046 0.    0.   ],0.4365079365066405
18,[1607. 1608.    0.    0.],10081.0,201.60000000059856,[106.587  95.013   0.      0.   ],16849.078570440593,230566.0,6713.0,120.0,7786500000.0,1984893.2727145967,83.56848809859233,1.69499057633188,16.236484475746455,37.83162882794265,4.567386253455745,1.2290447376252356,0.009622061303442118,1.2482888602321198,[0.529 0.471 0.    0.   ],0.0,0.0,0.0002549146950124699,38623511.90464723,[7.971 7.976 0.    0.   ],0.595238095236328
19,[1724. 1725.    0.    0.],10081.0,201.60000000059856,[ 92.597 109.003   0.      0.   ],16286.909730805124,293404.0,6054.0,64.0,6586500000.0,288794.87791086145,80.78022880072552,1.4804086896142448,16.18252157524055,32.18197654187869,3.2350682799023747,0.8847336573752604,0.009026882253744668,0.9022914393413352,[0.459 0.541 0.    0.   ],0.0,0.0,4.3846485676893864e-05,32671130.952283952,[8.552 8.557 0.    0.   ],0.3174603174593749
