id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,cell_traffic,cell_dropped_traffic,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
15,[1897. 1898.    0.    0.],10081.0,201.60000000059856,[ 62.223 139.377   0.      0.   ],17295.190210582354,58662.0,20113500000.0,0.0,6237.0,85.78112394890837,3.950084317032069,64.0,85.45502821066083,33.62538431255394,1.9593664018651866,0.5385378434679099,0.009820454320007936,1.5877393115762326,[0.309 0.691 0.    0.   ],0.0,0.0,0.0,99769345.23779902,[9.41  9.415 0.    0.   ],0.0,0.0
16,[1915. 1916.    0.    0.],10081.0,201.60000000059856,[ 65.92 135.68   0.     0.  ],17595.093311170083,53562.0,26619000000.0,0.0,6335.0,87.26859096898552,4.206566808848415,64.0,86.89586228303814,34.53573400109043,2.1447781460751516,0.5848626128360281,0.009126078762027577,2.171411566312866,[0.327 0.673 0.    0.   ],0.0,0.0,0.0,132038690.47579844,[9.499 9.504 0.    0.   ],0.0,0.0
17,[1836. 1837.    0.    0.],10081.0,201.60000000059856,[ 64.248 137.352   0.      0.   ],17464.28462341637,53496.0,26676000000.0,0.0,6212.0,86.61980271507312,4.106259299672716,64.0,86.38574642859506,34.21967843545451,2.0902128505135957,0.5791092153556194,0.008431703204047217,2.1869854181132826,[0.319 0.681 0.    0.   ],0.0,0.0,0.0,132321428.57103571,[9.107 9.112 0.    0.   ],0.0,0.0
18,[1953. 1954.    0.    0.],10081.0,201.60000000059856,[ 65.231 136.369   0.      0.   ],17540.014509256387,53450.0,26785500000.0,134820.95430201376,6305.0,86.99540972747323,4.176093641503899,64.0,86.74200537215144,34.49098298128563,2.1916721340336145,0.5890288661839104,0.009225275270310486,2.2068247197698643,[0.324 0.676 0.    0.   ],0.0,0.0,5.033355894122334e-06,132864583.33293885,[9.687 9.692 0.    0.   ],0.0,0.0
19,[1963. 1964.    0.    0.],10081.0,201.60000000059856,[ 63.069 138.531   0.      0.   ],17362.330484901384,58047.0,20479500000.0,131208.08551560377,6460.0,86.11412798778925,4.0199186588632525,64.0,85.78157171742258,34.63966755994892,1.9654500574093905,0.5513341930364051,0.011010812419402837,1.6404126574744569,[0.313 0.687 0.    0.   ],0.0,0.0,6.406801216611918e-06,101584821.42826982,[9.737 9.742 0.    0.   ],0.0,0.0
20,[1807. 1807.    0.    0.],10081.0,201.60000000059856,[ 77.095 124.505   0.      0.   ],18518.220520687875,41145.0,19827000000.0,204497.89999920674,7351.0,91.84714076324002,4.918877095526486,64.0,91.50038175007879,42.41450947817514,2.9748650294885386,0.8122210098204543,0.0082333101874814,1.7777998214462851,[0.382 0.618 0.    0.   ],0.0,0.0,1.0314112069360304e-05,98348214.28542228,[8.963 8.963 0.    0.   ],0.0,0.0
21,[1882. 1883.    0.    0.],10081.0,201.60000000059856,[ 74.744 126.856   0.      0.   ],18319.486283489226,44116.0,20352000000.0,265061.82025380654,7262.0,90.86145364292187,4.780478127170141,64.0,90.60106172077225,41.59504115764832,2.8437019552734437,0.7645074893363754,0.009324471778593394,1.8661839103263564,[0.371 0.629 0.    0.   ],0.0,0.0,1.3023870885112349e-05,100952380.95208122,[9.335 9.34  0.    0.   ],0.0,0.0
22,[1888. 1889.    0.    0.],10081.0,201.60000000059856,[ 73.983 127.617   0.      0.   ],18244.208333783547,44644.0,25896000000.0,268674.6890402165,6824.0,90.48808815484671,4.705564924114872,64.0,90.22190127455646,38.531205850728234,2.5989843018113037,0.7155044142446186,0.009622061303442118,2.29262969943458,[0.367 0.633 0.    0.   ],0.0,0.0,1.0375142455986118e-05,128452380.95199957,[9.365 9.37  0.    0.   ],0.0,0.0
23,[1837. 1838.    0.    0.],10081.0,201.60000000059856,[ 74.586 127.014   0.      0.   ],18302.786112128644,44291.0,20005500000.0,245259.71378900541,7112.0,90.77862370858637,4.755083821049711,64.0,90.46810186206942,40.354860933398555,2.6846248885266983,0.7424858644975697,0.010614026386271203,1.8423767483384585,[0.37 0.63 0.   0.  ],0.0,0.0,1.2259614295519003e-05,99233630.95208633,[9.112 9.117 0.    0.   ],0.0,0.0
24,[1837. 1838.    0.    0.],10081.0,201.60000000059856,[ 78.546 123.054   0.      0.   ],18624.89413500807,41644.0,19972500000.0,209563.126984597,7465.0,92.3762232665641,4.984902291439605,64.0,92.04428051706249,42.689484078184805,3.012102645139993,0.8184703898422776,0.008729292728895943,1.8002182323182223,[0.39 0.61 0.   0.  ],0.0,0.0,1.0492583651751008e-05,99069940.47589633,[9.112 9.117 0.    0.   ],0.0,0.0
