id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,num_rejects,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
20,[5766. 5828. 1415.    0.],10081.0,201.60000000059856,[78.19  52.242 71.168  0.   ],14893.102344615281,7068.0,2204.0,20024.0,16954.0,10780500000.0,2638123.5795159927,73.86718750428983,2.137327646066942,25.668882055351652,35.2977959197038,3.692409380336012,0.9568495188969348,0.03561154647356413,1.7435770260886816,[0.388 0.259 0.353 0.   ],0.3118279569892473,0.0002447125439001895,53474702.380793616,[28.601 28.909  7.019  0.   ],99.32539682510192
21,[5438. 5880. 1347.    0.],10081.0,201.60000000059856,[72.056 54.691 74.853  0.   ],14701.348860159696,5612.0,1156.0,13320.0,17200.0,10000500000.0,1463047.2179794435,72.91612369883455,1.6246007340542343,18.712032536454718,32.748984526090766,3.2064176413021808,0.8405912111893661,0.028271004860628907,1.541513738716397,[0.357 0.271 0.371 0.   ],0.2059871703492516,0.00014629740692759797,49605654.76175748,[26.974 29.167  6.682  0.   ],66.0714285712324
22,[6.096e+03 6.063e+03 1.347e+03 3.000e+00],10081.0,201.60000000059856,[85.887 45.895 69.299  0.519],15471.987312351679,7580.0,2034.0,5488.0,19125.0,12736500000.0,4499993.000685668,76.73835587913284,1.7513341930365391,16.605495486558873,40.15348771343792,5.13198472489819,1.3024501537545878,0.024600734054161293,2.5031246900109116,[0.426 0.228 0.344 0.003],0.2683377308707124,0.00035331472544935166,63177083.33314576,[3.024e+01 3.007e+01 6.682e+00 1.488e-02],27.222222222141397
23,[6.090e+03 6.068e+03 1.246e+03 3.000e+00],10081.0,201.60000000059856,[90.992 47.386 62.683  0.539],15687.611594776148,9188.0,3186.0,7672.0,23738.0,13905000000.0,8548356.139609437,77.8078146750093,1.9533776411071524,17.41335185001488,41.938754403540074,6.09219390745935,1.496081737922825,0.0235095724630493,2.9182620771748833,[0.451 0.235 0.311 0.003],0.3467566390944711,0.0006147685105796072,68973214.2855095,[3.021e+01 3.010e+01 6.181e+00 1.488e-02],38.05555555544257
24,[6.222e+03 6.205e+03 1.252e+03 3.000e+00],10081.0,201.60000000059856,[92.755 47.705 60.76   0.38 ],15754.50829793336,8966.0,3084.0,7712.0,21438.0,13218000000.0,7808649.196031605,78.13961064345098,1.920206328737382,17.105842674337865,41.49898151733049,5.687496698061193,1.4201964090864,0.026981450252951095,2.7418906854478724,[0.46  0.237 0.301 0.002],0.3439660941333928,0.0005907587529150859,65565476.190281525,[3.086e+01 3.078e+01 6.210e+00 1.488e-02],38.25396825385468
25,[6.181e+03 6.094e+03 1.291e+03 3.000e+00],10081.0,201.60000000059856,[93.79  46.988 60.374  0.448],15812.808696561524,9041.0,2912.0,7932.0,23983.0,13557000000.0,9160830.775527388,78.4287704422215,1.960837218530045,17.152266640214265,43.148433209578215,6.191173974106822,1.529808550739014,0.024600734054161293,2.888304731673445,[0.465 0.233 0.299 0.002],0.32208826457250306,0.0006757269879418299,67247023.80932415,[3.066e+01 3.023e+01 6.404e+00 1.488e-02],39.34523809512128
26,[5705. 5738. 1156.  144.],10081.0,201.60000000059856,[83.832 40.952 45.621 31.195],14795.579571813274,9140.0,3588.0,5792.0,22367.0,12760500000.0,9748355.220943376,73.38349157728689,1.6853089971234227,16.68723340938399,37.52510969330135,4.9426211057463885,1.2583077075686935,0.051185398273980755,2.5985517309790693,[0.416 0.203 0.226 0.155],0.3925601750547046,0.0007639477466355846,63296130.95219302,[28.299 28.462  5.734  0.714],28.73015873007343
27,[5460. 5819. 1341.    0.],10081.0,201.60000000059856,[73.688 54.949 72.963  0.   ],14440.697310928352,5373.0,994.0,15016.0,15409.0,9496500000.0,3187647.3588262107,71.62333752072185,1.6146017260193237,18.760440432496775,32.34400712358308,3.312125359817825,0.863505604602718,0.028469397877194724,1.5270310485070926,[0.366 0.273 0.362 0.   ],0.18499906942117997,0.00033566549347930404,47105654.76176491,[27.083 28.864  6.652  0.   ],74.48412698390584
28,[5758. 5689. 1468.    0.],10081.0,201.60000000059856,[75.392 47.416 78.792  0.   ],14657.678425857946,6624.0,1900.0,21988.0,18533.0,11049000000.0,1308516.069630798,72.69952596894022,2.125424065072976,26.717587540918558,35.11638337813087,3.4774131191143742,0.8967364348774923,0.03769467314750521,1.7059815494494595,[0.374 0.235 0.391 0.   ],0.28683574879227053,0.00011842846136580667,54806547.6188849,[28.562 28.219  7.282  0.   ],109.0674603171365
29,[6.408e+03 6.044e+03 1.483e+03 6.000e+00],10081.0,201.60000000059856,[89.27  41.585 69.948  0.797],15459.158325244314,7375.0,1795.0,7216.0,18380.0,12651000000.0,4536461.717147841,76.67472634284132,1.8525146314851295,16.68009126078762,41.11020381775663,5.093206746180861,1.3130641801408591,0.028370201368911815,2.481896637238369,[0.443 0.206 0.347 0.004],0.24338983050847457,0.00035858522781976454,62752976.19028988,[3.179e+01 2.998e+01 7.356e+00 2.976e-02],35.79365079354452
