id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
28,[1159. 1634. 1270.    0.],10081.0,201.60000000059856,[ 31.014  28.835 141.751   0.   ],11005.769324745339,10164.0,4035000000.0,1482449.0024824976,19124.0,17513.0,3909.0,54.58669439909151,0.6154944945937799,17.468108322587046,9.486146792550395,0.7766308035854768,0.21287570677512152,0.0305525245511358,0.6131336176966571,[0.154 0.143 0.703 0.   ],0.9157603011922192,0.00036739752230049506,20014880.95232153,[5.749 8.105 6.3   0.   ],50.41666666651698
29,[1061. 1939. 1362.    0.],10081.0,201.60000000059856,[ 27.371  54.097 120.132   0.   ],10808.054143191368,6768.0,5562000000.0,1261590.7404351947,35804.0,34401.0,2018.0,53.60606161685762,0.5064576926892077,16.532486856462654,9.038404646497526,0.8992837636581671,0.23648447574645373,0.016962602916377342,0.9499057633171313,[0.136 0.268 0.596 0.   ],0.9608144341414367,0.00022682321834505478,27589285.7142038,[5.263 9.618 6.756 0.   ],33.571428571328894
30,[1172. 2008. 1380.    0.],10081.0,201.60000000059856,[ 30.567  54.684 116.349   0.   ],11006.07850811134,7464.0,5548500000.0,2544658.467941719,42582.0,41021.0,2091.0,54.58822789460805,0.5647852395595564,16.59795655192937,9.659164720831564,0.9704703278312108,0.25810931455212777,0.017557781966074795,0.9850213272492808,[0.152 0.271 0.577 0.   ],0.9633413179277629,0.00045862097286504804,27522321.428489715,[5.813 9.96  6.845 0.   ],37.0238095236996
31,[1261. 2100. 1405.    0.],10081.0,201.60000000059856,[ 33.336  56.076 112.188   0.   ],11196.077210639773,7984.0,5560500000.0,2879606.77584354,41651.0,39950.0,1990.0,55.53058828806295,0.6123995635353512,16.63208015077869,10.594592961774453,1.0246295373196466,0.27973415335780183,0.01656581688324571,0.9834341831167543,[0.165 0.278 0.556 0.   ],0.9591606444022953,0.0005178683168498408,27581845.238013346,[ 6.255 10.417  6.969  0.   ],39.60317460305702
32,[1163. 2103. 1397.    0.],10081.0,201.60000000059856,[ 28.592  58.666 114.342   0.   ],10899.236135029249,7348.0,5538000000.0,1182483.3342229917,43495.0,42030.0,1924.0,54.05830837728816,0.5197897034024302,16.561849022914394,9.15142836963507,0.8499201608397877,0.2315246503323083,0.01775617498264061,0.9853189167741295,[0.142 0.291 0.567 0.   ],0.9663179675824808,0.0002135217288232199,27470238.095156536,[ 5.769 10.432  6.93   0.   ],36.44841269830448
33,[1274. 2122. 1428.    0.],10081.0,201.60000000059856,[ 32.71   49.297 119.593   0.   ],11110.745424435236,8344.0,5584500000.0,1662474.9310096959,36246.0,34563.0,2295.0,55.10735752621155,0.6163674238666673,16.67771054458883,10.78036708725745,0.9930463255726549,0.2688225374466819,0.019343319115167148,0.9279833349866085,[0.162 0.245 0.593 0.   ],0.9535672901837444,0.00029769449924070123,27700892.85706061,[ 6.319 10.526  7.083  0.   ],41.388888888766004
34,[1187. 1765. 1336.    0.],10081.0,201.60000000059856,[ 28.686  31.81  141.104   0.   ],10849.749077183511,9544.0,4057500000.0,479970.6470493556,19494.0,17946.0,4178.0,53.8128612101131,0.5691498859240047,17.35026287074695,9.02881975975534,0.7302530172334215,0.18767979367126278,0.03114770360083325,0.5955758357305823,[0.142 0.158 0.7   0.   ],0.9205909510618652,0.00011829221122596564,20126488.09517834,[5.888 8.755 6.627 0.   ],47.34126984112928
35,[1124. 1630. 1258.    0.],10081.0,201.60000000059856,[ 28.256  28.34  145.004   0.   ],10818.438272227786,9632.0,3952500000.0,615549.8922616367,15980.0,14508.0,3832.0,53.65756508395628,0.5602618787818572,17.278444598750124,8.608818966434214,0.6934280017597629,0.18281916476540025,0.03213966868366234,0.574248586449757,[0.14  0.141 0.719 0.   ],0.9078848560700876,0.00015573684813703647,19605654.761846554,[5.575 8.085 6.24  0.   ],47.777777777635926
36,[ 881. 1887. 1434.    0.],10081.0,201.60000000059856,[ 20.871  57.332 123.397   0.   ],10387.816150965704,5400.0,5530500000.0,837564.2981133496,29692.0,28594.0,1688.0,51.52175454302686,0.3915484574942911,16.410673544291242,6.706418667953521,0.617784896152832,0.1573256621366928,0.014284297192738816,0.8878087491320306,[0.104 0.284 0.612 0.   ],0.9630203421797117,0.0001514445887556911,27433035.714204267,[4.37  9.36  7.113 0.   ],26.785714285634757
37,[1208. 2070. 1381.    0.],10081.0,201.60000000059856,[ 30.27   53.901 117.429   0.   ],11014.744354582184,7368.0,5667000000.0,3955144.8829415767,41096.0,39599.0,1971.0,54.63120898017019,0.5707370300565314,16.62176371391727,9.473384749097981,0.9917948544315242,0.2569189564527329,0.0152762622755679,1.0100188473365737,[0.15  0.267 0.582 0.   ],0.9635730971384077,0.0006979256895961844,28110119.047535587,[ 5.992 10.268  6.85   0.   ],36.54761904751054
