id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[1468. 2413.  794.  784.],10081.0,201.60000000059856,[25.353 37.444 44.479 94.324],8176.324990834223,8144.0,5550000000.0,28634686.29802069,4427.0,50692.0,40.55314448385917,0.39821446285090006,16.78960420593195,8.435612409920948,0.7775827292728957,0.15008431703204048,0.25929967265152265,1.1601031643686142,[0.126 0.186 0.221 0.468],0.0,0.0,0.005159402936580304,27529761.904680166,[ 7.282 11.969  3.938  3.889],40.39682539670546
11,[1541. 2469.  764.  821.],10081.0,201.60000000059856,[26.515 35.696 40.667 98.722],8278.191509919481,8440.0,5778000000.0,20135981.91410392,4814.0,51275.0,41.05838463406816,0.4090070429520804,16.72651522666402,8.90455371812588,0.6650694938929902,0.1552425354627517,0.2855867473464934,1.173296299970241,[0.132 0.177 0.202 0.49 ],0.0,0.0,0.003484939756681191,28660714.28562919,[ 7.644 12.247  3.79   4.072],41.865079364955065
12,[1546. 2484.  773.  829.],10081.0,201.60000000059856,[26.249 34.24  41.24  99.871],8257.420760042236,8932.0,5724000000.0,21558028.324822117,4761.0,52636.0,40.95536534095622,0.4123400456303858,16.884436067850412,8.83219787133246,0.6325598867361706,0.15087788909830374,0.2842971927388156,1.2020632873722845,[0.13  0.17  0.205 0.495],0.0,0.0,0.0037662523278864635,28392857.142772842,[ 7.669 12.321  3.834  4.112],44.305555555424014
13,[1201. 2062.  768.  775.],10081.0,201.60000000059856,[22.135 32.935 54.339 92.191],7597.583188517525,7892.0,4020000000.0,15058780.220698439,4107.0,52919.0,37.682686184499936,0.3482194226763168,16.83999603213967,7.320958925086433,0.5254371168135705,0.11973018549747048,0.2317230433488741,0.8559666699732169,[0.11  0.163 0.27  0.457],0.0,0.0,0.0037459652290294625,19940476.190416988,[ 5.957 10.228  3.81   3.844],39.14682539670917
14,[1079. 1927.  792.  806.],10081.0,201.60000000059856,[20.994 26.388 58.313 95.905],7408.891019469703,7384.0,3831000000.0,14520351.263087843,4115.0,50081.0,36.74680596900591,0.3171907548854244,16.769368118242237,6.789867721037964,0.4589933174506795,0.1093145521277651,0.24164269417716497,0.7779982144628509,[0.104 0.131 0.289 0.476],0.0,0.0,0.0037902248141706714,19002976.19041977,[5.352 9.559 3.929 3.998],36.62698412687538
15,[1422. 2362.  804.  803.],10081.0,201.60000000059856,[24.615 35.429 44.932 96.624],8061.587249973237,8048.0,5568000000.0,30502735.06824502,4809.0,53259.0,39.98406532077443,0.38107330621961377,16.712627715504414,8.50582954641496,0.6442677522420021,0.1481003868663823,0.28251165558972324,1.162483880567404,[0.122 0.176 0.223 0.479],0.0,0.0,0.0054782210970267635,27619047.61896562,[ 7.054 11.716  3.988  3.983],39.92063492051639
16,[1453. 2410.  804.  807.],10081.0,201.60000000059856,[25.696 35.473 43.458 96.973],8165.612097247334,8536.0,5619000000.0,25848695.34387678,4695.0,52441.0,40.50001040198763,0.395675032238858,16.738418807657972,8.516432471311623,0.6294486736151839,0.15077869259002083,0.2844955857553814,1.1821247892074198,[0.127 0.176 0.216 0.481],0.0,0.0,0.004600230529253743,27872023.809441056,[ 7.207 11.954  3.988  4.003],42.341269841144126
17,[1523. 2454.  827.  814.],10081.0,201.60000000059856,[26.544 36.395 40.694 97.967],8286.311464441196,8456.0,5689500000.0,28391034.929806303,4990.0,53789.0,41.09865819086639,0.422735839698434,16.73167344509473,9.143455467714034,0.7951129978207151,0.16089673643487748,0.300069437555798,1.198293820057534,[0.132 0.181 0.202 0.486],0.0,0.0,0.004990075565481379,28221726.1903924,[ 7.555 12.173  4.102  4.038],41.94444444431991
18,[1509. 2446.  792.  812.],10081.0,201.60000000059856,[25.782 36.381 42.094 97.343],8199.399102358493,8240.0,5503500000.0,19856587.647722937,4633.0,50114.0,40.66758804860597,0.40741989881955387,16.761432397579604,8.546949482223548,0.6540144262142793,0.14849717289951395,0.2807261184406309,1.1630790596171015,[0.128 0.18  0.209 0.483],0.0,0.0,0.0036079926678882416,27299107.14277609,[ 7.485 12.133  3.929  4.028],40.87301587289452
19,[1404. 2328.  836.  813.],10081.0,201.60000000059856,[24.34  34.096 44.862 98.302],8078.086323672251,8296.0,5430000000.0,18999073.24693066,4496.0,48699.0,40.065897845816686,0.38020037694672465,16.76976490427537,8.292240660012986,0.6770725652398182,0.14066064874516418,0.26981450252951095,1.1368911814304137,[0.121 0.169 0.223 0.488],0.0,0.0,0.0034989085169301395,26934523.80944384,[ 6.964 11.548  4.147  4.033],41.150793650671474
