id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,cell_traffic,cell_dropped_traffic,disconnects,num_rejects,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[14917. 14917.     0.     0.],20161.0,403.19999999737746,[144.809 258.391   0.      0.   ],40424.83976293346,223517.0,54205500000.0,4036716564.7337136,506096.0,181884.0,64.0,100.25504628474094,5.0791131392299045,63.917662814344524,46.92956756030072,29.331614803748558,2.1440900748970786,0.01076335499231189,6.30256435692674,[0.359 0.641 0.    0.   ],0.8137367627518265,0.07447060842043175,134438244.04849347,[36.997 36.997  0.     0.   ],0.15873015873119117
11,[1.337e+04 1.362e+04 6.390e+02 1.000e+00],20161.0,403.19999999737746,[1.738e+02 2.098e+02 1.948e+01 1.100e-01],44998.32771979732,290680.0,76050000000.0,7044888486.317713,517962.0,236108.0,2640.0,111.59745974851684,6.227151430981515,62.24016665839988,54.92952528598839,47.82799701623616,3.1282178463369874,0.04384703139725212,9.825355885124745,[4.311e-01 5.204e-01 4.832e-02 2.728e-04],0.8122609054630522,0.09263495708504553,188616071.42979825,[3.316e+01 3.378e+01 1.585e+00 2.480e-03],6.547619047661636
12,[1.268e+04 1.332e+04 9.580e+02 1.000e+00],20161.0,403.19999999737746,[1.701e+02 2.000e+02 3.296e+01 1.100e-01],43863.083994426255,314455.0,69700500000.0,7563904149.322204,543839.0,258889.0,5976.0,108.78201476718795,5.84153563811389,56.13610435990278,52.4653383421745,51.365752250817685,3.0496503149645355,0.054957591389316,9.83993849511433,[4.219e-01 4.961e-01 8.176e-02 2.728e-04],0.8232942710403715,0.1085200844946909,172868303.57255295,[3.146e+01 3.305e+01 2.376e+00 2.480e-03],14.821428571524974
13,[11557. 12829.  1837.     0.],20161.0,403.19999999737746,[157.208 146.796  99.196   0.   ],41531.94478824978,280675.0,73839000000.0,6743810965.713383,540726.0,226099.0,15500.0,103.00070628501872,5.587341897724072,51.279797629085856,52.87949742705523,44.322965782161965,2.9663211150240563,0.056495213531074846,9.87803184365855,[0.39  0.364 0.246 0.   ],0.8055544669101273,0.09133128787921535,183132440.47738162,[28.663 31.818  4.556  0.   ],38.442460317710356
14,[15550. 15550.     0.     0.],20161.0,403.19999999737746,[148.814 254.386   0.      0.   ],40369.07427587526,184299.0,53794500000.0,3511507497.2908545,464903.0,146814.0,56.0,100.11674588530943,5.220772779128766,63.92837656862259,47.2017375966225,25.94034714752473,2.1416596398988146,0.012747383562323298,6.228212886265562,[0.369 0.631 0.    0.   ],0.7966076864226067,0.0652763293141651,133418898.8103916,[38.566 38.566  0.     0.   ],0.13888888888979226
15,[16266. 16267.     0.     0.],20161.0,403.19999999737746,[151.772 251.428   0.      0.   ],40954.849169279296,241157.0,53928000000.0,4483043780.725925,491490.0,199205.0,72.0,101.56948854044687,5.282357025941939,63.92143246862755,48.72611003387764,31.061794505000915,2.2919002033629283,0.013987401418580427,6.428946976836467,[0.376 0.624 0.    0.   ],0.8260386387291266,0.08313016949870058,133750000.00086994,[40.342 40.345  0.     0.   ],0.17857142857259006
16,[6.391e+03 8.166e+03 2.229e+03 4.000e+00],20161.0,403.19999999737746,[ 87.967 132.684 182.109   0.44 ],34957.745087248884,250886.0,42585000000.0,6615675563.877044,511638.0,208811.0,2368.0,86.69645624533557,2.156678736173732,25.966172312881305,28.45625539848535,47.87398334591541,2.4253261246961957,0.048360696394028076,7.484797381082288,[0.218 0.329 0.452 0.001],0.8322943488277544,0.15535224994427718,105617559.5244965,[1.585e+01 2.025e+01 5.528e+00 9.921e-03],5.873015873054073
17,[ 8724. 10218.  2121.    62.],20161.0,403.19999999737746,[121.723 150.749 123.304   7.424],37782.76320826663,362239.0,60813000000.0,8260285503.4869,547440.0,308457.0,13720.0,93.70260207395741,3.806358811567191,37.31918059620059,41.13425601531402,53.227026760777484,2.940727146470909,0.045384653539010965,9.698427657358266,[0.302 0.374 0.306 0.018],0.8515289629222695,0.13583091614435894,150825892.85812387,[21.637 25.342  5.26   0.154],34.027777777999106
18,[6565. 8171. 1779.    0.],20161.0,403.19999999737746,[ 91.157 161.104 150.939   0.   ],34562.31368235021,226095.0,41833500000.0,5426182769.214997,460677.0,188352.0,1744.0,85.71577223934291,2.149813997321605,25.592182927434155,29.316870080159102,35.49950575039842,2.1338227270472694,0.04563265711026239,6.922474083626804,[0.226 0.4   0.374 0.   ],0.8330657466993963,0.12970903149903779,103753720.23877008,[16.282 20.265  4.412  0.   ],4.325396825424959
19,[16524. 16525.     0.     0.],20161.0,403.19999999737746,[165.955 237.245   0.      0.   ],42239.94836550292,225272.0,53818500000.0,4062491522.214803,457416.0,184979.0,72.0,104.75658044120688,5.748127573037898,63.890283220078366,50.624696575487974,31.00967453910956,2.4168940032736472,0.016963444273597538,6.3998809582858,[0.412 0.588 0.    0.   ],0.8211362264284954,0.07548503808569178,133478422.6199158,[40.982 40.985  0.     0.   ],0.17857142857259006
