id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
11,[1146. 1936.  789.  713.],10081.0,201.60000000059856,[19.972 30.183 66.711 84.734],7472.386574563447,6712.0,32439.0,4180500000.0,13105736.745480072,3480.0,37.06173283684686,0.3197301854974663,16.637238369209403,6.70443852755037,0.5202326193144269,0.11477036008332507,0.20265846642198196,0.8694573950996924,[0.099 0.15  0.331 0.42 ],0.0,0.0,0.0031349687227556684,20736607.142795574,[5.685 9.603 3.914 3.537],33.29365079355195
12,[1111. 1862.  824.  683.],10081.0,201.60000000059856,[19.622 28.22  72.427 81.331],7378.580839881384,6248.0,33547.0,4183500000.0,17541528.453618236,3261.0,36.596472769978334,0.31965082829083996,16.545977581589128,6.7025663049245345,0.47769156576325267,0.11417518103362762,0.18510068445590716,0.8388056740402737,[0.097 0.14  0.359 0.403],0.0,0.0,0.004193026999789228,20751488.095176484,[5.511 9.236 4.087 3.388],30.992063491971475
13,[ 857. 1546.  759.  665.],10081.0,201.60000000059856,[16.428 27.394 79.715 78.063],6960.455664683103,6184.0,32691.0,3003000000.0,12437039.793063376,2852.0,34.52264489973361,0.26719571471084064,16.681678404920145,5.464083220589364,0.34098538634299197,0.08560658664814999,0.15544092847931754,0.6028171808352346,[0.081 0.136 0.395 0.387],0.0,0.0,0.004141538392628497,14895833.333289107,[4.251 7.669 3.765 3.299],30.6746031745121
14,[ 814. 1494.  741.  678.],10081.0,201.60000000059856,[15.929 21.633 84.39  79.648],6818.311091148769,5560.0,33260.0,2895000000.0,4026494.1087910193,2950.0,33.8176326314349,0.2529907747247288,16.555103660351154,5.188811540147804,0.31420977774393,0.08153952980855074,0.1680388850312469,0.5611546473564131,[0.079 0.107 0.419 0.395],0.0,0.0,0.0013908442517412847,14360119.047576413,[4.038 7.411 3.676 3.363],27.579365079283196
15,[1133. 1927.  815.  712.],10081.0,201.60000000059856,[19.886 28.832 68.26  84.622],7414.346633709377,6376.0,33805.0,4213500000.0,15426026.39126117,3470.0,36.77386486316294,0.31711139767879765,16.5217736335681,6.8932282478715665,0.4784338026264173,0.11824223787322687,0.1985914095823827,0.8411863902390636,[0.099 0.143 0.339 0.42 ],0.0,0.0,0.003661095619143508,20900297.618985567,[5.62  9.559 4.043 3.532],31.626984126890225
16,[1163. 1960.  769.  777.],10081.0,201.60000000059856,[20.726 27.436 60.222 93.216],7499.860735797985,6744.0,36262.0,4240500000.0,12126328.861503046,3902.0,37.197999879970595,0.3195714710842139,16.57097510167642,6.82687093715156,0.5336059016914114,0.12072215058029957,0.23916278147009226,0.899216347584565,[0.103 0.136 0.299 0.462],0.0,0.0,0.0028596459996469864,21034226.19041374,[5.769 9.722 3.814 3.854],33.45238095228163
17,[1118. 1895.  819.  738.],10081.0,201.60000000059856,[19.82  30.111 63.867 87.802],7423.5269821926695,6280.0,32830.0,4201500000.0,15690733.815006321,3434.0,36.81939778888145,0.31020732070230783,16.574149389941475,6.637397893307357,0.5140976866426215,0.11576232516615415,0.19710346195813908,0.8498164864596767,[0.098 0.149 0.317 0.436],0.0,0.0,0.00373455523384656,20840773.809461933,[5.546 9.4   4.062 3.661],31.150793650701164
18,[1082. 1863.  752.  730.],10081.0,201.60000000059856,[20.111 27.109 67.121 87.259],7369.850203248848,6096.0,34704.0,4168500000.0,17696476.60982861,3623.0,36.553170336526534,0.3164765400257873,16.51066362464041,6.7685566071468966,0.5060923325209816,0.12161491915484575,0.2126773137585557,0.8510068445590715,[0.1   0.134 0.333 0.433],0.0,0.0,0.004245286460316328,20677083.333271943,[5.367 9.241 3.73  3.621],30.23809523800546
19,[1100. 1917.  820.  737.],10081.0,201.60000000059856,[19.26  26.752 67.11  88.478],7312.6891187067995,6456.0,33588.0,4101000000.0,10121980.322683562,3544.0,36.269661336714634,0.29766888205534864,16.542406507290945,6.538022041780623,0.48467544900702936,0.1138775915087789,0.20940382898521973,0.8411863902390636,[0.096 0.133 0.333 0.439],0.0,0.0,0.0024681736948752894,20342261.90470151,[5.456 9.509 4.067 3.656],32.02380952371445
20,[ 782. 1475.  794.  680.],10081.0,201.60000000059856,[15.56  22.438 83.226 80.376],6840.609114113504,5480.0,31153.0,2821500000.0,13357783.068939505,2752.0,33.92822693242078,0.24299176668981207,16.5681975994445,4.9763864451574324,0.3184414318479639,0.07925801011804384,0.1537545878385081,0.5496478523955957,[0.077 0.111 0.413 0.399],0.0,0.0,0.004734284270402093,13995535.71424416,[3.879 7.316 3.938 3.373],27.182539682458977
