id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
29,[10710. 10019.  2737.     0.],20161.0,403.19999999737746,[196.265  93.949 112.986   0.   ],34523.5262415973,19488.0,363314.0,65889000000.0,426636624.8587503,56575.0,29849.0,85.61957800108131,2.3169485640591305,19.092902137790784,51.30105040328376,11.474039976574241,2.31823818262983,0.03144685283468082,8.597490203858936,[0.487 0.233 0.28  0.   ],0.5276005302695537,0.006475081195021176,163415178.57249147,[26.563 24.849  6.788  0.   ],48.33333333364771
30,[10792.  9816.  2878.     0.],20161.0,403.19999999737746,[203.041  91.172 108.987   0.   ],36037.50131429353,26236.0,435255.0,96178500000.0,818238234.5804619,73598.0,38418.0,89.3742902492243,3.006596894994962,23.367491691880364,56.26186736701548,15.532808796269837,2.916174792917018,0.02832200783691285,13.677248152373394,[0.504 0.226 0.27  0.   ],0.5219978803771842,0.008507496317580975,238537946.43012294,[26.766 24.345  7.138  0.   ],65.06944444486767
31,[10546.  9429.  2894.     0.],20161.0,403.19999999737746,[195.859  86.51  120.831   0.   ],35275.48019926676,23480.0,406340.0,81558000000.0,729319608.4608934,68677.0,36485.0,87.48445067026644,2.6458211398241214,21.29398343336144,53.779774778168694,13.913994175156311,2.7117702494915927,0.025990774267149446,11.781310450870492,[0.486 0.215 0.3   0.   ],0.5312550053147342,0.008942342976297769,202276785.71560138,[26.156 23.385  7.178  0.   ],58.23412698450576
32,[11377. 10295.  2953.     0.],20161.0,403.19999999737746,[196.305  95.813 111.082   0.   ],35066.444699730535,21504.0,440281.0,77749500000.0,722476719.6819453,70419.0,38173.0,86.96603516623435,2.544199196468224,20.43608947968851,52.55239197419073,13.834378309841298,2.6675760130945885,0.028619612122414564,11.304151579782749,[0.487 0.238 0.276 0.   ],0.5420838126073929,0.009292364834268327,192831101.1917304,[28.217 25.533  7.324  0.   ],53.33333333368023
33,[1.075e+04 9.095e+03 3.336e+03 2.000e+00],20161.0,403.19999999737746,[185.58   77.725 139.675   0.22 ],34645.21408154658,22624.0,414352.0,79264500000.0,582526608.963324,72427.0,40078.0,85.9213681899322,2.5492783096074154,20.86067159367095,54.39014176330922,13.726040075235373,2.645950101681464,0.03278607211943852,10.972620405733842,[0.46  0.193 0.346 0.001],0.5533571734297983,0.007349148849274567,196588541.66794533,[2.666e+01 2.256e+01 8.274e+00 4.960e-03],56.11111111147608
34,[10926. 10936.    13.     0.],20161.0,403.19999999737746,[178.31 224.43   0.46   0.  ],32980.64228840455,7856.0,259997.0,35899500000.0,142452349.10253578,32432.0,15150.0,81.7931706968979,1.6829323942266385,16.663459153811814,40.68909363815217,7.336990350453502,1.6124696195625217,0.0073905064232924955,4.143246862754824,[0.442 0.557 0.001 0.   ],0.4671312284163789,0.003968087274266655,89036458.33391245,[27.098 27.123  0.032  0.   ],19.484126984253717
35,[ 9934. 10611.   793.     0.],20161.0,403.19999999737746,[183.831 179.133  40.236   0.   ],33139.03599853193,7208.0,241803.0,36934500000.0,145468067.53752473,32311.0,15196.0,82.18599275465225,1.7429690987551494,16.792222608005556,41.72415552003586,6.803447539870965,1.5355885124745796,0.010465750706810177,4.05907445067209,[0.456 0.444 0.1   0.   ],0.47030423075732725,0.003938541676143571,91603422.61964343,[24.638 26.317  1.967  0.   ],17.876984127100403
36,[5530. 5521. 1422.  732.],20161.0,403.19999999737746,[131.441  49.457  81.657 140.645],31270.752661751012,8240.0,344156.0,53463000000.0,242442828.43546817,38085.0,19780.0,77.55258335833852,1.3101731064928537,16.837855265115817,33.01820277615742,7.756126167191703,1.6527453995337533,0.014037002132830713,6.543375824611874,[0.326 0.123 0.203 0.349],0.5193645792306683,0.004534777854506259,132596726.19133864,[13.715 13.693  3.527  1.815],20.43650793664086
37,[5096. 5267. 1497.  684.],20161.0,403.19999999737746,[136.449  58.4    94.724 113.627],31719.640697470863,13352.0,471923.0,92565000000.0,696961732.8102612,61102.0,32441.0,78.66584171783634,2.037200535687703,21.650116561678487,40.44706327479052,12.059988873653786,2.3104508704925353,0.014979415703586131,12.523039531769257,[0.338 0.145 0.235 0.282],0.5309318843900364,0.007529430484635243,229575892.85863608,[12.639 13.063  3.713  1.696],33.115079365294754
38,[5701. 5803. 1490.  742.],20161.0,403.19999999737746,[140.617  53.208  69.292 140.083],33078.99208317454,10520.0,301848.0,60670500000.0,410535843.54879105,34656.0,15820.0,82.03708170024954,1.5409553097565745,17.845940181538616,34.40059250945595,8.687169504869084,1.7977778880015873,0.023014731412132335,7.7474827637517985,[0.349 0.132 0.172 0.347],0.4564866112650046,0.006766646781364767,150472470.23907396,[14.139 14.392  3.695  1.84 ],26.091269841439548
