id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[2254. 2090. 1247.    0.],10081.0,201.60000000059856,[119.866  22.552  59.182   0.   ],20073.943019932034,23544.0,178440.0,162312.0,114886500000.0,382921167.69841194,73430.0,99.56325275236001,5.258446582680347,46.63267532982839,101.00210492212544,25.897006930609535,5.21555401249876,0.0025791092153556196,25.75111596071818,[0.595 0.112 0.294 0.   ],0.909616677874916,0.0033330388487630134,569873511.90307,[11.181 10.367  6.186  0.   ],116.78571428536755
11,[1454. 1589.  972.    0.],10081.0,201.60000000059856,[100.338  18.769  82.493   0.   ],17438.41560864702,24720.0,174635.0,161745.0,107092500000.0,372868762.52692735,92866.0,86.49149691819544,3.7468505108619796,45.843071123896436,86.22773077330922,21.51386160012039,4.465033230830275,0.0022815196905068944,23.159507985318918,[0.498 0.093 0.409 0.   ],0.9261889082944427,0.003481744870340382,531212797.61747044,[7.212 7.882 4.821 0.   ],122.61904761868357
12,[1708. 1682. 1064.    0.],10081.0,201.60000000059856,[101.41   19.317  80.873   0.   ],17642.727648822638,21560.0,195628.0,182793.0,100348500000.0,417765311.8699985,95342.0,87.50484896747213,3.836682868763,45.45937902985815,82.23799157681721,20.360594707631837,4.118043844856661,0.0030750917567701616,21.724928082531495,[0.503 0.096 0.401 0.   ],0.9343907825055718,0.004163144559908703,497760416.6651888,[8.472 8.343 5.278 0.   ],106.94444444412693
13,[2772. 3373. 1122.    0.],10081.0,201.60000000059856,[108.798  46.679  46.123   0.   ],19147.06032847312,21312.0,135013.0,120376.0,76867500000.0,266472157.64365008,156698.0,94.96607642332607,4.9537942664419194,49.458188671758755,90.20770898671609,15.894145186800122,3.371391727011209,0.0030750917567701616,14.449260986013293,[0.54  0.232 0.229 0.   ],0.8915882174309141,0.0034666426987172744,381287202.37982035,[13.75  16.731  5.565  0.   ],105.71428571397185
14,[3240. 3434.  805.    0.],10081.0,201.60000000059856,[120.974  52.984  27.642   0.   ],20867.51731088966,13776.0,111247.0,95657.0,88086000000.0,250014247.76625273,101929.0,103.49924268865979,5.992421386767454,51.732169427636144,94.02192826131498,16.278393628688363,3.4901299474258507,0.0037694673147505207,15.940779684555103,[0.6   0.263 0.137 0.   ],0.8598613895206163,0.0028382972068915916,436934523.8082265,[16.071 17.034  3.993  0.   ],68.33333333313045
15,[1955. 2151. 1109.    0.],10081.0,201.60000000059856,[108.111  25.257  68.232   0.   ],18794.708589064114,20092.0,169459.0,155485.0,103296000000.0,374739548.8652591,93232.0,93.21847331149101,4.2356909036801875,45.87600436464636,87.75118859787902,21.08822715777984,4.351552425354628,0.0023807161987898025,22.334689018946534,[0.536 0.125 0.338 0.   ],0.9175375754607309,0.0036278224603591533,512380952.3794311,[ 9.697 10.67   5.501  0.   ],99.6626984124025
16,[2376. 2260. 1202.    0.],10081.0,201.60000000059856,[123.24   26.922  51.438   0.   ],20454.2187279642,24084.0,178966.0,161699.0,113889000000.0,478300452.0077949,91404.0,101.44935387344027,5.435333796250446,46.22398571570281,104.47108516500379,28.133546666567963,5.518500148794763,0.002479912707072711,26.444697946632278,[0.611 0.134 0.255 0.   ],0.9035179866566834,0.004199707188646796,564925595.236418,[11.786 11.21   5.962  0.   ],119.46428571393102
17,[2320. 2433. 1123.    0.],10081.0,201.60000000059856,[124.303  31.276  46.021   0.   ],20828.84743253529,23248.0,206224.0,188229.0,118384500000.0,389690038.5520261,97602.0,103.30744684323828,5.5633369705386855,47.06477531990874,107.61901286248515,27.259641378657488,5.566808848328539,0.002182323182223986,27.340640809443506,[0.617 0.155 0.228 0.   ],0.9127405151679727,0.0032917319290280914,587224702.3792089,[11.508 12.068  5.57   0.   ],115.31746031711793
18,[2227. 2210. 1144.    0.],10081.0,201.60000000059856,[121.169  25.733  54.698   0.   ],20106.522910336113,25212.0,204364.0,186641.0,116085000000.0,450367248.60774326,102332.0,99.72484332077552,5.268445590715252,46.36325761333201,105.32090400584596,25.884494374050686,5.332903481797441,0.001785537149092352,26.717488344410278,[0.601 0.128 0.271 0.   ],0.9132772895421895,0.0038796334462483806,575818452.3792428,[11.047 10.962  5.675  0.   ],125.05952380915251
19,[1860. 2012. 1089.    0.],10081.0,201.60000000059856,[106.85   25.229  69.521   0.   ],18478.309285413256,20488.0,201443.0,187560.0,102901500000.0,403345113.9848979,109746.0,91.64918800422545,4.193790298581485,45.79029858148993,85.82589700881333,20.58057204493472,4.171808352345997,0.0022815196905068944,22.220513837912904,[0.53  0.125 0.345 0.   ],0.9310822416266636,0.003919720450964251,510424107.1413417,[9.226 9.98  5.402 0.   ],101.62698412668239
