id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[12650. 12651.     0.     0.],20161.0,403.19999999737746,[222.663 180.537   0.      0.   ],44399.406679723885,18144.0,80795.0,74041500000.0,150433042.83600128,28870.0,12600.0,110.11211418015567,6.8227171271273015,63.11750409205892,58.90075072833842,5.03722050356917,1.2416050791131392,0.00992014285005704,3.9216308714845494,[0.552 0.448 0.    0.   ],0.43643921025285765,0.002031739535746862,183634672.62024203,[31.374 31.376  0.     0.   ],45.000000000292694
11,[10372. 10367.    26.     0.],20161.0,403.19999999737746,[272.907 129.531   0.762   0.   ],46310.95019005958,2792.0,34450.0,109482000000.0,167272236.1044244,26729.0,7008.0,114.85281035181391,8.531997420762073,63.882545508655326,72.25220406363306,6.362299143911845,1.6089479688507515,0.009572937850305045,5.793611428004564,[0.677 0.321 0.002 0.   ],0.26218713756593964,0.001527851483389273,271532738.09700423,[25.724 25.712  0.064  0.   ],6.924603174648214
12,[8877. 8830.  120.    0.],20161.0,403.19999999737746,[297.149 102.468   3.583   0.   ],46480.36864181513,4064.0,41706.0,108207000000.0,187074844.86062992,27027.0,7761.0,115.27297416252459,9.42409602698125,63.810922077277915,70.533662749992,6.121339276440055,1.5672337681662616,0.006993700709290214,5.734586578046724,[0.737 0.254 0.009 0.   ],0.28715728715728717,0.0017288608395078869,268370535.71603128,[22.016 21.9    0.298  0.   ],10.079365079430639
13,[10413. 10415.    11.     0.],20161.0,403.19999999737746,[263.79  139.088   0.322   0.   ],45818.28340697511,6040.0,45930.0,109240500000.0,179121659.4526829,30179.0,11062.0,113.63097913539487,8.169197956450105,63.72699766876643,69.11413451578697,5.899336610457538,1.4998759982143743,0.009027329993551906,5.794504240861069,[0.654 0.345 0.001 0.   ],0.3665462738990689,0.0016397001062122831,270933779.763667,[25.826 25.831  0.027  0.   ],14.980158730256166
14,[13841. 13842.     0.     0.],20161.0,403.19999999737746,[217.497 185.703   0.      0.   ],44046.847944478235,17520.0,70439.0,73584000000.0,92863450.01515739,25212.0,9102.0,109.23775592598729,6.861842170527895,63.17305689201925,59.46981265666367,4.769147468982356,1.2189375527007589,0.010267347849809037,3.732701750905213,[0.539 0.461 0.    0.   ],0.3610185625892432,0.0012620060069465833,182500000.00118703,[34.328 34.33   0.     0.   ],43.45238095266358
15,[13730. 13730.     0.     0.],20161.0,403.19999999737746,[197.455 205.745   0.      0.   ],43083.501786394874,20896.0,99231.0,73980000000.0,122169358.60996747,23857.0,8585.0,106.8486230504247,6.018709389416065,62.985566192153165,55.543084673913185,4.115134835794957,1.1024750756410893,0.009374534993303903,3.8060116065671346,[0.49 0.51 0.   0.  ],0.3598524542063126,0.0016513835984045347,183482142.85833627,[34.053 34.053  0.     0.   ],51.82539682573391
16,[10846. 10847.    19.     0.],20161.0,403.19999999737746,[254.102 148.528   0.57    0.   ],45187.21653453242,4856.0,45385.0,109432500000.0,132147626.41075365,23448.0,4361.0,112.06591075475345,7.9123059372052404,63.77243192301969,70.02443723536506,5.674292703806739,1.5117305689201925,0.0097217399930559,5.6647983730965725,[0.63  0.368 0.001 0.   ],0.18598601160013647,0.001207572032172834,271409970.2398606,[26.9   26.902  0.047  0.   ],12.04365079372913
17,[9732. 9713.   82.    0.],20161.0,403.19999999737746,[278.016 122.773   2.411   0.   ],45482.43437472135,4232.0,50145.0,108682500000.0,159264638.8470678,26378.0,7231.0,112.79806154139219,8.80690441942261,63.78909776300779,70.49887138236171,5.820686203075529,1.5355885124745796,0.00992014285005704,5.760974158027875,[0.69  0.304 0.006 0.   ],0.27412995678216695,0.0014654119922440853,269549851.19222945,[24.137 24.09   0.203  0.   ],10.496031746100016
18,[1.175e+04 1.175e+04 7.000e+00 0.000e+00],20161.0,403.19999999737746,[2.342e+02 1.688e+02 1.740e-01 0.000e+00],44156.0693711204,6768.0,62904.0,109600500000.0,135553701.44767675,25302.0,6900.0,109.50862896463323,7.184365854868723,63.712514260205346,66.84838556290292,5.329702572669238,1.41044591042111,0.007836912851545062,5.744556321611031,[5.809e-01 4.187e-01 4.315e-04 0.000e+00],0.27270571496324403,0.0012367982029979493,271826636.90652996,[2.915e+01 2.915e+01 1.736e-02 0.000e+00],16.785714285823467
19,[1.401e+04 1.401e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[2.099e+02 1.932e+02 3.000e-02 0.000e+00],43731.2568946914,19888.0,76634.0,73950000000.0,100017088.00093354,23135.0,7218.0,108.45507885196464,6.631218689549983,63.03000843212142,59.11023553217021,4.522849754620741,1.1969644362878826,0.010267347849809037,3.7597341401716187,[5.207e-01 4.792e-01 7.440e-05 0.000e+00],0.31199481305381455,0.0013524961190119478,183407738.09643105,[3.474e+01 3.474e+01 2.480e-03 0.000e+00],49.325396825717654
20,[11233. 11233.     0.     0.],20161.0,403.19999999737746,[250.405 152.795   0.      0.   ],46395.436803017925,29928.0,37381.0,67389000000.0,96820953.69529186,22537.0,3681.0,115.06234016917608,7.538872079758005,62.24750756410892,68.91791986265484,5.446744218144503,1.4250285204106938,0.010316948564059323,3.4764148603739895,[0.621 0.379 0.    0.   ],0.16333141056928607,0.0014367471500584942,167135416.66775376,[27.86 27.86  0.    0.  ],74.22619047667327
