id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[1834. 1835.    0.    0.],10081.0,201.60000000059856,[ 28.064 173.536   0.      0.   ],13657.350958562627,19124.0,6211500000.0,63377.8205813698,13084.0,1409.0,11740.0,67.73807637416502,0.5366134312072165,18.04781271699236,9.17043348372441,0.6775788653432264,0.20275766293026484,0.003571074298184704,0.7607380220216249,[0.139 0.861 0.    0.   ],0.8972791195353103,1.02033036434629e-05,30811011.904670425,[9.097 9.102 0.    0.   ],94.86111111082947
11,[1512. 1513.    0.    0.],10081.0,201.60000000059856,[ 22.378 179.222   0.      0.   ],13393.335091702034,16124.0,6012000000.0,819132.0989211985,11289.0,1002.0,10201.0,66.42860376797209,0.414879476242432,17.753000694375558,7.439100525610331,0.5295965889527147,0.15682967959527824,0.0027775022319214363,0.7120325364547168,[0.111 0.889 0.    0.   ],0.9036229958366552,0.0001362495174519625,29821428.571340032,[7.5   7.505 0.    0.   ],79.98015872992127
12,[2105. 2106.    0.    0.],10081.0,201.60000000059856,[ 31.908 169.692   0.      0.   ],13830.09749296238,22892.0,6378000000.0,2495536.32613603,9234.0,1438.0,7693.0,68.59486902568565,0.633667294911214,18.62077174883444,10.935786825518795,0.8040436248567341,0.22844955857553814,0.004959825414145422,0.7102469993056244,[0.158 0.842 0.    0.   ],0.8331167424734676,0.0003912725503505848,31636904.76181083,[10.441 10.446  0.     0.   ],113.55158730125017
13,[1260. 1261.    0.    0.],10081.0,201.60000000059856,[ 19.078 182.522   0.      0.   ],13244.472329555943,11716.0,4360500000.0,0.0,4203.0,648.0,3225.0,65.69027045705943,0.3592500743973789,18.374367622259697,6.789734831273335,0.40315531633075863,0.11734946929868069,0.003372681281618887,0.4089872036504315,[0.095 0.905 0.    0.   ],0.7673090649536045,0.0,21629464.285650067,[6.25  6.255 0.    0.   ],58.11507936490682
14,[2017. 2018.    0.    0.],10081.0,201.60000000059856,[ 30.545 171.055   0.      0.   ],13831.778819554342,22788.0,4936500000.0,268183.99563183327,5241.0,1268.0,3750.0,68.60320811204646,0.6933439142942196,21.866084713818072,10.606743648563361,0.7132598050396537,0.2079158813609761,0.004265449856165063,0.49518896934827894,[0.152 0.848 0.    0.   ],0.7155123068116772,5.432674883659136e-05,24486607.142784443,[10.005 10.01   0.     0.   ],113.03571428537867
15,[1631. 1632.    0.    0.],10081.0,201.60000000059856,[ 24.665 176.935   0.      0.   ],13486.667053456591,15176.0,6013500000.0,413294.7566676808,10108.0,1065.0,8939.0,66.89151400383474,0.45749429620076815,17.648249181628806,8.133695536910292,0.5781763471753659,0.16754290248983236,0.004265449856165063,0.7024104751512746,[0.122 0.878 0.    0.   ],0.8843490304709142,6.872782184546119e-05,29828869.047530483,[8.09  8.095 0.    0.   ],75.27777777755428
16,[2221. 2222.    0.    0.],10081.0,201.60000000059856,[ 33.912 167.688   0.      0.   ],13912.709386284127,21568.0,6174000000.0,448756.968570119,14537.0,1664.0,12927.0,69.00460959369464,0.6474754488641925,18.291042555302052,10.942716564487542,0.849810079570158,0.24372582085110603,0.003967860331316337,0.7620275766293026,[0.168 0.832 0.    0.   ],0.8892481254729312,7.268496413510188e-05,30624999.999909073,[11.017 11.022  0.     0.   ],106.98412698380935
17,[1996. 1997.    0.    0.],10081.0,201.60000000059856,[ 31.916 169.684   0.      0.   ],13818.346736678088,19260.0,6048000000.0,0.0,12597.0,1440.0,11120.0,68.53658732603226,0.6024005555004389,18.06487451641702,10.237009098354038,0.799731412051119,0.23529411764705882,0.002876698740204345,0.7445689911715108,[0.158 0.842 0.    0.   ],0.8827498610780344,0.0,29999999.99991093,[9.901 9.906 0.    0.   ],95.53571428543064
18,[1896. 1897.    0.    0.],10081.0,201.60000000059856,[ 29.562 172.038   0.      0.   ],13715.226252215012,19716.0,6079500000.0,736666.2642562434,13338.0,1286.0,11937.0,68.02512772647259,0.5518500148794709,18.037496280130938,9.575286052468872,0.7436670815748792,0.21366927884138479,0.003372681281618887,0.7417914889395893,[0.147 0.853 0.    0.   ],0.894961763382816,0.00012117217933320887,30156249.999910466,[9.405 9.41  0.    0.   ],97.79761904732868
19,[1626. 1626.    0.    0.],10081.0,201.60000000059856,[ 24.236 177.364   0.      0.   ],13485.019819999474,16884.0,6048000000.0,1918385.1761723082,9644.0,1109.0,8446.0,66.88334401347053,0.4656680884832811,17.89187580597163,8.351975363270009,0.6036208107403043,0.17458585457791886,0.004364646364447972,0.6981450252951096,[0.12 0.88 0.   0.  ],0.8757776856076317,0.00031719331616605624,29999999.99991093,[8.065 8.065 0.    0.   ],83.74999999975134
