id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
17,[4449. 5912. 1553.  630.],15121.0,302.39999999976106,[50.991 80.821 94.397 76.191],15718.468941754456,6040.0,11596500000.0,17159183.97272976,5376.0,28740.0,51.97562641938271,0.6062032934329672,16.37299120428543,14.95349311668059,1.220998305205617,0.2924409761259176,0.1534951392103697,1.1867601349117123,[0.169 0.267 0.312 0.252],0.0,0.0,0.0014796864547690907,38348214.285744585,[14.712 19.55   5.136  2.083],19.973544973560756
18,[4437. 5860. 1545.  662.],15121.0,302.39999999976106,[51.697 81.053 90.056 79.594],15600.122630539276,6104.0,11592000000.0,29708630.435846522,5422.0,31077.0,51.584295451804095,0.6101183784141206,16.380662654586338,15.051396871447928,1.2440925095133266,0.295020170623636,0.15845512862905892,1.1829905429535084,[0.171 0.268 0.298 0.263],0.0,0.0,0.002562856317792143,38333333.33336362,[14.673 19.378  5.109  2.189],20.185185185201135
19,[4309. 5752. 1557.  671.],15121.0,302.39999999976106,[49.249 72.915 99.53  80.706],15225.497947021426,6616.0,11830500000.0,38758513.45462818,5746.0,34351.0,50.34553914098605,0.5797500165332861,16.416374578400898,14.957816634384136,1.1698225606369361,0.28496792540175914,0.17042523642616228,1.2249189868394947,[0.163 0.241 0.329 0.267],0.0,0.0,0.003276151764898202,39122023.80955472,[14.249 19.021  5.149  2.219],21.878306878324164
20,[3492. 4857. 1775.  599.],15121.0,302.39999999976106,[ 39.437  50.537 142.112  70.314],14117.21139820346,7368.0,8400000000.0,18850132.129383534,5034.0,39429.0,46.68081277098238,0.47240261887439755,16.584881952251834,12.348988303833515,0.9495188937645864,0.22253819191852392,0.14913034852192314,0.8745453343032868,[0.13  0.167 0.47  0.233],0.0,0.0,0.002244063348736135,27777777.777799726,[11.548 16.062  5.87   1.981],24.365079365098616
21,[3552. 4772. 1674.  620.],15121.0,302.39999999976106,[ 39.777  43.777 146.018  72.828],14144.616683095779,7052.0,8067000000.0,24892428.47977596,4991.0,39085.0,46.771432719702545,0.47436016136497333,16.521394087692613,12.104591008757904,0.9215396365779173,0.22042192976654984,0.15428873751735997,0.8388334104887243,[0.132 0.145 0.483 0.241],0.0,0.0,0.0030857107325865827,26676587.30160838,[11.746 15.78   5.536  2.05 ],23.320105820124247
22,[4211. 5623. 1469.  682.],15121.0,302.39999999976106,[48.482 79.268 92.646 82.004],15104.283549283764,6360.0,11566500000.0,28632846.687956713,5650.0,35157.0,49.944724387537825,0.5650419945770632,16.376694663051385,14.217290003249241,1.1493357440549574,0.27465114741088553,0.17366576284637258,1.2164539382315984,[0.16  0.262 0.306 0.271],0.0,0.0,0.0024754979196780972,38249007.93653816,[13.925 18.595  4.858  2.255],21.03174603176265
23,[4449. 5873. 1525.  630.],15121.0,302.39999999976106,[51.853 78.176 96.417 75.954],15576.977379471615,5856.0,11628000000.0,18925982.226346727,5714.0,32400.0,51.50776198487857,0.6124991733350923,16.33119502678394,15.333583779247055,1.2749931383609439,0.30381588519277825,0.1691025725811785,1.2189669995370676,[0.171 0.259 0.319 0.251],0.0,0.0,0.0016276214504942145,38452380.95241133,[14.712 19.421  5.043  2.083],19.365079365094665
24,[4436. 5899. 1615.  603.],15121.0,302.39999999976106,[50.463 80.927 98.331 72.679],15638.311059698683,5888.0,11367000000.0,7792970.902891805,5278.0,28121.0,51.71057158816893,0.6028172739898088,16.363732557370543,14.914499232211302,1.1611359418310145,0.28761325309172675,0.14840288340718205,1.1530983400568746,[0.167 0.268 0.325 0.24 ],0.0,0.0,0.0006855785082160469,37589285.714315414,[14.669 19.507  5.341  1.994],19.470899470914855
25,[4624. 6089. 1549.  636.],15121.0,302.39999999976106,[53.817 80.054 92.143 76.386],15792.057219490945,6424.0,11577000000.0,19495004.814458083,5560.0,31232.0,52.21895780532457,0.63752397328219,16.397063686264136,15.3929126007566,1.279488511949962,0.3094372065339594,0.15448713709410752,1.1897361285629258,[0.178 0.265 0.305 0.253],0.0,0.0,0.001683942715250763,38283730.158760406,[15.291 20.136  5.122  2.103],21.243386243403027
26,[4364. 5801. 1540.  710.],15121.0,302.39999999976106,[50.769 71.855 94.788 84.988],15334.784175657593,6688.0,11773500000.0,27846001.994380876,5961.0,35546.0,50.7069114994148,0.5950400105813018,16.404206071027048,14.881091049208282,1.2128353977425586,0.2946895046623901,0.18563587064347595,1.2543482573903841,[0.168 0.238 0.313 0.281],0.0,0.0,0.0023651422257086573,38933531.74606251,[14.431 19.183  5.093  2.348],22.116402116419593
