id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
10,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],46524.17345985382,16550.0,74646000000.0,977497.2249399071,115.3816116756328,12.799999999995313,64.0,59.959119232966614,3.776306762541271,1.07306185209067,0.0,3.249193988393433,[1. 0. 0. 0.],0.0,0.0,1.3095105229213985e-05,185133928.57263273,[0. 0. 0. 0.],0.0,0.0
11,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48016.88675008759,18735.0,110076000000.0,1428616.3399235276,119.083593943959,12.799999999995313,64.0,68.34443023680898,4.7444291329862,1.363325231883339,0.0,5.148702941322355,[1. 0. 0. 0.],0.0,0.0,1.2978454339942654e-05,273005952.3827281,[0. 0. 0. 0.],0.0,0.0
12,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48277.03232451885,19126.0,109737000000.0,867626.8965924208,119.72876425900141,12.799999999995313,64.0,69.5991883506625,4.905148712634316,1.4161995932741431,0.0,5.230792123406577,[1. 0. 0. 0.],0.0,0.0,7.906420775056916e-06,272165178.5731988,[0. 0. 0. 0.],0.0,0.0
13,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48073.28711125743,18984.0,110284500000.0,837497.7520864138,119.22346885386058,12.799999999995313,64.0,69.30890353136054,4.737121374464736,1.3688309111651207,0.0,5.14270125489807,[1. 0. 0. 0.],0.0,0.0,7.59397514688296e-06,273523065.4779695,[0. 0. 0. 0.],0.0,0.0
14,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],46395.52384269817,16167.0,74274000000.0,62257.73496652226,115.06255603068516,12.799999999995313,64.0,58.82913384587795,3.6287006357888596,1.0499479192500372,0.0,3.2098110212787065,[1. 0. 0. 0.],0.0,0.0,8.382170741648795e-07,184211309.5250077,[0. 0. 0. 0.],0.0,0.0
15,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],46600.05796263776,16403.0,74752500000.0,676038.0352955706,115.56980795256364,12.799999999995313,64.0,59.4132666961743,3.7340607424051364,1.0790139378007044,0.0,3.2685878676652944,[1. 0. 0. 0.],0.0,0.0,9.043684629886233e-06,185398065.47739637,[0. 0. 0. 0.],0.0,0.0
16,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48062.704703140065,19062.0,110532000000.0,1272326.48797015,119.19722410380429,12.799999999995313,64.0,69.80262736251102,4.776895686155881,1.3804374782996875,0.0,5.135409949903279,[1. 0. 0. 0.],0.0,0.0,1.1510933376489615e-05,274136904.76368785,[0. 0. 0. 0.],0.0,0.0
17,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48156.60319404257,19121.0,110164500000.0,1895198.4680780256,119.43009571459332,12.799999999995313,64.0,69.39059222619963,4.932331776690821,1.4105451118496106,0.0,5.2404146619711325,[1. 0. 0. 0.],0.0,0.0,1.7203350154342148e-05,273225446.4303486,[0. 0. 0. 0.],0.0,0.0
18,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48199.04317065473,19246.0,110424000000.0,1492945.7109898739,119.53534837222955,12.799999999995313,64.0,70.6031042090775,4.802335186547516,1.387480779723228,0.0,5.131987500620009,[1. 0. 0. 0.],0.0,0.0,1.3520119819874972e-05,273869047.6208289,[0. 0. 0. 0.],0.0,0.0
19,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],46538.706657269606,16278.0,74908500000.0,395017.6710163805,115.41765452424151,12.799999999995313,64.0,59.359647711495384,3.634311732510078,1.0625961013838598,0.0,3.265760626953028,[1. 0. 0. 0.],0.0,0.0,5.2733357498332025e-06,185784970.23930365,[0. 0. 0. 0.],0.0,0.0
20,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],47694.94430691104,18830.0,68709000000.0,133302.14605962497,118.285165187507,12.799999999995313,64.0,68.6771032829763,4.461756480637368,1.2907097862209216,0.0,3.11130400277764,[1. 0. 0. 0.],0.0,0.0,1.9400973098083944e-06,170409226.1915846,[0. 0. 0. 0.],0.0,0.0
