id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[3261. 3262.    0.    0.],15121.0,302.39999999976106,[ 49.397 253.003   0.      0.   ],21748.502215453278,1416.0,14736000000.0,176089378.9534725,42956.0,21628.0,39238.0,71.9148939072949,1.032630117055802,18.44983797367899,17.01976188149372,5.872774919126675,0.92163216718471,0.0017194629984789366,2.434428939884928,[0.163 0.837 0.    0.   ],0.913446317161747,0.01194960497784151,48730158.730197236,[10.784 10.787  0.     0.   ],4.682539682543382
11,[3412. 3413.    0.    0.],15121.0,302.39999999976106,[ 48.12 254.28   0.     0.  ],20989.464671056612,1704.0,12721500000.0,87826105.96033749,42526.0,14550.0,39529.0,69.4050151148984,0.697731631505871,16.874016268765292,13.623092771054665,2.3380707751182275,0.49904106871238674,0.002380794920970835,1.82368890946366,[0.159 0.841 0.    0.   ],0.9295254667732681,0.006903753956714027,42068452.38098562,[11.283 11.286  0.     0.   ],5.634920634925087
12,[3084. 3085.    0.    0.],15121.0,302.39999999976106,[ 42.571 259.829   0.      0.   ],20658.771883244553,1640.0,12385500000.0,83551060.17998344,43785.0,9422.0,41157.0,68.3115266293067,0.5806494279478781,16.642021030355135,11.360294808406389,1.9532738665464944,0.39812181734012303,0.0023146617287216455,1.7836121949606507,[0.141 0.859 0.    0.   ],0.9399794450154162,0.006745877048159819,40957341.269873634,[10.198 10.202  0.     0.   ],5.423280423284709
13,[1703. 1704.    0.    0.],15121.0,302.39999999976106,[ 21.108 281.292   0.      0.   ],19543.848066293627,664.0,8223000000.0,12414725.558381436,19301.0,6234.0,18178.0,64.62485307282475,0.24866080285694994,16.149990080021162,5.202166875825599,0.4938148952624517,0.1194365452020369,0.0019178625752265062,0.8793069241452285,[0.07 0.93 0.   0.  ],0.9418164861924253,0.001509756239618319,27192460.317481805,[5.632 5.635 0.    0.   ],2.195767195768931
14,[3564. 3565.    0.    0.],15121.0,302.39999999976106,[ 47.58 254.82   0.     0.  ],20734.195128995543,1628.0,8299500000.0,31222566.139872406,38215.0,8153.0,35397.0,68.56092562987382,0.5570001983995642,16.3102969380332,12.220479036743571,1.3417982170070597,0.3361550162026321,0.0026453276899675946,1.0076053171086568,[0.157 0.843 0.    0.   ],0.9262593222556588,0.0037619815820076397,27445436.507958192,[11.786 11.789  0.     0.   ],5.383597883602137
15,[3364. 3365.    0.    0.],15121.0,302.39999999976106,[ 46.608 255.792   0.      0.   ],20884.642515149084,1232.0,12390000000.0,67893822.02873623,50735.0,14054.0,47782.0,69.05840392546833,0.64995701342505,16.731962171814033,13.104948155479548,1.9226320526250833,0.45843528867138417,0.0022485285364724555,1.778123140003968,[0.154 0.846 0.    0.   ],0.9417956046122007,0.005479727363094127,40972222.2222546,[11.124 11.128  0.     0.   ],4.074074074077293
16,[3728. 3729.    0.    0.],15121.0,302.39999999976106,[ 57.357 245.043   0.      0.   ],22047.49779535625,1664.0,15273000000.0,182036487.17882088,48337.0,19625.0,44154.0,72.9035705156691,1.1044772171152832,18.37206533959394,19.241978519594195,6.777892100409886,1.0187156934065207,0.002050128959724886,2.532173798029231,[0.19 0.81 0.   0.  ],0.9134617373854397,0.01191884287165723,50505952.380992286,[12.328 12.331  0.     0.   ],5.502645502649851
17,[2841. 2842.    0.    0.],15121.0,302.39999999976106,[ 38.177 264.223   0.      0.   ],20444.91713383237,1560.0,11506500000.0,105215118.70909475,38291.0,19030.0,36227.0,67.60438176649394,0.45806494279477783,16.23252430394815,9.117345380892797,1.1570185155167358,0.27842073936908934,0.002446928113220025,1.8006745585609418,[0.126 0.874 0.    0.   ],0.946096994071714,0.009143972425072328,38050595.2381253,[9.395 9.398 0.    0.   ],5.158730158734235
18,[3583. 3584.    0.    0.],15121.0,302.39999999976106,[ 53.495 248.905   0.      0.   ],21765.501464032783,1808.0,14874000000.0,180511494.36185345,40001.0,19468.0,36202.0,71.97110463601956,1.0318894253025248,18.183188942530254,17.70911763634431,6.045090848957186,0.8811586535282058,0.0013887970372329873,2.4268236227762716,[0.177 0.823 0.    0.   ],0.9050273743156421,0.012136042380116542,49186507.9365468,[11.849 11.852  0.     0.   ],5.978835978840703
19,[3175. 3176.    0.    0.],15121.0,302.39999999976106,[ 43.749 258.651   0.      0.   ],20822.926054886495,1512.0,12579000000.0,94271459.652281,39480.0,16027.0,36700.0,68.85432859889364,0.6494279478870557,16.85153098340057,12.602935552996696,2.4982473093444333,0.46359367766682097,0.0023146617287216455,1.820580649427948,[0.145 0.855 0.    0.   ],0.9295845997973657,0.007494352464606169,41597222.22225509,[10.499 10.503  0.     0.   ],5.000000000003951
