id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,disconnects,num_requests,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
11,[11275. 11274.    33.     0.],20161.0,403.19999999737746,[228.007 174.193   1.      0.   ],40902.71858645462,4312.0,59673000000.0,232918067.89933625,36583.0,24267.0,13381.0,101.44020283332206,6.958940528744214,63.805366797281884,39.44196884053303,4.085800776879299,0.8844799365110858,0.006844898566539358,3.23480978126085,[0.565 0.432 0.002 0.   ],0.5514072608892735,0.0039032404588228552,147998511.90572453,[27.964 27.961  0.082  0.   ],10.694444444514005
12,[6829. 6739.  189.    0.],20161.0,403.19999999737746,[303.644  93.65    5.906   0.   ],42207.91734414284,7096.0,59428500000.0,299671102.86530226,41091.0,23602.0,13057.0,104.67714236431725,9.530043152619825,63.59902782600069,38.00214591888372,4.160599389578286,0.8412777143990874,0.006547294281037647,3.1797033877287832,[0.753 0.232 0.015 0.   ],0.5532158291670197,0.005042548657046742,147392113.09619677,[16.937 16.714  0.469  0.   ],17.59920634932082
13,[10469. 10462.    31.     0.],20161.0,403.19999999737746,[240.112 162.172   0.916   0.   ],40584.08468268903,7048.0,58942500000.0,231783052.21426675,46299.0,26184.0,15643.0,100.64997937276806,7.304240861068686,63.66112792024205,37.835940230126695,3.3685815800132897,0.7856753137245176,0.006646495709538218,3.147314121323347,[0.596 0.402 0.002 0.   ],0.5974259089520317,0.003932358692187585,146186755.9533318,[25.965 25.947  0.077  0.   ],17.480158730272425
14,[15183. 15184.     0.     0.],20161.0,403.19999999737746,[158.85 244.35   0.     0.  ],39914.80137901609,21064.0,40198500000.0,98757260.10401312,58335.0,21803.0,12829.0,98.99013287786912,4.664927334954172,62.83735925797331,32.3127979012731,2.949106755898401,0.6592430931005406,0.006596894995287932,2.033728485690194,[0.394 0.606 0.    0.   ],0.5884052653304591,0.0024567399306942577,99698660.71493419,[37.656 37.659  0.     0.   ],52.24206349240329
15,[15829. 15830.     0.     0.],20161.0,403.19999999737746,[134.18 269.02   0.     0.  ],38956.16783296208,20844.0,39727500000.0,138210452.9820915,80887.0,17324.0,9320.0,96.61268744843773,3.818659788701353,62.884182332225585,28.98327733366666,2.4244131822496016,0.5712514260205347,0.005902484995783939,2.0978126085015623,[0.333 0.667 0.    0.   ],0.5379819903024705,0.0034789617514842737,98530505.95302182,[39.258 39.261  0.     0.   ],51.69642857176482
16,[13959. 13959.    14.     0.],20161.0,403.19999999737746,[173.834 228.947   0.419   0.   ],39873.91467811618,7872.0,59961000000.0,155314322.9237672,46379.0,17124.0,7004.0,98.88873239946832,5.13466593919023,63.479589306086005,36.685741813416485,3.1380171957166048,0.7691582758791726,0.005654481424532514,3.0774763156589455,[0.431 0.568 0.001 0.   ],0.40901658491006776,0.0025902557149441673,148712797.6200149,[34.621 34.621  0.035  0.   ],19.523809523936514
17,[8470. 8426.  127.    0.],20161.0,403.19999999737746,[272.915 126.422   3.863   0.   ],41320.397191568976,8352.0,59461500000.0,224035222.26743397,46655.0,23063.0,12620.0,102.47606069035797,8.501284658498268,63.49030306036407,38.076229639336226,3.5721231643255087,0.8205446158424682,0.004464064282525668,3.1597142998859185,[0.677 0.314 0.01  0.   ],0.5471968087412739,0.0037677357999282555,147473958.33429256,[21.007 20.898  0.315  0.   ],20.714285714420445
18,[1.425e+04 1.425e+04 9.000e+00 0.000e+00],20161.0,403.19999999737746,[169.97 232.96   0.27   0.  ],38481.899971312436,6704.0,58986000000.0,188357515.58296004,53622.0,17324.0,7588.0,95.43648621425328,4.996260106146197,63.70874460592233,35.17994651699813,3.124879479803022,0.7336937651902188,0.007985714994295918,3.0627449035266108,[0.422 0.578 0.001 0.   ],0.4380050796582775,0.0031932579863520162,146294642.8580944,[3.533e+01 3.533e+01 2.232e-02 0.000e+00],16.626984127092275
19,[16024. 16025.     0.     0.],20161.0,403.19999999737746,[139.125 264.075   0.      0.   ],39625.32500650648,22228.0,39769500000.0,123013745.9027187,65120.0,16619.0,8204.0,98.27222113611302,4.080234115371697,62.85362829224741,31.04943943172572,2.6493396218553515,0.6155944645602897,0.0064976935667873615,2.031149248549179,[0.345 0.655 0.    0.   ],0.49365184427462544,0.003093168028331226,98634672.61968917,[39.742 39.745  0.     0.   ],55.12896825432683
20,[13650. 13651.     0.     0.],20161.0,403.19999999737746,[190.032 213.168   0.      0.   ],41511.174939408505,22848.0,36534000000.0,103994925.30817804,24728.0,13308.0,2875.0,102.94919631815539,5.536947572045665,62.856009126531426,38.17179192731665,3.7534162749219284,0.7999107187143495,0.007787312137294777,1.8599275829571946,[0.471 0.529 0.    0.   ],0.21603546738803728,0.0028465244787917567,90610119.0482084,[33.854 33.857  0.     0.   ],56.666666667035244
