id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,num_rejects,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[11819.  9770.  3021.     0.],20161.0,403.19999999737746,[178.77 163.5   60.93   0.  ],39758.47839799443,1037694.0,986237.0,9552.0,610667.0,68277000000.0,339793599.1484049,98.60244630225095,7.042825256684159,62.62348097812608,75.67558412325867,8.917338385591718,2.3157581469173154,0.001438420713258271,8.672585685233868,[0.443 0.406 0.151 0.   ],0.950412163894173,0.004976691992155556,169337797.62014905,[29.313 24.231  7.493  0.   ],23.69047619063028
11,[13010. 10548.  3902.     0.],20161.0,403.19999999737746,[194.806 111.718  96.676   0.   ],41473.17923993212,1007627.0,943969.0,23400.0,511100.0,87762000000.0,771472973.3462758,102.85496562653096,6.881444372799404,52.38946480829324,94.80747488711236,24.3784014559685,4.558156837458459,0.0005456078567531372,12.298100292644214,[0.483 0.277 0.24  0.   ],0.9368238445377108,0.008790512674577559,217663690.47760624,[32.267 26.161  9.678  0.   ],58.03571428609177
12,[12496. 10814.  3292.     0.],20161.0,403.19999999737746,[185.714 117.396 100.09    0.   ],37196.53358731549,555777.0,515921.0,19160.0,455594.0,56986500000.0,564799271.5475523,92.24873167827435,4.367243688309082,34.1562422498884,67.84082046586848,16.594255262920885,3.145875700610089,0.0020336292842616935,8.123803382768712,[0.461 0.291 0.248 0.   ],0.9282877844891027,0.0099111065172901,141335565.47710976,[30.992 26.82   8.165  0.   ],47.51984127015035
13,[10746.  9763.  2357.     0.],20161.0,403.19999999737746,[169.679 145.965  87.556   0.   ],38051.34988461875,996191.0,939820.0,14752.0,561673.0,75933000000.0,517497672.9056103,94.36870662322308,5.020981102128187,44.397004116859286,74.02246623244363,13.945924395271835,3.075145082089182,0.000744010713754278,10.543475026040374,[0.421 0.362 0.217 0.   ],0.9434134618762868,0.006815188032944969,188325892.8583678,[26.652 24.214  5.846  0.   ],36.587301587539564
14,[12123.  9636.  3401.     0.],20161.0,403.19999999737746,[181.369 155.866  65.965   0.   ],39974.604838205036,1071139.0,1016500.0,10568.0,590619.0,67899000000.0,199882213.75795513,99.13844759239096,7.201349139427973,61.89177124150588,79.92464082411287,9.786771135961917,2.5116313674916917,0.0009424135707554189,8.656713456673776,[0.45  0.387 0.164 0.   ],0.9489898136469683,0.0029438167536775966,168400297.62014294,[30.067 23.899  8.435  0.   ],26.21031746048794
15,[7767. 7116. 3682.    0.],20161.0,403.19999999737746,[102.28  125.653 175.267   0.   ],28172.308397175468,356051.0,340421.0,20360.0,356577.0,22374000000.0,101440728.31468873,69.86833092894874,1.4390952829721453,19.494072714647093,28.69585692620846,2.9439225264710505,0.8036307722831209,0.001934427855761123,3.269331878379049,[0.254 0.312 0.435 0.   ],0.9561017944058576,0.0045338664661968685,55491071.42893236,[19.263 17.649  9.132  0.   ],50.49603174636019
16,[10490.  9896.  3474.     0.],20161.0,403.19999999737746,[146.392  98.554 158.254   0.   ],30305.839004334972,228211.0,211590.0,14432.0,294405.0,22531500000.0,101085831.24412064,75.1595630284492,1.6602747879570903,17.188829919150837,37.45374098961274,5.63564818474211,1.4020137889985615,0.0032736471405188233,3.3532562868905313,[0.363 0.244 0.392 0.   ],0.9271682784791268,0.00448642261918295,55881696.4289349,[26.017 24.544  8.616  0.   ],35.79365079388361
17,[14495. 12452.  3146.     0.],20161.0,403.19999999737746,[219.928 120.629  62.643   0.   ],40924.54402351345,585577.0,539732.0,23344.0,407386.0,65101500000.0,630731536.7404065,101.49433069667253,6.345478894896414,44.94380239075443,84.6859185368393,22.506957616288286,4.157928674172908,0.001984028570011408,9.210257427706958,[0.545 0.299 0.155 0.   ],0.9217096982975765,0.00968843324255826,161462053.57247877,[35.95  30.883  7.803  0.   ],57.89682539720197
18,[10034.  9125.  4016.     0.],20161.0,403.19999999737746,[137.276 105.466 160.458   0.   ],30185.913125877283,371079.0,349648.0,22944.0,414811.0,28963500000.0,129845226.91285883,74.86214256701898,2.0590248499578014,21.219979167700014,40.067901435194244,6.1855405218967565,1.4770100689449928,0.0025296364267645456,4.182282624869798,[0.34  0.262 0.398 0.   ],0.9422467991990924,0.004483064094907689,71834077.38141961,[24.886 22.631  9.96   0.   ],56.904761905132034
19,[8297. 7240. 4317.    0.],20161.0,403.19999999737746,[106.248 104.706 192.246   0.   ],28425.31987335205,368239.0,351558.0,20720.0,306971.0,23028000000.0,70831039.62298772,70.49580842554263,1.6071425028521253,20.240861068399386,31.769883419173606,3.463661545032052,0.9104707107782352,0.0017856257130102673,3.243837111254402,[0.264 0.26  0.477 0.   ],0.954700615632782,0.003075865886007804,57113095.23846672,[20.578 17.956 10.707  0.   ],51.38888888922314
