id,sleep_switches,steps,time,sleep_time,energy_consumption,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
14,[3707. 4271. 1094.    0.],10081.0,201.60000000059856,[48.783 71.579 81.238  0.   ],16431.575860284232,12574500000.0,1793365.1531886575,6357.0,17625.0,2115.0,81.4977475462825,3.4951294514432365,63.5948814601726,22.076230404307818,1.396035385647579,0.3852792381708164,0.02866779089376054,1.27318718381113,[0.242 0.355 0.403 0.   ],0.33270410571024067,0.00014261920181229135,62373511.90457672,[18.388 21.186  5.427  0.   ],2032.0,10.079365079335153
15,[4104. 4810. 1266.    0.],10081.0,201.60000000059856,[52.547 66.458 82.595  0.   ],17083.17482387743,12565500000.0,1018768.1118278537,5999.0,15814.0,1577.0,84.72956464573974,3.7862910425552934,64.0,24.246064984954355,1.5563225503383438,0.42466025195913104,0.03243725820851106,1.2915385378434678,[0.261 0.33  0.41  0.   ],0.26287714619103186,8.107660752280877e-05,62328869.047433995,[20.357 23.859  6.28   0.   ],0.0,0.0
16,[3450. 3363. 1379.    0.],10081.0,201.60000000059856,[ 41.376  38.888 121.336   0.   ],14500.409221275519,11385000000.0,1003057.6304854332,5001.0,15954.0,1363.0,71.91949817118473,2.2566015276262106,28.784842773534372,19.47676874388297,1.463831248693601,0.3976788017061799,0.02856859438547763,1.2985814899315544,[0.205 0.193 0.602 0.   ],0.2725454909018196,8.810343702111841e-05,56473214.285546616,[17.113 16.682  6.84   0.   ],8032.0,39.84126984115155
17,[5009. 4388. 1840.    0.],10081.0,201.60000000059856,[59.904 49.168 92.528  0.   ],16284.61295347603,17422500000.0,2012385.5436769149,8847.0,23122.0,3359.0,80.76883718616718,4.712786429917801,56.834044241642694,29.834627311613655,2.0564740547278695,0.5778196607479417,0.043249677611348084,2.0570379922626723,[0.297 0.244 0.459 0.   ],0.3796767265739799,0.00011550498170049734,86421130.95212437,[24.846 21.766  9.127  0.   ],12896.0,63.96825396806405
18,[3767. 3681. 1315.    0.],10081.0,201.60000000059856,[ 47.068  40.513 114.019   0.   ],14710.960192489807,14170500000.0,1502715.2815205047,5807.0,17171.0,1534.0,72.96379422918882,3.0449360182520966,35.359190556492415,22.620262115440937,1.6488558348529079,0.4609661739906755,0.022418410871937307,1.5299077472472968,[0.233 0.201 0.566 0.   ],0.2641639400723265,0.00010604532525461379,70290178.57121988,[18.686 18.259  6.523  0.   ],10304.0,51.111111110959364
19,[3901. 4318. 1152.    0.],10081.0,201.60000000059856,[50.256 64.273 87.071  0.   ],16026.29249356881,12379500000.0,1611675.1764129098,6456.0,17109.0,2123.0,79.48761280412079,3.644717785933897,59.94286281122905,23.095546745285954,1.450047653994714,0.39757960519789703,0.029064576926892172,1.2559269913699038,[0.249 0.319 0.432 0.   ],0.32884138785625777,0.0001301890364241617,61406249.999817684,[19.35  21.419  5.714  0.   ],7744.0,38.41269841258436
20,[4.020e+03 4.023e+03 2.000e+00 0.000e+00],10081.0,201.60000000059856,[5.493e+01 1.466e+02 7.800e-02 0.000e+00],17105.5468954905,11622000000.0,727892.5980684356,9386.0,15006.0,4610.0,84.84052621509372,3.773593889495078,64.0,25.07916870764868,1.569560747703436,0.44787223489733163,0.00892768574546176,1.1556393214958833,[2.725e-01 7.272e-01 3.869e-04 0.000e+00],0.4911570424035798,6.26305797684078e-05,57648809.52363836,[1.994e+01 1.996e+01 9.921e-03 0.000e+00],0.0,0.0
21,[4014. 4411.  546.    0.],10081.0,201.60000000059856,[ 55.85  105.828  39.922   0.   ],17165.824340992698,12724500000.0,398708.95307433396,9328.0,17728.0,4277.0,85.13949182119455,3.8535859537744335,64.0,25.2756969705515,1.607994378902515,0.4570975101676421,0.018152961015772243,1.3472869754984624,[0.277 0.525 0.198 0.   ],0.45851200686106347,3.1333958353910484e-05,63117559.523622125,[19.911 21.88   2.708  0.   ],0.0,0.0
22,[4541. 4387. 1414.    0.],10081.0,201.60000000059856,[60.382 51.221 89.997  0.   ],16007.586431010594,16660500000.0,720200.7115808586,9281.0,20779.0,3635.0,79.39483399965147,4.481142743775548,52.928082531494894,29.54346496565105,2.0974830484624416,0.5768276956651126,0.03223886519194524,1.8470389842277553,[0.3   0.254 0.446 0.   ],0.39166038142441545,4.3228037068566885e-05,82641369.04737368,[22.525 21.761  7.014  0.   ],15400.0,76.3888888886621
23,[3956. 4006.   55.    0.],10081.0,201.60000000059856,[ 59.35 140.54   1.71   0.  ],17399.845614564296,12696000000.0,1200966.551175078,8151.0,13963.0,3080.0,86.30019648130548,3.9196111496875523,64.0,26.0203356835187,1.7145472274555236,0.47644082928280923,0.00892768574546176,1.3152465033230831,[0.294 0.697 0.008 0.   ],0.37786774628879893,9.459408878190595e-05,62976190.4760035,[19.623 19.871  0.273  0.   ],0.0,0.0
