id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
10,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21436.789810390917,4720.0,20253000000.0,0.0,106.3227348992671,12.80000000000204,64.0,105.79284656332031,34.420572249250675,2.1061199304897156,0.579704394405317,0.0,1.6474556095625434,[1. 0. 0. 0.],0.0,0.0,0.0,100461309.52351125,[0. 0. 0. 0.],0.0,0.0
11,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21474.288743874386,4550.0,26881500000.0,256706.09372050213,106.50872306256205,12.80000000000204,64.0,106.0954897249532,33.16867231775613,2.144968481877676,0.5999404820950303,0.0,2.2656482491816288,[1. 0. 0. 0.],0.0,0.0,9.549544992671619e-06,133340773.80912791,[0. 0. 0. 0.],0.0,0.0
12,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21563.09530613606,4642.0,26935500000.0,256706.09372050213,106.94918810701027,12.80000000000204,64.0,106.4886279557623,33.9810870486615,2.195711397918837,0.6130344211883741,0.0,2.2984822934232714,[1. 0. 0. 0.],0.0,0.0,9.530400167826925e-06,133608630.95198427,[0. 0. 0. 0.],0.0,0.0
13,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21465.654570898092,4652.0,26806500000.0,0.0,106.46589907200362,12.80000000000204,64.0,106.02404472908427,34.05310311340456,2.1771178166218266,0.6072810237079654,0.0,2.2647554806070826,[1. 0. 0. 0.],0.0,0.0,0.0,132968749.99960521,[0. 0. 0. 0.],0.0,0.0
14,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21319.529341911442,4529.0,20110500000.0,0.0,105.74114344762843,12.80000000000204,64.0,105.29376958617657,33.153878518678546,2.04628749917267,0.559071520682472,0.0,1.6426941771649637,[1. 0. 0. 0.],0.0,0.0,0.0,99754464.28541811,[0. 0. 0. 0.],0.0,0.0
15,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21416.52572400785,4655.0,20356500000.0,0.0,106.22222856863011,12.80000000000204,64.0,105.6836189490632,33.66320133853448,2.080581961224009,0.579605197897034,0.0,1.6799920642793373,[1. 0. 0. 0.],0.0,0.0,0.0,100974702.38065259,[0. 0. 0. 0.],0.0,0.0
16,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21652.40265013736,4823.0,27186000000.0,461559.7196516881,107.39213694145816,12.80000000000204,64.0,106.87315423595577,34.99516345703495,2.3053775597041657,0.631683364745561,0.0,2.30969149885924,[1. 0. 0. 0.],0.0,0.0,1.697784593730921e-05,134851190.4757901,[0. 0. 0. 0.],0.0,0.0
17,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21524.523744924652,4592.0,27057000000.0,297199.08264084015,106.75787989745052,12.80000000000204,64.0,106.2871311488489,33.72189970366423,2.2081663903115962,0.6123400456303938,0.0,2.3094931058426744,[1. 0. 0. 0.],0.0,0.0,1.0984184596993021e-05,134211309.52341105,[0. 0. 0. 0.],0.0,0.0
18,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21608.188944109654,4821.0,27073500000.0,0.0,107.17284467864796,12.80000000000204,64.0,106.6139477474914,34.89781783657624,2.250327643477248,0.630592203154449,0.0,2.3020533677214563,[1. 0. 0. 0.],0.0,0.0,0.0,134293154.76150605,[0. 0. 0. 0.],0.0,0.0
19,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21407.946992353816,4674.0,20308500000.0,0.0,106.17967955735146,12.80000000000204,64.0,105.75239484212932,34.188247477858724,2.0955644825967448,0.5820851106041067,0.0,1.669576430909632,[1. 0. 0. 0.],0.0,0.0,0.0,100736607.14255805,[0. 0. 0. 0.],0.0,0.0
