id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
10,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22293.37854361657,5682.0,26092500000.0,0.0,110.57126546779425,12.80000000000204,64.0,40.92204760273481,2.227568817005481,0.653308203551235,0.0,2.0428528915782165,[1. 0. 0. 0.],0.0,0.0,0.0,129427083.33294906,[0. 0. 0. 0.],0.0,0.0
11,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23068.47533129016,6482.0,38511000000.0,30509.459005532543,114.41561021372134,12.80000000000204,64.0,47.50463479141035,2.824545083136554,0.8399960321396687,0.0,3.196210693383593,[1. 0. 0. 0.],0.0,0.0,7.922271300545959e-07,191026785.71371856,[0. 0. 0. 0.],0.0,0.0
12,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23118.743476074003,6640.0,38595000000.0,50627.06694091433,114.66493143574137,12.80000000000204,64.0,48.247531319969035,2.9032518065055766,0.8625136395198889,0.0,3.253546275171114,[1. 0. 0. 0.],0.0,0.0,1.3117519611585525e-06,191443452.38038397,[0. 0. 0. 0.],0.0,0.0
13,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23042.22875635777,6633.0,38733000000.0,20117.60793538179,114.28543178433696,12.80000000000204,64.0,48.791537246472,2.902330316518485,0.8507092550342228,0.0,3.2246800912607876,[1. 0. 0. 0.],0.0,0.0,5.193919380213717e-07,192127976.18990576,[0. 0. 0. 0.],0.0,0.0
14,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22197.90005580092,5492.0,25969500000.0,0.0,110.0977088374218,12.80000000000204,64.0,39.947914306974326,2.1888823412356313,0.6362464041265747,0.0,2.0199384981648647,[1. 0. 0. 0.],0.0,0.0,0.0,128816964.28533183,[0. 0. 0. 0.],0.0,0.0
15,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22297.98462074825,5603.0,26086500000.0,0.0,110.59411080621136,12.80000000000204,64.0,40.54672505384887,2.2417409926494893,0.6643190159706378,0.0,2.0471183414343814,[1. 0. 0. 0.],0.0,0.0,0.0,129397321.42818725,[0. 0. 0. 0.],0.0,0.0
16,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23171.755678355414,6757.0,38905500000.0,82214.16085270367,114.92786270387688,12.80000000000204,64.0,48.96158552934133,2.9334397087291775,0.8672750719174686,0.0,3.2245808947525045,[1. 0. 0. 0.],0.0,0.0,2.1131757939803798e-06,192983630.95180798,[0. 0. 0. 0.],0.0,0.0
17,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23154.83070203348,6640.0,39030000000.0,132841.227793618,114.84391777618231,12.80000000000204,64.0,48.52019223378786,2.9568068975105017,0.8772939192540422,0.0,3.2911417518103363,[1. 0. 0. 0.],0.0,0.0,3.4035671994265434e-06,193601190.47561568,[0. 0. 0. 0.],0.0,0.0
18,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23116.3682625273,6773.0,39118500000.0,162725.77254327902,114.6531507912294,12.80000000000204,64.0,49.15926586884907,2.9160386750514293,0.8610256918956453,0.0,3.214562047415931,[1. 0. 0. 0.],0.0,0.0,4.15981626451114e-06,194040178.57085246,[0. 0. 0. 0.],0.0,0.0
19,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22300.628574826645,5618.0,26112000000.0,80511.61169057534,110.60722435684329,12.80000000000204,64.0,40.97215774934821,2.2578781260350627,0.6605495486558873,0.0,2.0360083325066958,[1. 0. 0. 0.],0.0,0.0,3.0833184624148035e-06,129523809.52342497,[0. 0. 0. 0.],0.0,0.0
20,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22936.584080080447,6649.0,24181500000.0,0.0,113.76145263406765,12.80000000000204,64.0,48.24690257508851,2.752280625257279,0.8166848526931852,0.0,1.9527824620573355,[1. 0. 0. 0.],0.0,0.0,0.0,119947916.66631053,[0. 0. 0. 0.],0.0,0.0
21,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22863.667710813144,6387.0,26427000000.0,338396.03989359725,113.39980017266818,12.80000000000204,64.0,46.592263702936684,2.6874553419736427,0.7976391231028668,0.0,2.239658764011507,[1. 0. 0. 0.],0.0,0.0,1.2804935857024908e-05,131086309.52342032,[0. 0. 0. 0.],0.0,0.0
22,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23564.656698043735,7518.0,36490500000.0,420610.20074630086,116.87658316657033,12.80000000000204,64.0,55.012968492714734,3.388476879060671,0.9984128558674734,0.0,3.1123896438845353,[1. 0. 0. 0.],0.0,0.0,1.1526567209172274e-05,181004464.28517687,[0. 0. 0. 0.],0.0,0.0
23,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22878.557000571058,6453.0,26449500000.0,493095.8951098859,113.4736484504077,12.80000000000204,64.0,46.73590597080767,2.756791757916249,0.80934431108025,0.0,2.245709751016764,[1. 0. 0. 0.],0.0,0.0,1.8642919341004022e-05,131197916.66627714,[0. 0. 0. 0.],0.0,0.0
24,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22914.589467449576,6514.0,23815500000.0,235211.46690686402,113.65236319536687,12.80000000000204,64.0,47.01887167736729,2.674936716188403,0.7895050094236683,0.0,1.9076480507886122,[1. 0. 0. 0.],0.0,0.0,9.8764026330274e-06,118132440.47583973,[0. 0. 0. 0.],0.0,0.0
