id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,num_rejects,ant_switches,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[11220.  8242.  4509.     0.],20161.0,403.19999999737746,[155.886 128.609 118.705   0.   ],36675.511129424674,752517.0,716124.0,19140.0,50137500000.0,292567211.5717265,395227.0,90.95657737567922,6.565785427310902,60.60949357670751,61.68653579409598,7.041614406194956,1.8554139179604185,0.0010912157135062744,6.597787808144437,[0.387 0.319 0.294 0.   ],0.9516383018589614,0.005835297164232889,124348958.33414213,[27.827 20.441 11.183  0.   ],47.470238095546854
11,[12375.  8471.  5766.     0.],20161.0,403.19999999737746,[165.26   74.464 163.476   0.   ],36831.53634795067,678804.0,637660.0,37096.0,60018000000.0,558174144.5760632,301862.0,91.34352548967502,5.958950448886853,45.302117950498484,74.6268766787979,17.995222318544595,3.4736372203759736,0.0009424135707554189,8.730916125192202,[0.41  0.185 0.405 0.   ],0.9393875109751858,0.009300112375888287,148854166.66763487,[30.692 21.009 14.301  0.   ],92.00396825456667
12,[10498.  8001.  4771.     0.],20161.0,403.19999999737746,[139.869  74.104 189.227   0.   ],32563.330589384805,328396.0,306447.0,24560.0,33333000000.0,384903826.8548321,257495.0,80.75822278007371,2.965170378453332,25.50944893606468,47.18980660325126,12.210501022421845,2.194385199146868,0.0015872228560091265,5.108923168493626,[0.347 0.184 0.469 0.   ],0.9331630105116993,0.011547230277947743,82671130.95291868,[26.037 19.844 11.833  0.   ],60.91269841309461
13,[9854. 7912. 3858.    0.],20161.0,403.19999999737746,[139.474 103.47  160.256   0.   ],33183.62534428888,624441.0,591850.0,26368.0,45094500000.0,370410389.14254683,324482.0,82.29657592452087,3.9103615892069303,35.91627399434552,52.55055349591882,9.615291789842678,2.110758394920887,0.0007936114280045633,6.620653737413819,[0.346 0.257 0.397 0.   ],0.947807719224074,0.008214092386932926,111841517.85787031,[24.439 19.623  9.568  0.   ],65.39682539725077
14,[11589.  8084.  5212.     0.],20161.0,403.19999999737746,[156.516 115.188 131.496   0.   ],36441.92621293442,763250.0,726269.0,22496.0,48363000000.0,183752229.12087673,359875.0,90.37727844087958,6.6086404444230284,58.59372054957591,63.42984239339028,7.684124779633176,1.963642676454541,0.0007936114280045633,6.392738455433758,[0.388 0.286 0.326 0.   ],0.9515479855879463,0.0037994381887160996,119947916.66744685,[28.743 20.05  12.927  0.   ],55.79365079401369
15,[5631. 4961. 3253.    0.],20161.0,403.19999999737746,[ 71.327  72.777 259.096   0.   ],25719.03781581935,265801.0,255465.0,23052.0,18325500000.0,109359553.40349603,209889.0,63.78413227472062,1.2047021477109743,19.938693517186646,21.644369920366678,2.499841372744155,0.6388571995436735,0.0010416149992559893,2.7176727344873766,[0.177 0.18  0.643 0.   ],0.9611137655614539,0.005967616348994354,45450148.80981943,[13.966 12.304  8.068  0.   ],57.17261904799091
16,[7419. 6612. 3407.    0.],20161.0,403.19999999737746,[ 98.631  66.021 238.548   0.   ],27593.050422447097,208310.0,197701.0,16400.0,17181000000.0,74379226.29476826,173931.0,68.43175046486299,1.216050791131489,17.178909776300777,25.820887720029727,3.617508608649114,0.938247110758395,0.001438420713258271,2.6616239273845546,[0.245 0.164 0.592 0.   ],0.9490710959627479,0.004329155828809049,42611607.1431343,[18.4   16.399  8.45   0.   ],40.674603174867734
17,[13072.  9593.  5324.     0.],20161.0,403.19999999737746,[179.962  92.99  130.248   0.   ],37404.01337349663,533918.0,499643.0,36584.0,53044500000.0,528022006.08869755,264805.0,92.76328895762474,6.080690441942681,45.51639303605972,71.29018649328196,18.049668491562173,3.3450225683249837,0.000992014285005704,7.788155349437032,[0.446 0.231 0.323 0.   ],0.9358047490438607,0.009954321486463207,131558779.76276046,[32.421 23.792 13.204  0.   ],90.73412698471715
18,[8093. 6640. 4135.    0.],20161.0,403.19999999737746,[105.03   68.598 229.572   0.   ],28887.540434378563,341044.0,323675.0,28424.0,28563000000.0,211870450.57706016,260770.0,71.64213192394557,2.1371955756162357,23.617876097415802,34.378115967218136,6.45032863866118,1.359853181885819,0.0013392192847577005,4.047418282823273,[0.26  0.17  0.569 0.   ],0.9490710876015997,0.007417653978120651,70840773.80998458,[20.072 16.468 10.255  0.   ],70.49603174649027
19,[6187. 5120. 3564.    0.],20161.0,403.19999999737746,[ 77.764  71.326 254.11    0.   ],26338.02479692191,316891.0,303689.0,25080.0,21343500000.0,92983998.78808583,234452.0,65.31924209343629,1.4948068052180632,22.102871881355092,25.4058444756367,2.77769358957553,0.7267992659094291,0.0006944099995039928,2.9423639700411686,[0.193 0.177 0.63  0.   ],0.9583389872227359,0.0043565487754157394,52935267.857487164,[15.345 12.698  8.839  0.   ],62.20238095278554
