cluster,weekday,time,Delay Sensitive,Delay Stringent,Delay Tolerant
0,Sat,5:40,51761.35142,364.5487002,144871.1363
0,Sat,6:00,55780.22598,533.8948872,155774.5871
0,Sat,6:20,64015.95496,870.617759,167364.5446
0,Sat,6:40,71024.81307,1284.905844,187883.3999
0,Sat,7:00,75217.43831,1702.583047,211494.6478
0,Sat,7:20,83272.09357,2206.562042,229865.2088
0,Sat,7:40,94466.303,2683.291162,248663.659
0,Sat,8:00,105649.1196,2991.122086,264732.2959
0,Sat,8:20,112764.9393,3057.017279,276479.8562
0,Sat,8:40,116093.8211,3206.199704,290844.0057
0,Sat,9:00,118963.9185,3264.653332,297153.8012
0,Sat,9:20,117730.3384,3054.882749,292565.3703
0,Sat,9:40,116849.6222,2986.024127,296439.4478
0,Sat,10:00,122131.8055,3074.125575,295416.6025
0,Sat,10:20,125825.305,3053.847253,278404.5555
0,Sat,10:40,128767.1773,3014.051769,287728.402
0,Sat,11:00,132232.7867,3031.5928,314315.3264
0,Sat,11:20,130600.9011,2825.702448,322256.9492
0,Sat,11:40,130574.9606,2916.002551,327269.7249
0,Sat,12:00,135200.8789,3596.933935,332732.6615
0,Sat,12:20,138093.7572,4023.855857,333841.3666
0,Sat,12:40,138746.1533,3883.660745,335036.546
0,Sat,13:00,140614.7689,3599.612099,327998.1937
0,Sat,13:20,143699.5087,3472.956307,309988.4797
0,Sat,13:40,149715.9625,3768.319982,312784.8548
0,Sat,14:00,156046.9629,4080.059735,334497.6138
0,Sat,14:20,157375.1373,4072.775403,343742.7274
0,Sat,14:40,155081.6673,4029.823222,342054.8196
0,Sat,15:00,148451.7769,4030.073929,321654.5143
0,Sat,15:20,138352.7468,3753.494342,293456.0716
0,Sat,15:40,140734.4767,3638.561802,302291.7582
0,Sat,16:00,147930.2788,3920.264577,322254.0914
0,Sat,16:20,146897.4273,3797.01112,313110.1527
0,Sat,16:40,150209.4378,3763.848119,307497.8371
0,Sat,17:00,157411.1479,4019.061404,313154.8915
0,Sat,17:20,157541.2337,3977.358354,309003.5315
0,Sat,17:40,155982.0513,3787.018618,302342.7492
