id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
20,[ 527. 1081.  674.  548.],10081.0,201.60000000059856,[ 10.166  17.331 110.141  63.962],6244.223217503653,3912.0,1746.0,17085.0,1824000000.0,9446530.743440188,30.970257005774144,0.16371391727011347,16.409483186191846,3.32655038620291,0.20620703704695706,0.05039182620771749,0.0939390933439143,0.3373673246701716,[0.05  0.086 0.546 0.317],0.0,0.0,0.0051790190479387,9047619.047592185,[2.614 5.362 3.343 2.718],19.40476190470429
21,[ 567. 1085.  690.  559.],10081.0,201.60000000059856,[ 10.596  17.167 108.557  65.28 ],6284.7576095829345,4112.0,1717.0,15817.0,1809000000.0,7184830.802564584,31.17130051375586,0.17323678206527277,16.428132129749034,3.3078166503009583,0.21195016357123703,0.049201468108322585,0.09175677016169032,0.3379625037198691,[0.053 0.085 0.538 0.324],0.0,0.0,0.003971714097603419,8973214.285687644,[2.812 5.382 3.423 2.773],20.39682539676484
22,[ 732. 1360.  693.  607.],10081.0,201.60000000059856,[13.485 21.826 94.748 71.541],6618.630961046397,4744.0,2331.0,19191.0,2629500000.0,9294420.1931127,32.827254047451135,0.21728003174288374,16.38646959627021,4.431940253344798,0.32058140574794447,0.07271104057137188,0.1328241245908144,0.5121515722646562,[0.067 0.108 0.47  0.355],0.0,0.0,0.0035346720643136334,13043154.761866037,[3.631 6.746 3.437 3.011],23.531746031676164
23,[ 724. 1350.  758.  631.],10081.0,201.60000000059856,[13.324 21.55  91.96  74.766],6615.443479245315,4704.0,2354.0,19383.0,2631000000.0,6536750.3697080165,32.81144469420705,0.22061303442118924,16.390040670568396,4.4561232346766575,0.3301239333392293,0.07003273484773335,0.136494395397282,0.5334788215454817,[0.066 0.107 0.456 0.371],0.0,0.0,0.002484511733070322,13050595.23805649,[3.591 6.696 3.76  3.13 ],23.333333333264058
24,[ 750. 1412.  718.  635.],10081.0,201.60000000059856,[14.239 23.285 88.924 75.152],6698.022978620323,5072.0,2586.0,21001.0,2782500000.0,8997181.202337094,33.221024593894796,0.231326257315743,16.449955361571273,4.724973662044514,0.3299215029175975,0.07648050788612241,0.15107628211486956,0.5710742981847039,[0.071 0.116 0.441 0.373],0.0,0.0,0.0032334883027267183,13802083.333292354,[3.72  7.004 3.562 3.15 ],25.158730158655462
25,[ 740. 1387.  797.  656.],10081.0,201.60000000059856,[13.632 22.126 88.227 77.615],6654.474929038584,5000.0,2317.0,18977.0,2737500000.0,7758512.966355864,33.005033870842865,0.22029560559468403,16.416228548755083,4.384095313621116,0.34178630243158453,0.06993353833945046,0.13669278841384783,0.5468703501636742,[0.068 0.11  0.438 0.385],0.0,0.0,0.0028341599877099045,13578869.047578732,[3.671 6.88  3.953 3.254],24.801587301513663
26,[ 707. 1346.  747.  669.],10081.0,201.60000000059856,[13.654 19.654 89.197 79.095],6596.868119660055,4912.0,2391.0,18413.0,2610000000.0,9135277.19392912,32.71931415365908,0.209741097113383,16.404324967761134,4.242570066473969,0.3172936619947832,0.06894157325662137,0.137585556988394,0.5056046027179844,[0.068 0.097 0.442 0.392],0.0,0.0,0.0035001062045705443,12946428.571390133,[3.507 6.677 3.705 3.318],24.365079365007023
27,[ 544. 1069.  683.  584.],10081.0,201.60000000059856,[ 10.693  16.664 105.969  68.274],6243.071664188815,4144.0,1932.0,17622.0,1782000000.0,8424686.549649445,30.964545502377547,0.1709354230731092,16.38567602420395,3.428677388045577,0.2150752947193169,0.04969745064973713,0.10733062196210694,0.3407400059517905,[0.053 0.083 0.526 0.339],0.0,0.0,0.004727657996436277,8839285.71425947,[2.698 5.303 3.388 2.897],20.555555555494525
28,[ 581. 1091.  659.  561.],10081.0,201.60000000059856,[ 11.625  15.79  108.988  65.197],6355.891744256404,4304.0,1866.0,16443.0,1861500000.0,7571579.6555402,31.524113402722765,0.18704493601825373,16.438845352643586,3.648019941951544,0.24969701288943252,0.05416129352246801,0.10058525939886916,0.34589822438250173,[0.058 0.078 0.541 0.323],0.0,0.0,0.004067461539371582,9233630.952353537,[2.882 5.412 3.269 2.783],21.349206349142964
29,[ 734. 1401.  739.  591.],10081.0,201.60000000059856,[13.419 24.555 93.797 69.829],6643.136786876563,4816.0,2193.0,19203.0,2830500000.0,7997299.073767097,32.94879866519872,0.21180438448566744,16.43249677611348,4.2125167413625375,0.30513692792147057,0.06735442912409483,0.12280527725424065,0.553714909235195,[0.067 0.122 0.465 0.346],0.0,0.0,0.0028254015452277323,14040178.571386885,[3.641 6.949 3.666 2.932],23.888888888817963
