id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[2713. 1407. 1642.    0.],10081.0,201.60000000059856,[ 69.389  13.156 119.055   0.   ],15405.75119554153,32.0,4981.0,1238.0,20290500000.0,259456.51172765033,76.40983630364963,5.5257216545981445,63.99841285586747,81.240899182244,35.24219134484044,2.078373295156256,0.5721654597758159,0.035214760440432494,1.8208511060410673,[0.344 0.065 0.591 0.   ],473.0,0.09496085123469183,1.2787093059690513e-05,100647321.4282726,[13.457  6.979  8.145  0.   ],0.15873015872968746
11,[4223. 3002. 1519.    0.],10081.0,201.60000000059856,[77.849 26.308 97.443  0.   ],16296.508283908937,0.0,4712.0,3739.0,26857500000.0,0.0,80.82783594836314,6.132724928083056,64.0,85.5275500355433,36.677799802727954,2.211144333393423,0.6230532685249479,0.03382600932447178,2.4142446185894255,[0.386 0.13  0.483 0.   ],0.0,0.0,0.0,133221726.19008066,[20.947 14.891  7.535  0.   ],0.0
12,[4122. 3032. 1367.    0.],10081.0,201.60000000059856,[74.733 28.045 98.822  0.   ],16058.738629177387,0.0,4530.0,3660.0,26902500000.0,32634.20267913204,79.64853997211307,5.84322983831015,64.0,83.86149106523851,35.208560737416626,2.1563754697118727,0.6020236087689713,0.030453328042852893,2.4146414046225573,[0.371 0.139 0.49  0.   ],0.0,0.0,1.2130546484204827e-06,133444940.47579427,[20.446 15.04   6.781  0.   ],0.0
13,[4114. 2860. 1501.    0.],10081.0,201.60000000059856,[77.263 24.868 99.469  0.   ],16218.225778618846,0.0,4687.0,3539.0,26391000000.0,224476.61656728445,80.43956838914293,6.057811725027786,64.0,84.95760334487365,36.40739410344197,2.17536844744131,0.6122408491221109,0.03620672552326158,2.3794266441821246,[0.383 0.123 0.493 0.   ],0.0,0.0,8.505801847875581e-06,130907738.09484942,[20.407 14.187  7.445  0.   ],0.0
14,[2755. 1521. 1600.    0.],10081.0,201.60000000059856,[ 69.721  14.43  117.449   0.   ],15504.371861294056,32.0,5183.0,1374.0,20467500000.0,660798.61415509,76.89897758800885,5.50802499752047,63.99841285586747,81.67652564114404,35.5589906573604,2.083195916269497,0.5823827001289554,0.03987699632972919,1.855768276956651,[0.346 0.072 0.583 0.   ],634.0,0.12232297896970866,3.228526269232148e-05,101525297.61874619,[13.666  7.545  7.937  0.   ],0.15873015872968746
15,[2533. 1337. 1519.    0.],10081.0,201.60000000059856,[ 69.307  12.424 119.869   0.   ],15366.913190660689,72.0,4884.0,1127.0,20205000000.0,103729.66719812536,76.21720658000716,5.434381509771222,63.996428925701814,80.56532996329868,35.61588854870773,2.0740216101268083,0.574248586449757,0.040273782362860826,1.8062692193234797,[0.344 0.062 0.595 0.   ],299.0,0.06122031122031122,5.133861281768144e-06,100223214.28541672,[12.564  6.632  7.535  0.   ],0.3571428571417968
16,[3901. 2712. 1406.    0.],10081.0,201.60000000059856,[79.631 22.693 99.276  0.   ],16392.205065882983,0.0,4865.0,3415.0,27162000000.0,165673.5441262004,81.30247527964967,6.172086102569724,64.0,85.59301651153608,37.43976314208419,2.376846298402811,0.655391330225176,0.03204047217537943,2.4656284098799723,[0.395 0.113 0.492 0.   ],0.0,0.0,6.099460427295501e-06,134732142.85674283,[19.35  13.452  6.974  0.   ],0.0
17,[4169. 3119. 1359.    0.],10081.0,201.60000000059856,[75.804 28.036 97.76   0.   ],16145.505890491277,0.0,4654.0,3841.0,26814000000.0,230367.52846967342,80.07889043989333,5.886400158714882,64.0,84.26049014566539,36.380476360394226,2.2249732406284797,0.6163079059617101,0.02985814899315544,2.409582382700129,[0.376 0.139 0.485 0.   ],0.0,0.0,8.591315300577064e-06,133005952.38055748,[20.68  15.471  6.741  0.   ],0.0
18,[3750. 2438. 1521.    0.],10081.0,201.60000000059856,[ 79.471  21.067 101.062   0.   ],16293.695023170249,0.0,4713.0,2907.0,26775000000.0,254289.50835169165,80.81388266625498,6.200019839302197,64.0,85.15186976891006,36.09409952547375,2.267037176807298,0.6277155044142446,0.03511556393214959,2.4348774923122707,[0.394 0.104 0.501 0.   ],0.0,0.0,9.497273888018362e-06,132812499.99960567,[18.601 12.093  7.545  0.   ],0.0
19,[2615. 1452. 1493.    0.],10081.0,201.60000000059856,[ 68.608  13.555 119.437   0.   ],15445.990962356964,16.0,5163.0,1317.0,20188500000.0,444100.17689191224,76.6094185217604,5.348040868961759,63.999206427933736,80.70305463859641,36.471060339487295,2.2380699146940217,0.6063882551334193,0.03749628013093939,1.8239261977978376,[0.34  0.067 0.592 0.   ],469.0,0.09083865969397636,2.199768070396078e-05,100141369.04732172,[12.971  7.202  7.406  0.   ],0.07936507936484373
20,[3374. 2439. 1653.    0.],10081.0,201.60000000059856,[84.926 21.159 95.515  0.   ],17195.788172488254,0.0,5883.0,3252.0,20035500000.0,285024.34781181725,85.28810719416727,6.512369804583489,64.0,90.12619674017066,45.42704049303356,3.3701098931934745,0.9006050987005257,0.0446384287273088,2.002281519690507,[0.421 0.105 0.474 0.   ],0.0,0.0,1.4225966300407639e-05,99382440.4758954,[16.736 12.098  8.199  0.   ],0.0
21,[3236. 2552. 1385.    0.],10081.0,201.60000000059856,[83.116 23.924 94.56   0.   ],16980.339120019853,0.0,5607.0,2616.0,20650500000.0,233046.67745865963,84.2195175082805,6.200019839302197,64.0,87.91094349819012,42.913658054209236,2.929441363799127,0.8010118043844857,0.03680190457295903,2.112786429917667,[0.412 0.119 0.469 0.   ],0.0,0.0,1.1285280136493529e-05,102433035.71398158,[16.052 12.659  6.87   0.   ],0.0
22,[3333. 1977. 1653.    0.],10081.0,201.60000000059856,[ 74.02   13.875 113.705   0.   ],16178.409862495202,9328.0,5416.0,3807.0,26733000000.0,455337.8184645292,80.24208839646613,5.9704394405321715,62.14423172304335,86.07460049220921,42.18347424763279,2.956794225383728,0.8101378831465132,0.03838904870548557,2.640412657474457,[0.367 0.069 0.564 0.   ],115.0,0.021233382570162482,1.7032799104647036e-05,132604166.66627297,[16.533  9.807  8.199  0.   ],46.269841269703896
23,[3680. 2923. 1524.    0.],10081.0,201.60000000059856,[80.781 24.41  96.409  0.   ],16939.520476509024,0.0,5720.0,4136.0,20488500000.0,932961.3595777224,84.01706416282533,6.22795357603467,64.0,88.64247707341282,44.718519755353164,3.1474359499808156,0.8496180934431108,0.04047217537942664,2.114373574050193,[0.401 0.121 0.478 0.   ],0.0,0.0,4.553585472717487e-05,101629464.28541255,[18.254 14.499  7.56   0.   ],0.0
24,[3406. 2558. 1603.    0.],10081.0,201.60000000059856,[82.738 22.049 96.813  0.   ],17106.515760873805,0.0,5866.0,3451.0,19843500000.0,820539.8908984385,84.84533161825993,6.3536553913308005,64.0,89.5726856632851,45.082923145521995,3.321554031889482,0.9078464438051781,0.03749628013093939,1.9911715107628212,[0.41  0.109 0.48  0.   ],0.0,0.0,4.1350562698034044e-05,98430059.52351728,[16.895 12.688  7.951  0.   ],0.0
