id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,disconnects,num_rejects,cell_traffic,cell_dropped_traffic,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
13,[ 438. 1107.  670.  300.],10081.0,201.60000000059856,[ 10.756  30.526 125.758  34.56 ],6252.780839174909,31421.0,4946.0,30693.0,1870500000.0,219629.84100586572,4320.0,31.01270131522406,0.16855470687431892,16.53169328439639,3.125666378588878,0.2834309139838443,0.0645769268921734,0.018847336573752604,0.42466025195913104,[0.053 0.151 0.624 0.171],0.9768307819611088,0.00011741771772566998,9278273.809496261,[2.173 5.491 3.323 1.488],21.428571428507805
14,[ 461. 1063.  621.  348.],10081.0,201.60000000059856,[ 11.945  25.758 123.946  39.951],6346.871876153553,35994.0,5532.0,35192.0,1971000000.0,2439244.6913978714,5184.0,31.479376431674186,0.20370994940978168,16.737625235591707,3.50234635904109,0.3261959382946559,0.07380220216248388,0.018946533082035512,0.43567106437853387,[0.059 0.128 0.615 0.198],0.9777185086403289,0.0012375670681876567,9776785.714256687,[2.287 5.273 3.08  1.726],25.714285714209367
15,[ 432. 1293.  920.  327.],10081.0,201.60000000059856,[ 11.056  39.279 112.862  38.403],6239.244218415764,50301.0,3105.0,49539.0,2626500000.0,2517885.5704295617,3592.0,30.94556203956094,0.18514036305922146,16.419006050987004,3.5728630522931435,0.33556934262521504,0.08630096220613034,0.022815196905068943,0.6224580894752505,[0.055 0.195 0.56  0.19 ],0.9848511958012763,0.0009586467049036975,13028273.809485128,[2.143 6.414 4.563 1.622],17.817460317407416
16,[ 520. 1284.  831.  422.],10081.0,201.60000000059856,[ 15.014  36.743 100.559  49.284],6583.446025242452,54752.0,4213.0,53693.0,2772000000.0,3130243.442694629,5232.0,32.65274290865589,0.25703799226267177,16.736831663525443,4.426957930896487,0.46029159830125616,0.11665509374070032,0.03580993949012995,0.674933042356909,[0.074 0.182 0.499 0.244],0.9806582407948569,0.0011292364511885386,13749999.999959176,[2.579 6.369 4.122 2.093],25.952380952303898
17,[ 489. 1380.  950.  385.],10081.0,201.60000000059856,[ 11.766  42.523 101.798  45.513],6344.30569098444,54101.0,4052.0,53251.0,2719500000.0,5256976.235235342,4360.0,31.46664860125559,0.19934530304533374,16.563832953080052,3.5187993928872623,0.3986090407861741,0.08144033330026783,0.02678305723638528,0.6577720464239659,[0.058 0.211 0.505 0.226],0.9842886453115469,0.0019330671944237329,13489583.333293281,[2.426 6.845 4.712 1.91 ],21.626984126919915
18,[ 505. 1314.  864.  419.],10081.0,201.60000000059856,[ 13.838  37.938 100.282  49.542],6507.973395804377,52565.0,4042.0,51584.0,2671500000.0,3895787.849360526,4944.0,32.27841184309657,0.2381509770856067,16.69477234401349,4.076247745008745,0.40198129303501895,0.10038686638230335,0.02995734550143835,0.6441821247892074,[0.069 0.188 0.497 0.246],0.9813373918006278,0.0014582773158751735,13251488.09519875,[2.505 6.518 4.286 2.078],24.523809523736713
19,[ 454. 1244.  897.  368.],10081.0,201.60000000059856,[ 12.025  34.848 110.991  43.736],6350.2062724073585,47879.0,3815.0,47068.0,2626500000.0,4132660.253074329,4104.0,31.49591445495491,0.20918559666699815,16.549548655887314,3.579599116709132,0.3639448726192823,0.08858248189663724,0.024501537545878384,0.6126376351552425,[0.06  0.173 0.551 0.217],0.9830614674491949,0.0015734476501330016,13028273.809485128,[2.252 6.171 4.449 1.825],20.357142857082415
20,[ 443. 1051.  596.  326.],10081.0,201.60000000059856,[ 12.405  27.065 124.497  37.633],6371.309815840658,36035.0,3961.0,35244.0,1876500000.0,1435835.1377463,5112.0,31.600584346003867,0.21680388850312532,16.729689514929074,3.7656044608860304,0.34303396271098013,0.08272988790794564,0.018053764507489335,0.4206923916278147,[0.062 0.134 0.618 0.187],0.9780491189121687,0.0007651666068458833,9308035.714258078,[2.197 5.213 2.956 1.617],25.357142857067572
21,[ 457. 1070.  607.  334.],10081.0,201.60000000059856,[ 11.476  25.585 126.366  38.173],6262.982866124991,33555.0,4486.0,32799.0,1831500000.0,1761917.6246235443,4888.0,31.06330158776657,0.19410772740799623,16.64358694573951,3.5050130745718384,0.31080350638472715,0.07271104057137188,0.017458585457791886,0.4012498760043646,[0.057 0.127 0.627 0.189],0.9774698256593652,0.0009620079850524402,9084821.428544456,[2.267 5.308 3.011 1.657],24.24603174595976
22,[ 463. 1312.  895.  336.],10081.0,201.60000000059856,[ 12.361  40.082 109.889  39.268],6375.325570286352,52356.0,3361.0,51503.0,2703000000.0,1171535.4223070215,4064.0,31.62050178696061,0.21664517408987244,16.518202559269913,3.891905105622722,0.35210037220908597,0.09413748636048011,0.023906358496180936,0.6436861422477929,[0.061 0.199 0.545 0.195],0.9837076934830774,0.00043342043000629723,13407738.095198287,[2.297 6.508 4.439 1.667],20.158730158670306
23,[ 503. 1253.  846.  398.],10081.0,201.60000000059856,[ 13.486  37.069 104.388  46.657],6457.496291053631,52807.0,4431.0,51827.0,2715000000.0,5871440.471323144,4592.0,32.028054216121355,0.2329134014482687,16.592401547465528,4.10982369953546,0.4249529485938524,0.10008927685745461,0.03501636742386668,0.6636246404126575,[0.067 0.184 0.518 0.231],0.9814418542996194,0.002162593175441305,13467261.90472192,[2.495 6.215 4.196 1.974],22.77777777771015
