id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
27,[1034. 1035.    0.    0.],10081.0,201.60000000059856,[ 17.68 183.92   0.     0.  ],13430.149458512424,69679.0,2808000000.0,0.0,12551.0,11756.0,56.0,66.611196600083,0.2055351651621882,17.706179942466026,3.5985753610077493,0.2091414881310799,0.07370300565420097,0.0005951790496974506,0.32843963892470984,[0.088 0.912 0.    0.   ],0.9366584335909489,0.0,13928571.428530075,[5.129 5.134 0.    0.   ],0.27777777777695306
28,[1075. 1076.    0.    0.],10081.0,201.60000000059856,[ 17.423 184.177   0.      0.   ],13338.624884852148,68863.0,2829000000.0,292099.1896936047,12760.0,11971.0,80.0,66.15725069362344,0.2070429520880883,17.6268227358397,3.771581095842242,0.24535186113914062,0.07886122408491221,0.0005951790496974506,0.33587937704592796,[0.086 0.914 0.    0.   ],0.9381661442006269,0.00010325174609176554,14032738.095196432,[5.332 5.337 0.    0.   ],0.39682539682421863
29,[1353. 1354.    0.    0.],10081.0,201.60000000059856,[ 26.955 174.645   0.      0.   ],13865.199162205516,61341.0,4197000000.0,485376.71920186403,16184.0,14986.0,64.0,68.76896717687566,0.3538537843467845,16.678107330621962,6.57403940699136,0.506133943759734,0.1551433389544688,0.0012895546076778098,0.5420097212578118,[0.134 0.866 0.    0.   ],0.9259762728620861,0.00011564849158967454,20818452.38089057,[6.711 6.716 0.    0.   ],0.3174603174593749
30,[1324. 1325.    0.    0.],10081.0,201.60000000059856,[ 27.245 174.355   0.      0.   ],13764.802156444974,61200.0,4165500000.0,759399.020687107,15748.0,14589.0,72.0,68.27101555619944,0.36044043249676927,17.438746156135306,6.450117182654971,0.4986842918942859,0.15097708560658665,0.0012895546076778098,0.5308005158218431,[0.135 0.865 0.    0.   ],0.9264033528067056,0.00018230681087194983,20662202.380891033,[6.567 6.572 0.    0.   ],0.3571428571417968
31,[1284. 1285.    0.    0.],10081.0,201.60000000059856,[ 23.655 177.945   0.      0.   ],13605.396170343633,63519.0,4006500000.0,685626.7338132657,15148.0,14150.0,48.0,67.48038969516763,0.3010812419402802,16.74754488642,5.434054064545845,0.3874238909900399,0.12726912012697153,0.0005951790496974506,0.5120523757563734,[0.117 0.883 0.    0.   ],0.9341167150778981,0.00017112859947916278,19873511.904702898,[6.369 6.374 0.    0.   ],0.23809523809453118
32,[1330. 1331.    0.    0.],10081.0,201.60000000059856,[ 26.704 174.896   0.      0.   ],13821.869476659873,61373.0,4129500000.0,432910.2363994952,15981.0,14853.0,88.0,68.55405950131843,0.3497272096022157,16.978077571669477,6.191747893827806,0.5001722511149619,0.1515722646562841,0.0014879476242436267,0.5307013193135601,[0.132 0.868 0.    0.   ],0.9294161817157875,0.00010483357219990198,20483630.952320136,[6.597 6.602 0.    0.   ],0.4365079365066405
33,[1316. 1317.    0.    0.],10081.0,201.60000000059856,[ 23.319 178.281   0.      0.   ],13605.664006287147,63549.0,3988500000.0,23058.692243117894,16027.0,14996.0,72.0,67.48171811468688,0.2952088086499323,17.237972423370696,5.342697762687882,0.3643548149968519,0.12032536454716794,0.0012895546076778098,0.5021327249280826,[0.116 0.884 0.    0.   ],0.935671055094528,5.781294281839763e-06,19784226.19041745,[6.528 6.533 0.    0.   ],0.3571428571417968
34,[1054. 1055.    0.    0.],10081.0,201.60000000059856,[ 17.431 184.169   0.      0.   ],13415.747847315499,68943.0,2784000000.0,23058.692243117894,12222.0,11444.0,64.0,66.53976712286219,0.2082333101874831,17.535561948219424,3.653761934872471,0.23894715590163979,0.07816684852693186,0.0005951790496974506,0.32645570875905167,[0.086 0.914 0.    0.   ],0.9363442971690394,8.282576236752118e-06,13809523.80948281,[5.228 5.233 0.    0.   ],0.3174603174593749
35,[1078. 1079.    0.    0.],10081.0,201.60000000059856,[ 18.485 183.115   0.      0.   ],13348.929673684117,68719.0,2950500000.0,0.0,13231.0,12384.0,48.0,66.20836064715965,0.21791488939589446,17.53952980855074,3.979778741321635,0.2339631493191601,0.08203551234996528,0.0009919650828290843,0.3490725126475548,[0.092 0.908 0.    0.   ],0.9359836747033482,0.0,14635416.666623214,[5.347 5.352 0.    0.   ],0.23809523809453118
36,[1376. 1377.    0.    0.],10081.0,201.60000000059856,[ 25.693 175.907   0.      0.   ],13625.135834382245,62042.0,4266000000.0,175514.67783678803,17332.0,16187.0,56.0,67.57829498253378,0.3272691201269666,16.7388155936911,6.147526749697329,0.450505449065662,0.1399662731871838,0.0011903580993949012,0.5396290050590219,[0.127 0.873 0.    0.   ],0.9339372259404569,4.114268116192875e-05,21160714.28565146,[6.825 6.83  0.    0.   ],0.27777777777695306
